T, A, B, Oc, C, Oj tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
490, -0.484, -0.253, -0.155, 0.875, 0.589, 0.12, 0.478, 0.357, 0.2, 30, 7.8, 2, 2.7e+02, 30, 8.2, -0.75, 2.8e+02, 30, 8.2, -0.42, 2.8e+02, 2.7e+02
480, -0.486, -0.264, -0.152, 0.864, 0.59, 0.116, 0.518, 0.429, 0.173, 29, 6.4, -2.8, 2.3e+02, 24, 5, -2.8, 1.8e+02, 30, 6.9, -0.8, 2.4e+02, 2.2e+02
487, -0.486, -0.266, -0.158, 0.84, 0.617, 0.122, 0.46, 0.216, 0.11, 30, 8, -0.98, 2.7e+02, 30, 7.8, -1.9, 2.7e+02, 30, 8, -0.19, 2.7e+02, 2.7e+02
486, -0.488, -0.264, -0.155, 0.827, 0.563, 0.122, 0.489, 0.277, 0.0977, 30, 7.6, -1.9, 2.6e+02, 30, 7.7, 2.1, 2.6e+02, 30, 7.9, 1.2, 2.7e+02, 2.6e+02
483, -0.487, -0.254, -0.176, 0.824, 0.592, 0.121, 0.384, 0.403, 0.111, 30, 7.8, -0.61, 2.7e+02, 29, 7.1, -2.8, 2.5e+02, 26, 6, -2.8, 2.1e+02, 2.4e+02
487, -0.482, -0.243, -0.179, 0.824, 0.519, 0.121, 0.363, 0.246, 0.102, 23, 4.7, -2.8, 1.7e+02, 30, 6.8, -0.95, 2.4e+02, 30, 6.4, -2.5, 2.3e+02, 2.1e+02
482, -0.478, -0.253, -0.171, 0.844, 0.505, 0.112, 0.349, 0.347, 0.121, 21, 4.3, -2.8, 1.6e+02, 30, 7.4, -2, 2.5e+02, 30, 6.4, 1.5, 2.2e+02, 2.1e+02
484, -0.486, -0.277, -0.176, 0.85, 0.554, 0.112, 0.414, 0.485, 0.151, 30, 7.9, 0.87, 2.7e+02, 30, 8.1, 0.49, 2.7e+02, 30, 8.1, -0.71, 2.7e+02, 2.7e+02
487, -0.465, -0.286, -0.16, 0.847, 0.576, 0.125, 0.376, 0.406, 0.1, 30, 7.5, -2.7, 2.6e+02, 24, 5.8, -2.8, 2e+02, 24, 5.8, -2.8, 2e+02, 2.2e+02
488, -0.466, -0.287, -0.161, 0.775, 0.573, 0.118, 0.378, 0.322, 0.101, 30, 6.5, 0.7, 2.3e+02, 5.4, 1.2, 0.37, 42, 30, 6.5, -0.38, 2.3e+02, 1.6e+02
485, -0.477, -0.266, -0.209, 0.787, 0.563, 0.105, 0.426, 0.398, 0.11, 30, 7.4, -0.08, 2.5e+02, 30, 7.1, 1.1, 2.5e+02, 30, 7.2, -0.7, 2.5e+02, 2.5e+02
488, -0.478, -0.26, -0.211, 0.804, 0.563, 0.106, 0.352, 0.361, 0.101, 30, 7.1, -0.18, 2.4e+02, 27, 5.7, -2.8, 2.1e+02, 30, 6.8, 2, 2.4e+02, 2.3e+02
481, -0.459, -0.281, -0.188, 0, 0.52, 0.0387, 0.524, 0.284, 0.154, 2.3, -0.25, -0.29, 7.2, 1.8, 0.11, -0.22, 7.5, 3.2, -0.26, 0.41, 9, 7.9
490, -0.441, -0.4, -0.188, 0.769, 0.555, 0.114, 0.451, 0.282, 0.111, 4.7, 0.94, -0.31, 34, 18, 3.4, 1, 1.2e+02, 4, 0.9, 0.19, 32, 64
481, -0.445, -0.279, -0.189, 0.788, 0.553, 0.11, 0.521, 0.28, 0.17, 30, 6.8, -0.72, 2.4e+02, 23, 4.6, 2.9, 1.7e+02, 30, 7, 0.85, 2.4e+02, 2.2e+02
488, -0.457, -0.277, -0.196, 0.776, 0.568, 0.108, 0.382, 0.398, 0.104, 30, 7.9, -0.077, 2.7e+02, 22, 4.6, 2.9, 1.7e+02, 30, 8, 1, 2.7e+02, 2.4e+02
485, -0.458, -0.276, -0.211, 0.77, 0.577, 0.111, 0.377, 0.373, 0.103, 30, 7.4, 2.8, 2.6e+02, 30, 7.6, 0.87, 2.6e+02, 30, 7.7, 1.1, 2.6e+02, 2.6e+02
488, -0.479, -0.265, -0.155, 0.826, 0.617, 0.124, 0.386, 0.292, 0.102, 30, 7.9, -0.96, 2.7e+02, 30, 7.9, 0.29, 2.7e+02, 30, 7.9, -0.81, 2.7e+02, 2.7e+02
488, -0.486, -0.264, -0.155, 0.832, 0.578, 0.122, 0.48, 0.31, 0.0893, 30, 7.1, -2.8, 2.5e+02, 29, 7.2, -2.8, 2.5e+02, 30, 7.9, -1.1, 2.7e+02, 2.6e+02
487, -0.486, -0.288, -0.162, 0.855, 0.58, 0.121, 0.548, 0.525, 0.106, 30, 7.6, 0.41, 2.6e+02, 30, 7.8, -0.97, 2.7e+02, 30, 7.8, -1.4, 2.7e+02, 2.6e+02
488, -0.494, -0.293, -0.216, 0.84, 0.539, 0.119, 0.537, 0.178, 0.11, 3.2, 0.44, 0.11, 18, 30, 6.7, -2.3, 2.4e+02, 30, 7.4, -1.1, 2.6e+02, 1.7e+02
485, -0.487, -0.268, -0.171, 0.824, 0.612, 0.121, 0.464, 0.503, 0.108, 23, 5.3, -2.8, 1.9e+02, 30, 7.5, -1.5, 2.6e+02, 23, 5.3, -2.8, 1.9e+02, 2.1e+02
487, -0.487, -0.264, -0.17, 0.839, 0.614, 0.12, 0.371, 0.438, 0.11, 30, 7.7, -2.4, 2.6e+02, 23, 5.6, -2.8, 2e+02, 30, 7.9, -1.4, 2.7e+02, 2.4e+02
490, -0.446, -0.281, -0.189, 0.786, 0.569, 0.11, 0.562, 0.274, 0.0907, 30, 7.8, -0.36, 2.7e+02, 30, 7.7, -1.6, 2.6e+02, 30, 7.3, -2.3, 2.5e+02, 2.6e+02
490, -0.453, -0.28, -0.19, 0.825, 0.496, 0.108, 0.32, 0.282, 0.12, 28, 6.2, -2.8, 2.2e+02, 30, 7.5, -1.9, 2.6e+02, 30, 7.7, 0.13, 2.6e+02, 2.5e+02
484, -0.488, -0.291, -0.203, 0.838, 0.551, 0.112, 0.515, 0.275, 0.13, 30, 8.1, -1.7, 2.8e+02, 21, 5, -2.8, 1.8e+02, 30, 8.1, -1.4, 2.7e+02, 2.4e+02
490, -0.498, -0.29, -0.178, 0.842, 0.57, 0.114, 0.465, 0.29, 0.159, 30, 6.8, 0.19, 2.4e+02, 30, 6.7, 2.2, 2.4e+02, 22, 3.7, 2.9, 1.4e+02, 2.1e+02
485, -0.484, -0.281, -0.188, 0.771, 0.569, 0.122, 0.377, 0.389, 0.104, 30, 7.3, 0.89, 2.5e+02, 30, 7, -2, 2.4e+02, 30, 7.2, -1.3, 2.5e+02, 2.5e+02
486, -0.466, -0.266, -0.188, 0.852, 0.566, 0.107, 0.378, 0.359, 0.105, 18, 3.4, -2.8, 1.3e+02, 30, 7.1, -1.9, 2.5e+02, 30, 7.1, 0.88, 2.4e+02, 2.1e+02
488, -0.493, -0.258, -0.174, 0.824, 0.488, 0.112, 0.501, 0.242, 0.106, 30, 7.1, -1.2, 2.5e+02, 30, 7.7, 0.61, 2.6e+02, 30, 7.6, -0.48, 2.6e+02, 2.6e+02
487, -0.474, -0.289, -0.207, 0.814, 0.57, 0.126, 0.542, 0.244, 0.103, 26, 6.3, -2.8, 2.2e+02, 3.7, 0.37, -0.42, 18, 30, 7.9, 1.4, 2.7e+02, 1.7e+02
488, -0.496, -0.29, -0.195, 0.813, 0.523, 0.115, 0.5, 0.233, 0.123, 30, 7.9, -0.16, 2.7e+02, 30, 7.6, -2.1, 2.6e+02, 29, 7.1, -2.8, 2.5e+02, 2.6e+02
488, -0.496, -0.29, -0.195, 0.813, 0.523, 0.115, 0.525, 0.233, 0.123, 30, 7.4, -1.6, 2.5e+02, 29, 7.1, -2.8, 2.5e+02, 4.4, 0.77, -0.25, 29, 1.8e+02
486, -0.485, -0.265, -0.157, 0.813, 0.622, 0.124, 0.449, 0.291, 0.0942, 30, 7.8, 0.13, 2.7e+02, 30, 7.6, -0.86, 2.6e+02, 30, 7.6, -0.94, 2.6e+02, 2.6e+02
488, -0.479, -0.262, -0.155, 0.854, 0.562, 0.124, 0.461, 0.321, 0.111, 25, 5.8, -2.8, 2.1e+02, 30, 7.9, 0.011, 2.7e+02, 30, 7.2, -2.8, 2.5e+02, 2.4e+02
485, -0.487, -0.261, -0.156, 0.827, 0.563, 0.122, 0.428, 0.354, 0.11, 30, 7.8, -0.19, 2.7e+02, 30, 7.8, -1.1, 2.7e+02, 30, 7.8, -1.6, 2.7e+02, 2.7e+02
487, -0.489, -0.263, -0.163, 0.826, 0.563, 0.121, 0.369, 0.362, 0.108, 30, 7.9, -0.53, 2.7e+02, 30, 7.4, -1.7, 2.6e+02, 30, 8, 0.047, 2.7e+02, 2.7e+02
479, -0.459, -0.27, -0.181, 0.864, 0.557, 0.125, 0.42, 0.366, 0.164, 30, 8, 0.61, 2.7e+02, 30, 8, 0.47, 2.7e+02, 30, 7.7, -1.5, 2.6e+02, 2.7e+02
479, -0.459, -0.27, -0.181, 0.864, 0.557, 0.125, 0.42, 0.366, 0.164, 26, 6.2, -2.8, 2.2e+02, 30, 8.1, -0.66, 2.7e+02, 30, 7.9, 0.81, 2.7e+02, 2.5e+02
483, 0, -0.267, -0.151, 0.819, 0.621, 0.121, 0.501, 0.247, 0.116, 30, 1, 0.068, 61, 30, 1, 0.00048, 61, 30, 1, -0.012, 61, 61
481, -0.481, -0.288, -0.183, 0.819, 0.645, 0.125, 0.459, 0.265, 0.167, 30, 6.5, -0.74, 2.3e+02, 30, 6.2, -2.2, 2.2e+02, 30, 6.6, -0.14, 2.3e+02, 2.3e+02
487, -0.48, -0.292, -0.147, 0.855, 0.57, 0.115, 0.358, 0.374, 0.108, 30, 7.3, 0.027, 2.5e+02, 30, 7.3, -0.71, 2.5e+02, 28, 6.2, -2.8, 2.2e+02, 2.4e+02
477, -0.481, -0.263, -0.149, 0.875, 0.572, 0.119, 0.498, 0.353, 0.108, 30, 7.9, -1.5, 2.7e+02, 30, 7.8, -0.96, 2.7e+02, 29, 7.1, -2.8, 2.5e+02, 2.6e+02
490, -0.472, -0.278, -0.158, 0.852, 0.552, 0.11, 0.485, 0.347, 0.17, 30, 7.4, -0.56, 2.5e+02, 30, 7.7, 0.97, 2.6e+02, 23, 5.2, 2.9, 1.9e+02, 2.3e+02
490, -0.473, -0.242, -0.173, 0.89, 0.574, 0.112, 0.51, 0.39, 0.215, 30, 7.8, 0.2, 2.6e+02, 30, 7.7, 0.24, 2.6e+02, 30, 7.4, -1.8, 2.5e+02, 2.6e+02
483, -0.49, -0.261, -0.179, 0.822, 0.557, 0.122, 0.373, 0.469, 0.0864, 30, 7.2, -1.3, 2.5e+02, 30, 7.3, -1.6, 2.5e+02, 30, 7.3, 1.5, 2.5e+02, 2.5e+02
489, -0.492, -0.26, -0.175, 0.835, 0.568, 0.122, 0.375, 0.293, 0.116, 30, 7.7, -1.9, 2.6e+02, 30, 7.9, -0.74, 2.7e+02, 30, 7.8, -1.4, 2.7e+02, 2.7e+02
488, -0.485, -0.26, -0.153, 0.844, 0.58, 0.121, 0.383, 0.39, 0.109, 30, 7.4, -2.1, 2.6e+02, 26, 6, -2.8, 2.1e+02, 30, 7.9, -0.6, 2.7e+02, 2.5e+02
488, -0.487, -0.26, -0.174, 0.864, 0.588, 0.121, 0.386, 0.414, 0.109, 30, 7.4, -1.4, 2.5e+02, 30, 7.5, -1.5, 2.6e+02, 30, 7.4, -1.1, 2.5e+02, 2.5e+02
482, -0.47, -0.255, -0.178, 0.823, 0.524, 0.123, 0.386, 0.286, 0.162, 30, 7.5, -0.77, 2.6e+02, 30, 7.8, -0.2, 2.6e+02, 30, 7.6, -0.94, 2.6e+02, 2.6e+02
482, -0.47, -0.255, -0.178, 0.314, 0.524, 0.123, 0.386, 0.286, 0.162, 2.7, 0.46, 0.17, 18, 3.7, -0.47, -0.00049, 9.3, 2.8, 0.56, 0.2, 21, 16
485, -0.496, -0.254, -0.185, 0.837, 0.588, 0.117, 0.568, 0.465, 0.118, 30, 7.6, 1.7, 2.6e+02, 30, 7.7, -0.99, 2.6e+02, 30, 7.8, -1.2, 2.6e+02, 2.6e+02
486, -0.488, -0.269, -0.195, 0.825, 0.544, 0.122, 0.314, 0.411, 0.114, 30, 6.9, -2, 2.4e+02, 30, 7.1, -0.83, 2.4e+02, 30, 7.3, 2.8, 2.6e+02, 2.5e+02
476, -0.488, -0.266, -0.168, 0.872, 0.578, 0.125, 0.462, 0.22, 0.175, 30, 7.7, 0.091, 2.6e+02, 30, 7.3, -2.2, 2.5e+02, 30, 7.7, -0.33, 2.6e+02, 2.6e+02
487, -0.484, -0.268, -0.155, 0.832, 0.565, 0.121, 0.457, 0.286, 0.184, 6.4, 0.5, 0.82, 27, 5.2, 0.93, 0.15, 34, 30, 6.7, 1.4, 2.3e+02, 98
490, -0.449, -0.298, -0.179, 0.846, 0.485, 0.121, 0.474, 0.333, 0.121, 30, 8, -0.12, 2.7e+02, 30, 7.9, -0.32, 2.7e+02, 25, 5.6, -2.8, 2e+02, 2.5e+02
490, -0.471, -0.298, -0.195, 0.835, 0.476, 0.118, 0.475, 0.305, 0.176, 15, 1.9, 2.8, 89, 18, 3.6, 2.9, 1.4e+02, 30, 6.8, 2.6, 2.4e+02, 1.6e+02
485, -0.483, -0.27, -0.202, 0.839, 0.5, 0.115, 0.389, 0.241, 0.118, 30, 6.8, -0.78, 2.3e+02, 30, 6.5, -1.8, 2.3e+02, 30, 6.6, -0.81, 2.3e+02, 2.3e+02
488, -0.497, -0.252, -0.156, 0.822, 0.572, 0.121, 0.347, 0.393, 0.123, 30, 7.6, -1.2, 2.6e+02, 30, 7.7, 1.3, 2.6e+02, 30, 7.6, -2.1, 2.6e+02, 2.6e+02
487, -0.487, -0.261, -0.164, 0.855, 0.57, 0.122, 0.375, 0.332, 0.117, 30, 7.8, -1, 2.7e+02, 30, 7.8, -1.7, 2.7e+02, 30, 7.8, -1.3, 2.7e+02, 2.7e+02
487, -0.491, -0.261, -0.147, 0.834, 0.568, 0.122, 0.376, 0.326, 0.118, 30, 7.4, -2.4, 2.6e+02, 30, 7.2, 1.8, 2.5e+02, 30, 7.7, 0.075, 2.6e+02, 2.6e+02
475, -0.482, -0.268, -0.192, 0.878, 0.56, 0.129, 0.434, 0.268, 0.17, 30, 7.7, -1.3, 2.6e+02, 30, 8, 0.00094, 2.7e+02, 30, 7.7, -1.4, 2.6e+02, 2.7e+02
488, -0.49, -0.297, -0.182, 0.873, 0.547, 0.115, 0.428, 0.401, 0.122, 30, 8.2, -1.6, 2.8e+02, 23, 5.8, -2.8, 2.1e+02, 30, 8, -0.69, 2.7e+02, 2.5e+02
487, -0.441, -0.257, -0.181, 0.814, 0.575, 0.103, 0.377, 0.379, 0.102, 27, 6, -2.8, 2.1e+02, 30, 7.2, -1.4, 2.5e+02, 30, 7.3, 0.52, 2.5e+02, 2.4e+02
488, -0.483, -0.263, -0.151, 0.766, 0.571, 0.108, 0.375, 0.246, 0.103, 30, 6.5, -0.93, 2.3e+02, 30, 6.4, 0.44, 2.2e+02, 30, 6.4, -0.26, 2.2e+02, 2.2e+02
488, -0.487, -0.249, -0.182, 0.82, 0.538, 0.121, 0.385, 0.16, 0.102, 23, 4.6, -2.8, 1.7e+02, 13, 1.2, -2.8, 68, 6.2, 0.65, -0.81, 31, 89
489, -0.494, -0.299, -0.153, 0.823, 0.571, 0.112, 0.409, 0.191, 0.113, 6.1, 1.2, -0.33, 44, 4, 0.95, 0.069, 33, 4.2, 0.94, 0.2, 34, 37
488, -0.446, -0.279, -0.192, 0.78, 0.573, 0.109, 0.382, 0.276, 0.101, 30, 7.1, -2.1, 2.5e+02, 30, 7.7, -1.5, 2.6e+02, 30, 7.7, 0.0013, 2.6e+02, 2.6e+02
488, -0.446, -0.228, -0.192, 0.78, 0.573, 0.109, 0.382, 0.276, 0.101, 30, 6.6, 1.5, 2.3e+02, 30, 6.7, 1.2, 2.3e+02, 30, 6.6, 0.45, 2.3e+02, 2.3e+02
490, -0.48, -0.286, -0.181, 0.82, 0.586, 0.111, 0.513, 0.25, 0.0694, 26, 6, -2.8, 2.1e+02, 29, 7.1, -2.8, 2.5e+02, 30, 7.7, -2, 2.7e+02, 2.4e+02
481, -0.456, -0.27, -0.177, 0.819, 0.539, 0.118, 0.489, 0.254, 0.154, 30, 7.5, 2.6, 2.6e+02, 30, 7.7, -0.23, 2.6e+02, 30, 7.8, 0.38, 2.6e+02, 2.6e+02
485, -0.468, -0.255, -0.206, 0.512, 0.573, 0.112, 0.377, 0.392, 0.0998, 4.1, 0.4, 0.73, 21, 3, 0.014, -0.39, 8.3, 3.2, 0.09, -0.46, 11, 13
485, -0.486, -0.258, -0.194, 0.8, 0.575, 0.105, 0.382, 0.398, 0.102, 30, 7.8, -0.027, 2.7e+02, 30, 7.1, -2.2, 2.5e+02, 30, 7.6, -0.46, 2.6e+02, 2.6e+02
487, -0.457, -0.287, -0.189, 0.781, 0.488, 0.116, 0.461, 0.297, 0.12, 20, 4.2, 2.9, 1.6e+02, 30, 8, 1.2, 2.7e+02, 30, 7.6, 1.2, 2.6e+02, 2.3e+02
486, -0.458, -0.288, -0.19, 0.786, 0.482, 0.115, 0.465, 0.297, 0.131, 30, 7.6, 2.3, 2.6e+02, 30, 6.7, -1.5, 2.3e+02, 22, 4.6, 2.9, 1.7e+02, 2.2e+02
479, -0.446, -0.263, -0.174, 0.805, 0.597, 0.125, 0.334, 0.31, 0.119, 30, 7.8, 0.52, 2.6e+02, 30, 7.5, -1.7, 2.6e+02, 30, 7.5, -1.4, 2.6e+02, 2.6e+02
478, -0.451, -0.257, -0.168, 0.808, 0.595, 0.122, 0.301, 0.391, 0.0981, 26, 6, -2.8, 2.1e+02, 30, 7.4, -1.9, 2.6e+02, 30, 7.6, -0.98, 2.6e+02, 2.4e+02
491, -0.443, -0.282, -0.182, 0.847, 0.552, 0.112, 0.457, 0.154, 0.165, 30, 7.2, -2.1, 2.5e+02, 29, 6.4, -2.8, 2.3e+02, 30, 7.7, -1.9, 2.7e+02, 2.5e+02
484, -0.479, -0.278, -0.182, 0.86, 0.546, 0.113, 0.462, 0.504, 0.175, 30, 7.8, -1.8, 2.7e+02, 30, 8, -1, 2.7e+02, 30, 8, -1.4, 2.7e+02, 2.7e+02
486, -0.484, -0.261, -0.186, 0.837, 0.568, 0.122, 0.375, 0.377, 0.114, 19, 4, -2.8, 1.5e+02, 20, 4.5, -2.8, 1.6e+02, 30, 7.5, -1.8, 2.6e+02, 1.9e+02
486, -0.488, -0.262, -0.4, 0.835, 0.568, 0.122, 0.375, 0.327, 0.105, 1.5, -0.35, -0.16, 6.4, 1.6, -0.36, -0.14, 6.4, 1.5, -0.35, -0.15, 6.3, 6.4
488, -0.567, -0.29, -0.195, 0.813, 0.523, 0.115, 0.525, 0.5, 0.123, 2.2, 0.35, -0.35, 15, 2.5, -0.034, -0.47, 8.2, 2.5, 0.35, -0.39, 16, 13
488, -0.498, -0.291, -0.159, 0.813, 0.544, 0.117, 0.453, 0.397, 0.131, 5.4, 0.63, 0.74, 29, 18, 2, -2.8, 94, 5.4, 0.57, 0.73, 27, 50
489, -0.496, -0.281, -0.168, 0.829, 0.506, 0.118, 0.574, 0.407, 0.125, 21, 4.4, -2.8, 1.6e+02, 21, 3.5, -2.8, 1.4e+02, 20, 4.4, -2.8, 1.6e+02, 1.5e+02
487, -0.463, -0.264, -0.167, 0.776, 0.608, 0.12, 0.461, 0.224, 0.119, 30, 6.4, -1.9, 2.3e+02, 25, 5.1, -2.8, 1.9e+02, 30, 6.5, -1.9, 2.3e+02, 2.1e+02
487, -0.481, -0.261, -0.16, 0.787, 0.662, 0.116, 0.448, 0.252, 0.118, 30, 6.4, -1.7, 2.3e+02, 30, 6.6, 0.09, 2.3e+02, 30, 6.5, -1.1, 2.3e+02, 2.3e+02
486, -0.444, -0.257, -0.136, 0.871, 0.573, 0.121, 0.385, 0, 0.0998, 30, 6.9, 0.58, 2.4e+02, 30, 6.9, 0.23, 2.4e+02, 30, 6.9, -0.35, 2.4e+02, 2.4e+02
489, -0.426, -0.279, -0.21, 0.781, 0.573, 0.108, 0.378, 0.26, 0.107, 30, 7.1, 0.45, 2.5e+02, 30, 7.5, 0.23, 2.6e+02, 30, 7.5, 0.054, 2.6e+02, 2.5e+02
486, -0.483, -0.262, -0.154, 0.857, 0.574, 0.121, 0.373, 0.432, 0.108, 30, 7.8, -1.3, 2.6e+02, 30, 7.8, -1.2, 2.7e+02, 24, 5.5, -2.8, 2e+02, 2.4e+02
486, -0.483, -0.262, -0.155, 0.837, 0.574, 0.122, 0.373, 0.421, 0.108, 21, 4.5, -2.8, 1.6e+02, 30, 7.8, -1, 2.7e+02, 30, 7.8, -1.5, 2.7e+02, 2.3e+02
485, -0.473, -0.276, -0.193, 0.836, 0.523, 0.114, 0.42, 0.197, 0.154, 30, 8.1, -0.076, 2.7e+02, 30, 7.3, -2.8, 2.6e+02, 28, 6.8, -2.8, 2.4e+02, 2.6e+02
481, -0.466, -0.276, -0.179, 0.858, 0.54, 0.114, 0.55, 0.28, 0.152, 30, 7.9, -1.5, 2.7e+02, 30, 7.9, -1.8, 2.7e+02, 30, 8.1, -0.82, 2.7e+02, 2.7e+02
482, -0.458, -0.282, -0.185, 0.82, 0.519, 0.113, 0.521, 0.257, 0.151, 30, 7.8, -0.97, 2.7e+02, 27, 6.4, -2.8, 2.3e+02, 30, 7.7, -1.1, 2.6e+02, 2.5e+02
485, -0.458, -0.281, -0.186, 0.819, 0.53, 0.113, 0.521, 0.263, 0.159, 30, 8, 0.7, 2.7e+02, 30, 7.4, -2.4, 2.6e+02, 18, 3.5, 2.8, 1.3e+02, 2.2e+02
481, -0.484, -0.267, -0.18, 0.835, 0.555, 0.118, 0.383, 0.428, 0.174, 18, 3.3, 2.9, 1.3e+02, 30, 7.3, 2.3, 2.5e+02, 30, 7, -1.6, 2.4e+02, 2.1e+02
488, -0.471, -0.27, -0.188, 0.834, 0.53, 0.111, 0.552, 0.41, 0.118, 18, 3.7, -2.8, 1.4e+02, 30, 7.3, -1.9, 2.5e+02, 26, 5.9, -2.8, 2.1e+02, 2e+02
474, -0.472, -0.294, -0.177, 0.862, 0.51, 0.125, 0.552, 0.317, 0.154, 30, 7.8, -0.74, 2.6e+02, 30, 7.6, -1.2, 2.6e+02, 30, 7.8, -0.8, 2.7e+02, 2.6e+02
475, -0.473, -0.265, -0.195, 0.861, 0.571, 0.115, 0.453, 0.207, 0.109, 30, 6.4, -2.3, 2.3e+02, 30, 6.7, -1.7, 2.3e+02, 30, 6.8, -0.35, 2.4e+02, 2.3e+02
487, -0.485, -0.261, -0.153, 0.845, 0.575, 0, 0.375, 0.44, 0.108, 30, -0.074, -0.14, 33, 30, -0.15, -0.14, 33, 30, -0.13, 0.053, 32, 33
486, -0.485, -0.262, -0.153, 0.846, 0.573, 0.121, 0.375, 0.378, 0.108, 30, 8.1, -0.37, 2.7e+02, 30, 7.6, -2.2, 2.6e+02, 30, 7.6, -2, 2.6e+02, 2.7e+02
477, -0.469, -0.26, -0.186, 0.879, 0.494, 0.114, 0.495, 0.367, 0.154, 30, 7, -0.69, 2.4e+02, 30, 7, -1.8, 2.4e+02, 30, 7.2, 1.9, 2.5e+02, 2.4e+02
478, -0.473, -0.273, -0.173, 0.857, 0.589, 0.123, 0.49, 0.327, 0.219, 30, 6.7, -1.3, 2.3e+02, 30, 6.7, -0.07, 2.3e+02, 30, 6.9, 0.56, 2.4e+02, 2.3e+02
479, -0.485, -0.27, -0.147, 0.863, 0.573, 0.121, 0.557, 0.368, 0.108, 28, 6.9, -2.8, 2.4e+02, 30, 7.7, -1.6, 2.6e+02, 30, 7.8, -1.9, 2.7e+02, 2.6e+02
479, -0.466, -0.273, -0.137, 0.868, 0.563, 0.117, 0.526, 0.356, 0.0975, 30, 7.7, -2.1, 2.6e+02, 26, 6.1, -2.8, 2.2e+02, 30, 7.9, -1.1, 2.7e+02, 2.5e+02
489, -0.481, -0.262, -0.172, 0.854, 0.535, 0.121, 0.492, 0.396, 0.148, 30, 7.7, -1.9, 2.6e+02, 30, 7.8, -1.4, 2.7e+02, 30, 7.9, -0.48, 2.7e+02, 2.7e+02
478, -0.476, -0.285, -0.188, 0.848, 0.5, 0.109, 0.307, 0.442, 0.0927, 30, 6.6, 1.5, 2.3e+02, 30, 6.8, 0.0085, 2.4e+02, 30, 6.4, -2.4, 2.3e+02, 2.3e+02
488, -0.478, -0.285, -0.187, 0.796, 0.569, 0.108, 0.375, 0.383, 0.101, 30, 7.8, 1.6, 2.7e+02, 30, 8, -0.42, 2.7e+02, 30, 8, -0.13, 2.7e+02, 2.7e+02
487, -0.78, -0.278, -0.17, 0.85, 0.567, 0.105, 0.374, 0.389, 0.11, 2.3, -0.27, -0.19, 6.6, 2.2, -0.18, -0.25, 6.2, 2, -0.28, -0.18, 6.3, 6.4
483, -0.48, -0.258, -0.147, 0.832, 0.545, 0.122, 0.41, 0.21, 0.0989, 30, 7.6, -1.6, 2.6e+02, 29, 6.7, -2.8, 2.4e+02, 30, 7.5, -2.2, 2.6e+02, 2.5e+02
480, -0.491, -0.289, -0.156, 0.818, 0.504, 0.109, 0.439, 0.477, 0.162, 23, 3.4, 2.9, 1.4e+02, 4.2, 0.58, 0.55, 25, 5.1, 0.77, 0.68, 32, 65
487, -0.474, -0.28, -0.222, 0.838, 0.564, 0.113, 0, 0.37, 0.114, 3.3, 0.58, -0.23, 22, 29, 6, -2.8, 2.2e+02, 30, 6.6, -1.1, 2.3e+02, 1.6e+02
480, -0.452, -0.28, -0.163, 0.798, 0.573, 0.112, 0.486, 0.366, 0.103, 30, 7.2, -0.16, 2.5e+02, 30, 7.3, 0.89, 2.5e+02, 30, 7.3, 0.21, 2.5e+02, 2.5e+02
485, -0.468, -0.277, -0.222, 0.729, 0.561, 0.118, 0.361, 0.368, 0.194, 4, 0.23, 0.71, 17, 7.2, 0.99, 0.78, 41, 4.2, 0.39, 0.73, 21, 26
483, -0.477, -0.27, -0.19, 0.879, 0.557, 0.105, 0.427, 0.366, 0.0842, 27, 5, 2.9, 1.9e+02, 30, 6.3, -1.8, 2.2e+02, 30, 6.5, -0.35, 2.2e+02, 2.1e+02
485, -0.48, -0.271, -0.157, 0.872, 0.564, 0.115, 0.475, 0.36, 0.109, 30, 8.1, -0.61, 2.7e+02, 30, 7.8, -1.1, 2.7e+02, 25, 5.9, -2.8, 2.1e+02, 2.5e+02
480, -0.486, -0.292, -0.154, 0.893, 0.569, 0.117, 0.391, 0.353, 0.11, 24, 6, -2.8, 2.1e+02, 30, 8.1, -0.52, 2.8e+02, 30, 8.1, -1.3, 2.8e+02, 2.5e+02
479, -0.491, -0.4, -0.19, 0.882, 0.561, 0.129, 0.435, 0.233, 0.163, 3.9, 0.76, 0.26, 28, 4.3, 0.91, -0.21, 33, 4.2, 0.65, 0.54, 27, 29
474, -0.481, -0.268, -0.191, 0.874, 0.556, 0.127, 0.43, 0.32, 0.166, 16, 1.8, 2.9, 87, 30, 7.7, -1.7, 2.7e+02, 30, 7.8, -2.1, 2.7e+02, 2.1e+02
480, -0.482, -0.282, -0.161, 0.879, 0.629, 0.117, 0.469, 0.36, 0.109, 30, 7.5, 2.1, 2.6e+02, 30, 8.2, 0.25, 2.8e+02, 30, 8.2, -0.66, 2.8e+02, 2.7e+02
477, -0.478, -0.287, -0.156, 0.865, 0.613, 0.123, 0.542, 0.406, 0.107, 30, 7.6, 0.4, 2.6e+02, 30, 7.6, 0.44, 2.6e+02, 30, 7.6, 1.2, 2.6e+02, 2.6e+02
