T, A, B, Oc, C, Oj tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
456, -0.215, -0.263, -0.332, 0.0791, 0.168, 0.449, 0.0975, 0.136, 0.0483, 0.7, -0.4, 0.0051, 5.7, 0.7, -0.4, 0.0034, 5.7, 0.7, -0.4, 0.0031, 5.7, 5.7
297, -0.658, -0.438, -0.303, 0.0688, 0.12, 0.25, 0.129, 0.0213, 0.0184, 0.7, -0.4, 0.001, 5.7, 0.7, -0.39, 0.012, 5.7, 0.7, -0.39, 0.0037, 5.6, 5.7
592, 0.107, -0.115, -0.333, 0.426, 0.131, 0.0868, 0.307, 0.245, 0.018, 0.7, -0.41, 0.0022, 5.8, 0.65, -0.38, 0.0031, 5.4, 0.7, -0.41, 0.002, 5.8, 5.7
612, -0.795, -0.0951, -0.348, 0.414, 0.157, 0.233, 0.243, 0.444, 0.02, 0.65, -0.38, -0.02, 5.4, 0.65, -0.38, -0.019, 5.5, 0.65, -0.38, -0.019, 5.5, 5.5
374, -0.294, -0.0743, -0.208, 0.203, 0.0953, 0.342, 0.237, -0.00499, 0.00973, 1, -0.38, -0.076, 5.9, 1, -0.38, -0.077, 5.9, 1, -0.39, -0.072, 5.9, 5.9
343, -0.645, -0.181, -0.0806, 0.357, 0.194, 0.192, 0.236, 0.0707, 0.0095, 1.6, -0.32, -0.2, 6.4, 1.8, -0.33, -0.38, 7.7, 1.8, -0.42, 0.17, 7.3, 7.1
793, -0.596, -0.0604, -0.161, 0.692, 0.24, 0.458, 0.19, 0.264, 0.0391, 3.2, -0.23, 0.51, 9.8, 4.7, -0.3, 0.13, 9, 4.3, -0.31, 0.23, 9.2, 9.3
762, -0.833, -0.0817, -0.248, 0, 0.295, 0.32, 0.189, 0.0201, 0.074, 2, -0.42, -0.0045, 7.2, 2, -0.41, -0.029, 7.1, 2.1, -0.45, -0.017, 7.6, 7.3
360, -0.568, -0.27, -0.221, 0.0955, 0.478, 0.0934, 0.09, 0.294, 0.118, 2.4, -0.27, -0.32, 7.6, 2.1, -0.26, -0.13, 6, 1.9, -0.31, -0.21, 6.6, 6.8
462, -0.571, -0.0744, -0.121, 0.433, 0.476, 0.143, 0.173, 0.326, 0.0989, 2.8, -0.46, -0.23, 9, 3.2, -0.43, -0.14, 8.7, 5.8, -0.15, 0.14, 8.9, 8.8
441, -0.4, -0.111, -0.289, 0.34, 0.6, 0.232, 0.232, 0.0666, 0.00212, 4.1, 0.84, 0.19, 30, 3.3, 0.047, -0.13, 6.6, 4.1, 0.042, 0.067, 6.7, 15
461, -0.341, -0.144, -0.141, 0.299, 0.601, 0.201, 0.231, 0.0579, 0.00373, 7.3, 0.99, -0.26, 38, 13, 1.7, -0.093, 63, 12, 0.21, -0.42, 22, 41
179, -0.398, 0.0326, -0.187, 0.342, 0.267, 0.332, 0.14, 0.14, 0.182, 30, -1.9, -0.13, 50, 30, -1.8, 0.32, 50, 30, -2, -0.13, 51, 50
674, 0.0312, -0.248, -0.306, 0.317, 0.367, 0.362, 0.243, 0.31, 0.11, 30, -1.7, 0.62, 49, 30, -1.9, -0.34, 50, 30, -1.5, -1.3, 50, 50
705, -0.637, -0.0722, -0.418, 0.429, 0.368, 0.28, 0.429, 0.369, 0.0436, 0.75, -0.4, -0.02, 5.8, 0.75, -0.39, -0.027, 5.7, 0.75, -0.39, -0.027, 5.6, 5.7
711, -0.84, -0.0872, -0.387, 0.445, 0.0862, 0.415, 0.457, 0.268, 0.0103, 0.6, -0.38, -0.0081, 5.4, 0.6, -0.38, -0.01, 5.4, 0.6, -0.38, -0.01, 5.4, 5.4
226, -0.589, 0.00037, -0.272, 0.197, 0.458, 0.303, 0.208, 0.166, 0.029, 1.1, -0.3, 0.012, 5.1, 1.1, -0.32, 0.028, 5.4, 1.1, -0.33, 0.034, 5.4, 5.3
407, -0.592, -0.429, -0.274, 0.2, 0.458, 0.304, 0.252, -0.0291, 0.0387, 1.7, -0.14, -0.24, 5.4, 1.9, -0.39, -0.0041, 6.8, 5.8, -0.73, 0.2, 14, 8.9
