T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, savg
296, -0.854, -0.258, -0.207, 2.76, 0.518, 0.146, 1, 0.728, -0.0418, 15, 7.2, 0.51, 2.5e+02, 15, 6.6, 2.4, 2.3e+02, 1.6e+02
296, -0.818, -0.266, -0.2, 2.72, 0.512, 0.142, 0.43, 0.64, -0.0698, 13, 5.7, 2.9, 2e+02, 15, 7, 1.7, 2.4e+02, 1.5e+02
296, -0.748, -0.258, -0.202, 2.74, 0.534, 0.146, 0.2, 0.708, -0.0499, 15, 7.3, 1.6, 2.5e+02, 3, 1.4, 0.083, 49, 1e+02
297, -0.753, -0.255, -0.202, 2.75, 0.552, 0.145, 0.492, 0.714, -0.0488, 9.9, 3.6, 2.9, 1.4e+02, 15, 7.5, -0.15, 2.6e+02, 1.3e+02
297, -0.814, -0.253, -0.202, 2.75, 0.553, 0.143, 0.544, 0.661, -0.0588, 14, 6.4, -2.8, 2.3e+02, 15, 7.5, -0.58, 2.6e+02, 1.6e+02
296, -0.779, -0.252, -0.197, 2.81, 0.548, 0.144, 0.422, 0.666, -0.0582, 15, 7.6, 1.1, 2.6e+02, 3, 1.4, 0.12, 49, 1e+02
296, -0.795, -0.265, -0.197, 2.79, 0.526, 0.144, 0.536, 0.571, -0.0659, 13, 5.4, 2.9, 1.9e+02, 15, 7.6, -0.061, 2.6e+02, 1.5e+02
296, -0.797, -0.254, -0.197, 2.79, 0.511, 0.135, 0.459, 0.753, -0.0445, 15, 7.4, -0.95, 2.6e+02, 15, 6.9, 2.1, 2.4e+02, 1.7e+02
297, -0.835, -0.255, -0.201, 2.73, 0.511, 0.149, 0.264, 0.691, -0.0468, 12, 5.1, 2.9, 1.9e+02, 15, 7.4, 0.22, 2.5e+02, 1.5e+02
296, -0.77, -0.256, -0.201, 2.92, 0.509, 0.138, 0.255, 0.624, -0.0489, 15, 7.3, 2.2, 2.5e+02, 15, 7.9, 0.5, 2.7e+02, 1.7e+02
296, -0.807, -0.26, -0.199, 2.77, 0.538, 0.144, 0.442, 0.73, -0.06, 15, 7.4, 0.65, 2.5e+02, 4.6, 2.3, -0.11, 78, 1.1e+02
297, -0.81, -0.258, -0.199, 2.8, 0.54, 0.135, 0.518, 0.728, -0.0559, 2.7, 1.3, -0.0013, 44, 4.4, 2.2, 0.084, 76, 40
296, -0.83, -0.259, -0.2, 2.89, 0.502, 0.153, 0.276, 0.68, -0.0362, 15, 7.5, -0.23, 2.6e+02, 3.6, 1.7, 0.24, 61, 1.1e+02
296, -0.798, -0.252, -0.201, 2.87, 0.536, 0.157, 0.304, 0.672, -0.0464, 2.4, 1, 0.21, 37, 2.4, 1, 0.31, 36, 24
297, -0.824, -0.261, -0.205, 2.82, 0.514, 0.154, 0.188, 0.694, -0.0517, 15, 6.8, 2.9, 2.4e+02, 15, 7.6, 0.72, 2.6e+02, 1.7e+02
297, -0.824, -0.261, -0.205, 2.82, 0.514, 0.154, 0.188, 0.694, -0.0517, 15, 7.5, 1.1, 2.6e+02, 15, 7.6, 0.86, 2.6e+02, 1.7e+02
297, -0.804, -0.261, -0.203, 2.84, 0.563, 0.152, 0.158, 0.7, -0.0483, 2.6, 1.2, 0.11, 42, 2.7, 1.3, 0.071, 44, 29
296, -0.814, -0.261, -0.209, 2.78, 0.519, 0.154, 0.308, 0.712, -0.0481, 15, 6.9, 1.5, 2.4e+02, 15, 6.9, 2, 2.4e+02, 1.6e+02
297, -0.832, -0.259, -0.203, 2.76, 0.536, 0.146, 0.485, 0.71, -0.0583, 15, 7.4, 1.4, 2.5e+02, 12, 5.2, 2.9, 1.9e+02, 1.5e+02
296, -0.823, -0.26, -0.202, 2.76, 0.541, 0.147, 0.488, 0.711, -0.052, 15, 7.5, 0.16, 2.5e+02, 15, 7.4, 0.37, 2.5e+02, 1.7e+02
296, -0.828, -0.257, -0.204, 2.83, 0.499, 0.142, 0.296, 0.654, -0.0355, 15, 7.5, 1, 2.6e+02, 11, 4.5, 2.8, 1.7e+02, 1.4e+02
296, -0.82, -0.255, -0.203, 2.89, 0.502, 0.143, 0.342, 0.654, -0.0546, 15, 7.7, 0.8, 2.6e+02, 15, 7.2, 2.6, 2.5e+02, 1.7e+02
296, -0.84, -0.265, -0.206, 2.87, 0.524, 0.136, 0.199, 0.663, -0.0345, 15, 7.6, 0.84, 2.6e+02, 15, 7.6, 1.4, 2.6e+02, 1.7e+02
296, -0.778, -0.266, -0.208, 2.87, 0.524, 0.136, 0.252, 0.601, -0.037, 2.8, 1.3, 0.13, 47, 15, 7.5, -0.6, 2.6e+02, 1e+02
297, -0.82, -0.255, -0.202, 2.79, 0.512, 0.143, 0.412, 0.68, -0.0494, 7.6, 4, 0.24, 1.4e+02, 15, 7.5, 1.1, 2.6e+02, 1.3e+02
298, -0.778, -0.256, -0.201, 2.89, 0.518, 0.143, 0.431, 0.735, -0.0506, 2.7, 1.2, 0.14, 44, 3.2, 1.6, 0.27, 55, 33
297, -0.852, -0.261, -0.203, 2.85, 0.529, 0.144, 0.442, 0.698, -0.0628, 15, 7.6, 0.92, 2.6e+02, 15, 7.6, 1.9, 2.6e+02, 1.7e+02
297, -0.825, -0.258, -0.203, 2.71, 0.554, 0.142, 0.371, 0.69, -0.0572, 13, 5.3, 2.9, 1.9e+02, 15, 7.4, 0.64, 2.5e+02, 1.5e+02
297, -0.769, -0.256, -0.202, 2.77, 0.534, 0.146, 0.149, 0.719, -0.0505, 4.3, 2.1, -0.22, 73, 10, 4.5, -2.5, 1.6e+02, 78
297, -0.812, -0.256, -0.202, 2.74, 0.556, 0.145, 0.522, 0.719, -0.0508, 15, 7.2, 1.8, 2.5e+02, 3.3, 1.6, -0.036, 55, 1e+02
296, -0.796, -0.264, -0.205, 2.87, 0.53, 0.15, 0.274, 0.673, -0.0566, 15, 7.6, -0.36, 2.6e+02, 2.6, 1.2, 0.042, 43, 1e+02
296, -0.793, -0.264, -0.205, 2.86, 0.526, 0.158, 0.272, 0.673, -0.0557, 2.3, 0.96, 0.37, 35, 2.3, 0.88, 0.4, 33, 23
297, -0.859, -0.26, -0.202, 2.76, 0.551, 0.144, 0.482, 0.708, -0.0586, 15, 7.4, 0.58, 2.5e+02, 15, 7.5, 1.1, 2.6e+02, 1.7e+02
297, -0.854, -0.26, -0.202, 2.76, 0.551, 0.144, 0.466, 0.71, -0.0589, 5.2, 2.7, 0.17, 91, 15, 6.8, -2.8, 2.4e+02, 1.1e+02
296, -0.848, -0.26, -0.202, 2.76, 0.55, 0.145, 0.472, 0.71, -0.0589, 15, 7.5, 0.83, 2.6e+02, 15, 7.4, 1.2, 2.5e+02, 1.7e+02
296, -0.848, -0.26, -0.202, 2.76, 0.55, 0.145, 0.472, 0.71, -0.0589, 15, 7.4, 0.79, 2.5e+02, 13, 5.9, 2.9, 2.1e+02, 1.6e+02
296, -0.811, -0.258, -0.203, 2.77, 0.555, 0.143, 0.483, 0.675, -0.0508, 15, 7.5, -0.56, 2.6e+02, 2.9, 1.4, -0.12, 48, 1e+02
297, -0.81, -0.258, -0.203, 2.8, 0.557, 0.138, 0.499, 0.719, -0.0532, 15, 7.6, 0.42, 2.6e+02, 2.8, 1.3, -0.033, 47, 1e+02
296, -0.821, -0.255, -0.202, 2.81, 0.514, 0.145, 1, 0.718, -0.0508, 15, 7, 1.8, 2.4e+02, 15, 7.5, -0.6, 2.6e+02, 1.7e+02
298, -0.78, -0.255, -0.203, 2.76, 0.516, 0.145, 0.285, 0.664, -0.0505, 3.1, 1.5, 0.17, 52, 15, 7.5, 1.3, 2.6e+02, 1e+02
298, -0.8, -0.263, -0.199, 2.82, 0.512, 0.145, 0.422, 0.675, -0.05, 3, 1.4, 0.19, 50, 8, 4.2, 0.13, 1.4e+02, 65
296, -0.803, -0.257, -0.202, 2.86, 0.536, 0.147, 0.426, 0.671, -0.0519, 15, 7.7, 0.45, 2.6e+02, 3, 1.4, 0.087, 50, 1e+02
296, -0.846, 0, -0.203, 2.79, 0.56, 0.141, 1, 0.652, -0.0621, 15, 4.5, -0.11, 1.7e+02, 15, 4.5, 0.094, 1.7e+02, 1.1e+02
297, -0.808, -0.259, -0.203, 2.73, 0.477, 0.141, 0.35, 0.693, -0.0555, 15, 6.7, 2.1, 2.4e+02, 15, 6.6, 2.9, 2.3e+02, 1.6e+02
297, -0.83, -0.261, -0.198, 2.85, 0.528, 0.148, 0.344, 0.67, -0.0484, 4.9, 2.5, 0.36, 87, 3.6, 1.8, 0.083, 62, 49
296, -0.809, -0.261, -0.199, 2.85, 0.532, 0.143, 0.568, 0.671, -0.0383, 3.4, 1.6, 0.18, 57, 3.4, 1.6, 0.052, 56, 38
296, -0.848, -0.26, -0.202, 2.76, 0.55, 0.145, 0.472, 0.71, -0.0589, 15, 6.4, -2, 2.3e+02, 13, 6.1, 2.9, 2.2e+02, 1.5e+02
296, -0.848, -0.26, -0.202, 2.76, 0.55, 0.145, 0.472, 0.71, -0.0589, 15, 7.5, -0.21, 2.6e+02, 15, 7.5, -0.63, 2.6e+02, 1.7e+02
296, -0.845, -0.254, -0.202, 2.89, 0.516, 0.14, 0.171, 0.662, -0.0377, 3.6, 1.8, 0.0025, 61, 15, 7.7, 0.23, 2.6e+02, 1.1e+02
296, -0.838, -0.268, -0.204, 2.9, 0.493, 0.142, 0.295, 0.664, -0.0407, 10, 5, 2.2, 1.8e+02, 15, 7.5, 1.2, 2.6e+02, 1.4e+02
297, -0.849, -0.26, -0.202, 2.78, 0.533, 0.142, 0.493, 0.653, -0.0351, 15, 7.1, 1.7, 2.5e+02, 15, 7.2, 2.1, 2.5e+02, 1.7e+02
296, -0.854, -0.259, -0.203, 2.83, 0.539, 0.143, 0.472, 0.729, -0.0446, 2.7, 1.3, 0.013, 45, 15, 7.4, -0.33, 2.5e+02, 99
296, -0.826, -0.258, -0.202, 2.85, 0.555, 0.141, 0.397, 0.636, -0.0495, 3.1, 1.5, -0.028, 52, 15, 7.6, 1.4, 2.6e+02, 1e+02
296, -0.836, -0.262, -0.204, 2.85, 0.485, 0.141, 0.401, 0.741, -0.0499, 15, 7.6, -0.96, 2.6e+02, 15, 7.1, 2.5, 2.5e+02, 1.7e+02
298, -0.805, -0.254, -0.205, 2.85, 0.516, 0.142, 0.415, 0.661, -0.0493, 4, 2, 0.13, 70, 15, 7.7, 0.82, 2.6e+02, 1.1e+02
297, -0.835, -0.255, -0.206, 2.9, 0.507, 0.142, 0.497, 0.736, -0.0534, 14, 6.6, 2.8, 2.3e+02, 15, 7.8, 1.2, 2.6e+02, 1.7e+02
296, -0.827, -0.258, -0.203, 2.87, 0.512, 0.143, 0.507, 0.709, -0.052, 14, 6.5, 2.9, 2.3e+02, 15, 7.6, 1.2, 2.6e+02, 1.6e+02
297, -0.838, -0.26, -0.202, 2.75, 0.513, 0.144, 0.436, 0.674, -0.0586, 15, 7.4, 0.65, 2.5e+02, 15, 6.9, 2.3, 2.4e+02, 1.6e+02
296, -0.766, -0.256, -0.201, 2.9, 0.506, 0.141, 0.42, 0.641, -0.0483, 11, 4.2, 2.8, 1.6e+02, 15, 7.5, 1.1, 2.6e+02, 1.4e+02
296, -0.813, -0.255, -0.203, 2.85, 0.51, 0.141, 0.294, 0.651, -0.0511, 15, 7.3, 2, 2.5e+02, 15, 7.5, 1.4, 2.6e+02, 1.7e+02
296, -0.797, -0.264, -0.194, 2.81, 0.514, 0.139, 0.338, 0.68, -0.0506, 3.5, 1.7, 0.32, 58, 5.3, 2.7, 0.26, 93, 50
296, -0.787, -0.259, -0.203, 2.8, 0.503, 0.144, 0.225, 0.68, -0.0576, 11, 4.5, 2.9, 1.7e+02, 15, 7.3, 1.3, 2.5e+02, 1.4e+02
296, -0.823, -0.261, 0, 2.8, 0.518, 0, 0.316, 0.71, -0.0282, 1.1, 0.45, 0.031, 17, 1.1, 0.47, 0.059, 17, 11
297, -0.818, -0.258, -0.202, 2.77, 0.514, 0.133, 0.493, 0.641, -0.0329, 15, 7.3, -0.035, 2.5e+02, 15, 7.6, 1.2, 2.6e+02, 1.7e+02
297, -0.81, -0.258, -0.203, 2.86, 0.504, 0.141, 0.371, 0.677, -0.0484, 14, 6.5, 2.9, 2.3e+02, 15, 7.6, 1.6, 2.6e+02, 1.6e+02
297, -0.811, -0.258, -0.203, 2.84, 0.508, 0.142, 0.371, 0.661, -0.0503, 9.7, 5.1, -0.29, 1.7e+02, 15, 6.8, -2.8, 2.4e+02, 1.4e+02
297, -0.792, -0.253, -0.2, 2.77, 0.53, 0.14, 0.445, 0.718, -0.0498, 15, 7.6, 0.86, 2.6e+02, 15, 7.4, 1.5, 2.5e+02, 1.7e+02
298, -0.798, -0.253, -0.2, 2.77, 0.524, 0.14, 0.164, 0.71, -0.0489, 2.7, 1.3, 0.088, 44, 2.9, 1.4, 0.14, 49, 31
296, -0.816, -0.259, -0.201, 2.85, 0.498, 0.142, 0.388, 0.675, -0.0513, 15, 7.3, 1.7, 2.5e+02, 15, 6.7, -2.8, 2.4e+02, 1.6e+02
297, -0.805, -0.258, -0.203, 2.84, 0.504, 0.142, 0.394, 0.672, -0.0489, 15, 7.6, 0.61, 2.6e+02, 15, 7.3, 2.1, 2.5e+02, 1.7e+02
297, -0.849, -0.26, -0.203, 2.83, 0.532, 0.144, 0.434, 0.714, -0.0625, 2.9, 1.4, 0.017, 49, 15, 7.5, 1.5, 2.6e+02, 1e+02
297, -0.849, -0.26, -0.201, 2.87, 0.542, 0.144, 0.464, 0.697, -0.0624, 3, 1.5, 0.062, 52, 8.4, 4.2, 0.66, 1.4e+02, 65
296, -0.759, -0.255, -0.201, 2.71, 0.515, 0.143, 0.381, 0.743, -0.0487, 14, 5.8, 2.9, 2.1e+02, 15, 7.2, 1.1, 2.5e+02, 1.5e+02
296, -0.786, -0.259, -0.201, 2.84, 0.526, 0.135, 0.373, 0.741, -0.0478, 6.3, 3.2, 0.48, 1.1e+02, 15, 7.6, -0.065, 2.6e+02, 1.2e+02
297, -0.86, -0.261, -0.206, 2.81, 0.508, 0.144, 0.528, 0.694, -0.0663, 15, 7.5, 0.7, 2.6e+02, 15, 6.9, 2.7, 2.4e+02, 1.7e+02
297, -0.847, -0.261, -0.203, 2.82, 0.531, 0.147, 0.38, 0.695, -0.0682, 15, 7.5, -1.7, 2.6e+02, 15, 7.2, 2.3, 2.5e+02, 1.7e+02
296, -0.848, -0.261, -0.201, 2.84, 0.536, 0.145, 0.444, 0.677, -0.062, 15, 7, 2.9, 2.5e+02, 15, 7.6, 0.72, 2.6e+02, 1.7e+02
296, -0.839, -0.259, -0.202, 2.74, 0.488, 0.147, 0.362, 0.706, -0.0505, 15, 7.1, 0.84, 2.4e+02, 15, 6.9, 1.5, 2.4e+02, 1.6e+02
298, -0.835, -0.255, -0.202, 2.93, 0.513, 0.147, 0.335, 0.696, -0.0498, 2.8, 1.4, 0.096, 48, 2.9, 1.4, 0.016, 49, 32
298, -0.834, -0.255, -0.202, 2.77, 0.506, 0.146, 0.313, 0.723, -0.0497, 15, 7.5, 1.1, 2.6e+02, 5.8, 3, 0.28, 1e+02, 1.2e+02
296, -0.794, -0.252, -0.198, 2.8, 1.4, 0.142, 0.317, 0.676, -0.0566, 0.6, 0.32, 0.012, 12, 0.6, 0.33, 0.015, 12, 8
296, -0.794, -0.252, -0.198, 2.8, 0.543, 0.142, 0.317, 0.676, -0.0566, 2.8, 1.3, -0.079, 46, 12, 4.4, -2.8, 1.7e+02, 71
296, -0.798, -0.261, -0.203, 2.77, 0.541, 0.154, 0.486, 0.708, -0.053, 15, 7.4, 1.3, 2.5e+02, 15, 6.9, 2.3, 2.4e+02, 1.7e+02
296, -0.838, 0, -0.203, 2.8, 0.528, 0.153, 0.334, 0.709, -0.0526, 15, 3.9, -0.076, 1.5e+02, 15, 4.2, 0.23, 1.6e+02, 1e+02
298, -0.846, -0.258, -0.199, 2.84, 0.512, 0.142, 0.489, 0.674, -0.039, 3.4, 1.7, 0.2, 58, 6.9, 3.6, -0.32, 1.2e+02, 60
297, -0.823, -0.261, -0.201, 2.85, 0.538, 0.143, 0.488, 0.676, -0.0449, 4.9, 2.5, 0.13, 85, 3.4, 1.6, -0.14, 57, 47
296, -0.794, -0.26, -0.201, 2.8, 0.506, 0.14, 0.401, 0.666, -0.0547, 15, 6.2, -2.8, 2.2e+02, 15, 7.5, 0.12, 2.6e+02, 1.6e+02
297, -0.804, -0.263, -0.202, 2.81, 0.519, 0.156, 0.339, 0.699, -0.048, 2.7, 1.3, 0.072, 44, 15, 7.5, 0.85, 2.6e+02, 1e+02
298, -0.805, -0.257, -0.202, 2.69, 0.487, 0.146, 0.383, 0.702, -0.0508, 15, 7.6, 0.8, 2.6e+02, 14, 6.3, 2.9, 2.3e+02, 1.6e+02
296, -0.809, -0.257, -0.203, 2.76, 0.534, 0.143, 0.425, 0.647, -0.0507, 15, 7.4, 0.68, 2.5e+02, 15, 7.1, 2.1, 2.5e+02, 1.7e+02
298, -0.781, -0.255, -0.202, 2.74, 0.513, 0.145, 0.254, 0.717, -0.05, 15, 7.6, -1.2, 2.6e+02, 9.2, 4.8, 0.56, 1.6e+02, 1.4e+02
298, -0.781, -0.255, -0.202, 2.74, 0.513, 0.145, 0.254, 0.717, -0.05, 15, 7.6, 0.91, 2.6e+02, 15, 7.3, 2, 2.5e+02, 1.7e+02
296, -0.801, -0.252, -0.205, 2.8, 0.529, 0.144, 0.354, 0.732, -0.0525, 15, 7.2, 1.8, 2.5e+02, 15, 7.5, -0.21, 2.6e+02, 1.7e+02
296, -0.801, -0.253, -0.2, 2.8, 0.542, 0.144, 0.354, 0.731, -0.051, 15, 7.5, 0.62, 2.6e+02, 15, 6.7, 2.9, 2.4e+02, 1.6e+02
298, -0.795, -0.26, -0.202, 2.76, 0.556, 0.146, 0.507, 0.71, -0.0586, 3.3, 1.6, -0.032, 57, 7.8, 4, 0.35, 1.4e+02, 64
298, -0.818, -0.254, -0.202, 2.73, 0.514, 0.145, 0.387, 0.714, -0.0574, 12, 5, 2.9, 1.8e+02, 15, 7.7, 0.47, 2.6e+02, 1.5e+02
296, -0.803, -0.257, -0.2, 2.78, 0.551, 0.143, 0.225, 0.722, -0.0626, 7.8, 4, 0.41, 1.4e+02, 15, 7.6, -0.27, 2.6e+02, 1.3e+02
296, -0.848, -0.262, -0.2, 1.4, 0.552, 0.143, 0.459, 0.717, -0.0589, 2.5, 0.8, 0.14, 30, 15, 4.4, -1.7, 1.7e+02, 66
296, -0.827, -0.259, -0.199, 2.77, 0.546, 0.143, 0.428, 0.703, -0.059, 8.9, 4.6, 0.085, 1.6e+02, 15, 7.5, 0.92, 2.6e+02, 1.4e+02
296, -0.813, -0.25, -0.196, 2.79, 0.535, 0.142, 0.393, 0.667, -0.0518, 12, 5.1, 2.9, 1.8e+02, 15, 7.5, 0.29, 2.6e+02, 1.5e+02
296, -0.807, -0.253, -0.199, 2.83, 0.556, 0.142, 0.303, 0.676, -0.0595, 2.6, 1.2, 0.021, 43, 3.5, 1.7, -0.014, 60, 34
296, -0.797, -0.261, -0.21, 2.85, 0.527, 0.145, 0.317, 0.654, -0.0432, 14, 6.2, 2.9, 2.2e+02, 15, 7.6, 0.86, 2.6e+02, 1.6e+02
296, -0.835, -0.261, -0.4, 2.83, 0.524, 0.135, 0.283, 0.675, -0.0422, 15, 5.3, 0.35, 1.9e+02, 15, 5.2, 0.76, 1.9e+02, 1.3e+02
297, -0.856, -0.255, -0.202, 2.75, 0.544, 0.145, 0.325, 0.717, -0.0584, 15, 7.6, -0.55, 2.6e+02, 6, 3.1, 0.0029, 1.1e+02, 1.2e+02
297, -0.801, -0.256, -0.202, 2.74, 0.565, 0.145, 0.247, 0.713, -0.0614, 15, 7.1, 2, 2.5e+02, 3.7, 1.8, -0.075, 64, 1e+02
297, -0.826, -0.258, -0.203, 2.81, 0.515, 0.137, 0.544, 0.698, -0.0501, 15, 7.1, 2.5, 2.5e+02, 15, 7.6, 0.45, 2.6e+02, 1.7e+02
297, -0.834, -0.258, -0.203, 2.9, 0.543, 0.14, 0.404, 0.689, -0.0486, 2.7, 1.3, 0.07, 44, 2.5, 1.1, 0.21, 40, 28
296, -0.79, -0.265, -0.202, 2.82, 0.52, 0.15, 0.321, 0.684, -0.025, 15, 7.2, 1.2, 2.5e+02, 3, 1.4, 0.03, 50, 99
296, -0.833, -0.263, -0.205, 2.84, 0.522, 0.13, 0.232, 0.675, -0.0275, 15, 7, 2.1, 2.4e+02, 3.5, 1.7, 0.12, 58, 1e+02
296, -0.832, -0.258, -0.201, 2.77, 0.55, 0.142, 0.526, 0.652, -0.0518, 15, 7.3, -0.99, 2.5e+02, 15, 7.2, 1.8, 2.5e+02, 1.7e+02
296, -0.802, -0.256, -0.201, 2.87, 0.504, 0.143, 0.388, 0.708, -0.0538, 13, 5.3, 2.9, 1.9e+02, 15, 7.5, 0.88, 2.6e+02, 1.5e+02
298, -0.85, -0.26, -0.202, 2.76, 0.537, 0.145, 0.467, 0.709, -0.0608, 15, 7.5, 1.9, 2.6e+02, 13, 5.6, 2.9, 2e+02, 1.5e+02
297, -0.817, -0.26, -0.202, 2.76, 0.55, 0.143, 0.488, 0.713, -0.0598, 3.2, 1.6, 0.053, 54, 15, 7.7, 0.72, 2.6e+02, 1e+02
296, -0.848, -0.259, -0.203, 2.88, 0.507, 0.145, 0.48, 0.697, -0.0516, 15, 7.6, 1.3, 2.6e+02, 6.7, 3.5, 0.5, 1.2e+02, 1.3e+02
296, -0.794, -0.26, -0.202, 2.83, 0.569, 0.144, 0.464, 0.676, -0.0468, 2.8, 1.3, -0.025, 47, 2.9, 1.4, 0.013, 48, 32
297, -0.839, -0.263, -0.201, 2.88, 0.526, 0.135, 0.14, 0.712, -0.0318, 4, 2, -0.14, 69, 7.1, 3.6, -0.18, 1.2e+02, 64
296, -0.851, -0.267, -0.2, 2.89, 0.552, 0.142, 0.566, 0.691, -0.0616, 2.8, 1.4, -0.11, 48, 3, 1.4, -0.086, 50, 33
297, -0.829, -0.258, -0.203, 2.87, 0.508, 0.14, 0.371, 0.685, 0.0733, 15, 7.2, -0.18, 2.5e+02, 15, 6.7, 2.4, 2.4e+02, 1.6e+02
297, -0.877, -0.261, -0.203, 2.8, 0.528, 0.14, 0.359, 0.696, -0.0634, 15, 6.1, 2.9, 2.2e+02, 15, 7.4, 0.75, 2.5e+02, 1.6e+02
296, -0.872, -0.261, -0.203, 2.79, 0.529, 0.159, 0.331, 0.698, -0.0582, 2.6, 1, 0.41, 38, 3.5, 1.2, 0.73, 47, 28
297, -0.819, -0.257, -0.206, 2.79, 0.523, 0.142, 0.278, 0.668, -0.0471, 15, 7.1, -2.3, 2.5e+02, 15, 7.5, 0.33, 2.6e+02, 1.7e+02
296, -0.845, -0.257, -0.204, 2.77, 0.518, 0.141, 0.247, 0.728, -0.04, 13, 5.3, 2.9, 1.9e+02, 15, 7.2, 1.1, 2.5e+02, 1.5e+02
296, -0.802, -0.263, -0.203, 2.79, 0.551, 0.158, 0.432, 0.719, -0.0569, 2.4, 0.96, 0.36, 35, 2.4, 1, 0.2, 36, 24
296, -0.803, -0.265, -0.201, 2.81, 0.543, 0.145, 0.519, 0.725, -0.0528, 15, 7.3, 1.4, 2.5e+02, 2.7, 1.3, -0.084, 44, 99
296, -0.823, -0.254, -0.204, 2.83, 0.518, 0.146, 0.13, 0.699, -0.0554, 15, 6.9, 2.3, 2.4e+02, 15, 7.4, -0.64, 2.5e+02, 1.7e+02
297, -0.784, -0.258, -0.198, 2.79, 0.512, 0.157, 0.269, 0.674, -0.0538, 15, 7.6, -0.38, 2.6e+02, 3.3, 1.6, 0.28, 55, 1.1e+02
296, -0.786, -0.266, -0.204, 2.82, 0.522, 0.137, 0.197, 0.679, -0.0253, 15, 7.4, 0.43, 2.5e+02, 3.3, 1.6, -0.0034, 55, 1e+02
296, -0.795, -0.262, -0.202, 2.8, 0.526, 0.136, 0.167, 0.684, -0.0325, 15, 6.8, 2.6, 2.4e+02, 15, 7.4, 1.1, 2.5e+02, 1.6e+02
296, -0.804, -0.264, -0.202, 2.78, 0.557, 0.159, 0.288, 0.716, -0.0514, 2.1, 0.91, 0.11, 33, 2.3, 0.99, 0.11, 35, 23
296, -0.801, -0.255, -0.204, 2.79, 0.528, 0.15, 0.443, 0.702, -0.0643, 15, 7.1, 2, 2.5e+02, 15, 7.5, 0.22, 2.6e+02, 1.7e+02
297, -0.842, -0.26, -0.203, 2.77, 0.563, 0.151, 0.528, 0.714, -0.0579, 15, 7.4, 1.7, 2.6e+02, 3.5, 1.7, 0.13, 58, 1e+02
297, -0.872, -0.26, -0.204, 2.85, 0.544, 0.145, 0.291, 0.715, -0.0591, 15, 7.4, 2.2, 2.5e+02, 15, 7.7, 0.012, 2.6e+02, 1.7e+02
296, -0.828, -0.259, -0.202, 2.86, 0.524, 0.14, 0.362, 0.675, -0.0357, 15, 7.1, 2.2, 2.5e+02, 15, 7.5, 0.15, 2.6e+02, 1.7e+02
297, -0.824, -0.261, -0.205, 2.84, 0.507, 0.142, 0.386, 0.67, -0.0497, 15, 7, 2.6, 2.5e+02, 15, 7.6, 1.1, 2.6e+02, 1.7e+02
296, -0.848, -0.26, -0.202, 2.76, 0.55, 0, 0.472, 0.71, -0.0589, 4.5, 0.95, -0.0088, 39, 3, 0.64, 0.24, 27, 22
296, -0.848, -0.26, -0.202, 2.76, 0.55, 0.145, 0.472, 0, -0.0589, 15, 6.1, -2.8, 2.2e+02, 15, 7, 0.54, 2.4e+02, 1.5e+02
297, -0.815, -0.261, -0.206, 2.78, 0.517, 0.157, 0.628, 0.719, -0.0534, 15, 7.6, -1.1, 2.6e+02, 14, 6, 2.8, 2.1e+02, 1.6e+02
297, -0.817, -0.261, -0.205, 1.4, 0.517, 0.14, 0.265, 0.711, -0.049, 5.6, 1.4, 0.5, 56, 15, 3.5, 0.48, 1.4e+02, 64
297, -0.833, -0.257, -0.202, 2.74, 0.527, 0.142, 0.439, 0.71, -0.0524, 15, 7.3, -0.18, 2.5e+02, 15, 7.4, 0.22, 2.5e+02, 1.7e+02
297, -0.853, -0.26, -0.203, 2.85, 0.525, 0.142, 0.417, 0.679, -0.0461, 15, 7.6, 1.3, 2.6e+02, 3.7, 1.8, 0.22, 64, 1.1e+02
297, -0.835, -0.261, -0.197, 2.78, 0.537, 0.143, 0.374, 0.67, -0.0518, 15, 7.4, 1.6, 2.5e+02, 3.7, 1.8, 0.21, 63, 1.1e+02
297, -0.813, -0.256, -0.204, 2.8, 0.519, 0.157, 0.321, 0.69, -0.0512, 15, 7.5, 0.2, 2.6e+02, 14, 6.6, 2.9, 2.3e+02, 1.6e+02
296, -0.825, -0.26, -0.2, 2.76, 0.551, 0.145, 0.488, 0.726, -0.062, 15, 7.5, 0.98, 2.6e+02, 15, 7.3, 1.9, 2.5e+02, 1.7e+02
296, -0.841, -0.256, -0.203, 2.77, 0.552, 0.143, 0.51, 0.718, -0.0573, 13, 5.2, 2.8, 1.9e+02, 15, 7.5, 0.96, 2.6e+02, 1.5e+02
296, -0.848, -0.26, -0.202, 2.76, 0.55, 0.145, 0.472, 0.71, -0.0589, 15, 7.4, 0.95, 2.5e+02, 15, 7.5, -0.12, 2.6e+02, 1.7e+02
296, -0.848, -0.26, -0.202, 2.76, 0.55, 0.145, 0.472, 0.71, -0.0589, 15, 6.9, 2.5, 2.4e+02, 15, 7.3, 1.3, 2.5e+02, 1.6e+02
297, -0.853, -0.261, -0.199, 2.84, 0.532, 0.143, 0.49, 0.67, -0.0418, 15, 7.5, 1.9, 2.6e+02, 15, 7.5, 1.6, 2.6e+02, 1.7e+02
