T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, savg
331, -0.326, -0.0722, -0.333, 0.2, 1.64, 0.246, 0.268, 0.395, 0.0311, 0.6, 0.36, -0.001, 13, 0.57, 0.34, -0.0044, 12, 8.5
347, -0.111, -0.0979, -0.306, -0.0157, 1.65, 0.0676, 0.221, 0.22, 0.0318, 0.57, 0.34, -0.0042, 12, 0.6, 0.36, -0.0016, 13, 8.5
154, -0.791, -0.0288, -0.16, 0.508, 0.756, 0.332, 0.0213, 0.247, 0.303, 0.85, 0.35, 0.066, 13, 0.93, 0.33, 0.092, 13, 8.8
593, -0.691, -0.0467, -0.33, 0.489, 0.836, 0.368, 0.382, 0.419, 0.286, 1.2, 0.46, 0.082, 17, 1.1, 0.46, 0.085, 17, 12
587, -0.738, -0.0213, -0.36, 0.582, 0.398, 0.306, 0.406, 0.847, 0.271, 2, -0.059, 0.25, 7.5, 3, -0.15, -0.022, 8.5, 5.3
597, -0.94, -0.0292, -0.34, 0.627, 0.0193, 0.37, 0.614, 0.815, 0.0449, 0.6, -0.37, -0.038, 5.9, 0.6, -0.37, -0.043, 5.9, 3.9
319, -0.477, -0.0124, -0.074, 0.575, -0.386, 0.272, 0.487, 0.312, -0.0274, 0.55, -0.39, -0.01, 6, 0.55, -0.39, -0.011, 6, 4
364, -0.486, -0.434, -0.0959, 0.575, -0.324, 0.273, 0.71, -0.282, 0.12, 0.57, -0.39, -0.012, 6.1, 0.6, -0.41, -0.0095, 6.3, 4.1
285, -0.711, -0.036, -0.121, 0.752, 0.372, 0.334, 0.378, 0.604, 0.273, 1.9, 0.096, -0.086, 8, 1.9, 0.17, 0.07, 10, 6
263, -0.586, -0.0372, -0.454, 0.868, 0.953, 0.602, 0.521, 0.684, 0.238, 0.95, 0.33, 0.066, 13, 0.85, 0.34, 0.045, 13, 8.6
453, -0.787, -0.0326, -0.134, 0.272, 0.855, 0.246, 0.652, -0.107, 0.559, 0.8, 0.42, 0.082, 15, 0.82, 0.43, 0.074, 16, 10
394, -0.784, -0.0407, -0.28, 0.205, 1.33, 0.218, 0.661, 0.532, 0.257, 0.62, 0.37, -0.011, 13, 0.62, 0.37, -0.019, 13, 8.9
341, -0.395, -0.0477, -0.266, 0.492, 1.4, 0.142, -0.0708, 0.623, 0.238, 0.6, 0.36, -0.016, 13, 0.62, 0.36, -0.024, 13, 8.7
428, -0.421, -0.0721, -0.205, 0.477, 0.738, 0.236, 0.322, 0.622, 0.14, 15, 1.6, -0.19, 81, 15, 0.49, 0.051, 46, 42
238, -0.692, -0.351, -0.277, 1.01, 0.74, 0.0635, 0.361, 0.882, 0.0876, 2, 0.5, -0.046, 20, 1.9, 0.54, -0.013, 21, 14
238, -0.692, -0.351, -0.277, 1.01, 0.74, 0.0635, 0.361, 0.882, 0.0876, 1.7, 0.48, -0.1, 19, 1.8, 0.45, -0.071, 18, 12
443, -0.949, -0.0553, -0.267, 0.497, 0.926, 0.323, 0.43, 0.129, 0.144, 0.82, 0.43, 0.045, 16, 0.8, 0.42, 0.038, 15, 10
443, -0.949, -0.0553, -0.267, 0.497, 0.926, 0.323, 0.43, 0.129, 0.144, 0.82, 0.43, 0.028, 16, 0.8, 0.43, 0.047, 15, 10
530, -0.191, 0.0645, -0.177, 0.393, 0.509, 0.413, 0.928, 0.483, 0.251, 4, -0.3, 0.2, 13, 4.3, -0.51, -0.27, 15, 9.3
468, -0.301, -0.268, -0.187, 0.889, 0.83, 0.476, 1.23, 0.607, 0.226, 0.85, 0.43, 0.069, 16, 0.88, 0.44, 0.076, 16, 11
334, -0.555, -0.364, -0.154, 1.08, 1.08, 0.137, 0.483, 0.27, 0.264, 0.68, 0.41, -0.025, 15, 0.8, 0.43, -0.065, 16, 10
343, -0.136, -0.345, -0.252, 1.17, 0.466, 0.143, 0.488, 0.193, 0.5, 15, 0.62, -2.2, 67, 15, 2.1, -1.6, 98, 55
