T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
1.75e+03, -0.25, -0.0938, -0.225, 0.504, 0.587, 0.134, 0.144, 0.159, 8.1, -0.15, 0.41, 14, 8.1, 0.042, 0.45, 15, 8.1, -0.25, 0.39, 14, 14
533, -0.378, -0.202, -0.135, 0.748, 0.581, 0.0643, 0.122, 0.429, 27, -0.083, -2.8, 57, 30, 0.82, -1.5, 65, 30, -0.26, -0.83, 40, 54
851, -0.109, -0.0766, -0.266, 0.237, 0.587, 0.0643, 0.272, 0.429, 30, 0.48, -0.3, 46, 30, 0.63, -0.072, 50, 30, 0.59, -0.13, 49, 48
587, -0.34, -0.1, -0.174, 0.78, 0.563, 0.214, 0.253, 0.099, 30, 4.2, 0.096, 1.6e+02, 30, 4, -0.1, 1.5e+02, 30, 4.1, 0.051, 1.5e+02, 1.5e+02
482, -0.25, -0.179, -0.227, 0.748, 0.464, 0.134, 0.253, 0.108, 30, 2.8, -0.35, 1.2e+02, 30, 3, 0.059, 1.2e+02, 30, 2.9, 0.21, 1.2e+02, 1.2e+02
408, -0.25, -0.179, -0.174, 0.78, 0.301, 0.214, 0.33, 0.099, 30, 2.7, -1.7, 1.2e+02, 30, 3.1, -0.5, 1.2e+02, 30, 3, 0.062, 1.2e+02, 1.2e+02
587, -0.25, -0.0766, -0.135, 0.504, 0.464, 0.0643, 0.253, 0.429, 30, 1.1, -0.54, 66, 30, 0.5, -0.85, 51, 30, 0.79, -0.59, 57, 58
408, -0.34, -0.0445, -0.174, 0.675, 0.563, 0.0643, 0.272, 0.429, 30, 2.5, 1.6, 1.1e+02, 30, 2.5, 1.6, 1.1e+02, 30, 2.2, 1.5, 1e+02, 1.1e+02
408, -0.34, -0.179, -0.266, 0.525, 0.301, 0.0944, 0.253, 0.108, 30, 1.8, 1.9, 94, 2.6, -0.3, 0.042, 6.7, 2.7, -0.26, 0.036, 6.3, 36
482, -0.25, -0.0445, -0.135, 0.504, 0.563, 0.0643, 0.33, 0.303, 30, 0.038, 0.053, 32, 30, 0.023, 0.066, 32, 30, 0.015, 0.038, 32, 32
482, -0.153, -0.179, -0.315, 0.676, 0.587, 0.193, 0.33, 0.108, 2.8, 0.37, -0.33, 16, 30, 3.2, 0.11, 1.3e+02, 30, 3.2, -0.038, 1.3e+02, 90
482, -0.378, -0.202, -0.266, 0.676, 0.662, 0.0944, 0.253, 0.108, 5.7, 0.85, 0.62, 34, 8, 1.5, 0.11, 55, 8.7, 1.6, 0.37, 60, 50
408, -0.0308, -0.0445, -0.0291, 0.504, 0.464, 0.228, 0.0363, 0.38, 30, 0.15, -0.041, 36, 30, 0.14, 0.12, 36, 30, 0.12, 0.00044, 35, 35
408, -0.34, -0.0445, -0.269, 0.504, 0.563, 0.0643, 0.253, 0.303, 30, 3.2, 1.5, 1.3e+02, 30, -0.77, 1.4, 47, 29, 2.2, 2.9, 1.1e+02, 96
408, -0.25, -0.0766, -0.174, 0.237, 0.563, 0.0643, 0.272, 0.429, 30, -0.84, -0.96, 44, 30, -0.77, -0.63, 41, 30, -0.37, -0.98, 41, 42
587, -0.34, -0.0445, -0.162, 0.504, 0.464, 0.0944, 0.272, 0.38, 30, 2.3, -0.46, 1e+02, 30, 2.3, -0.64, 1e+02, 30, 1.7, -1.6, 88, 96
482, -0.25, -0.0445, -0.162, 0.676, 0.301, 0.0944, 0.272, 0.108, 30, 1.4, 0.018, 73, 30, 1.4, 0.019, 74, 30, 1.4, 0.01, 74, 74
408, -0.34, -0.0766, -0.162, 0.525, 0.58, 0.228, 0.253, 0.38, 30, 2.7, -1.7, 1.2e+02, 30, 3.3, 0.24, 1.3e+02, 30, 3.3, -0.3, 1.3e+02, 1.3e+02
587, -0.34, -0.0445, -0.339, 0.675, 0.587, 0.0944, 0.272, 0.429, 30, 0.46, -0.62, 48, 30, 0.75, -0.29, 54, 30, 1.1, -0.021, 63, 55
587, -0.25, -0.202, -0.135, 0.78, 0.464, 0.214, 0.253, 0.429, 3.4, 0.32, -0.51, 17, 3.1, 0.23, -0.49, 14, 3.2, 0.33, -0.46, 16, 16
482, -0.378, -0.0766, -0.174, 0.504, 0.639, 0.0643, 0.272, 0.368, 30, 1.8, 0.021, 84, 30, 1.8, 0.022, 84, 30, 1.7, 0.14, 83, 84
408, -0.378, -0.0445, -0.266, 0.676, 0.301, 0.0944, 0.272, 0.108, 30, 2.4, -0.63, 1e+02, 30, 2.4, 0.59, 1e+02, 30, 2.5, 0.18, 1.1e+02, 1e+02
482, -0.25, -0.0938, -0.162, 0.728, 0.58, 0.228, 0.253, 0.108, 30, 3.1, 0.013, 1.2e+02, 30, 0.15, -2.1, 55, 30, 3, -0.44, 1.2e+02, 1e+02
482, -0.153, -0.179, -0.315, 0.676, 0.587, 0.0643, 0.272, 0.108, 30, -2, 0.49, 51, 30, -1.9, 0.5, 51, 30, -1.4, -1.1, 49, 50
587, -0.34, -0.0766, -0.174, 0.504, 0.563, 0.193, 0.33, 0.429, 30, 3.8, -2.1, 1.5e+02, 30, 4.1, -1.4, 1.6e+02, 25, 1.4, -2.8, 85, 1.3e+02
482, -0.378, -0.202, -0.174, 0.748, 0.587, 0.214, 0.272, 0.099, 30, 4.7, 0.55, 1.7e+02, 30, 3.5, 2.7, 1.5e+02, 30, 4.7, -0.64, 1.7e+02, 1.6e+02
587, -0.498, -0.0766, -0.174, 0.78, 0.639, 0.214, 0.272, 0.368, 30, 4.9, -1.9, 1.8e+02, 18, 1.4, -2.8, 79, 2.5, 0.49, 0.31, 19, 93
1.75e+03, -0.378, -0.0938, -0.0291, 0.728, 0.587, 0.214, 0.144, 0.159, 4.1, 0.036, 0.42, 10, 4.2, 0.011, 0.44, 9.8, 4.3, 0.0099, 0.47, 10, 10
482, -0.296, -0.0938, -0.135, 0.504, 0.252, 0.0643, 0.0363, 0.108, 30, 0.66, -0.28, 51, 30, 0.64, -0.15, 50, 30, 0.67, -0.13, 51, 51
408, -0.25, -0.179, -0.174, 0.675, 0.301, 0.214, 0.33, 0.099, 30, 1.3, -2.1, 82, 27, 0.99, -2.8, 77, 30, 2.4, -1.6, 1.1e+02, 89
407, -0.34, -0.0445, -0.174, 0.78, 0.563, 0.0643, 0.272, 0.429, 30, 3, -1.1, 1.2e+02, 30, 2.1, -2, 1e+02, 30, 3, -1.1, 1.2e+02, 1.2e+02
533, -0.34, -0.0445, -0.225, 0.675, 0.58, 0.0944, 0.122, 0.38, 20, -0.059, 1.3, 33, 30, 0.19, -0.017, 37, 30, 0.28, 0.13, 40, 36
408, -0.25, -0.202, -0.162, 0.748, 0.581, 0.134, 0.272, 0.429, 24, 1.6, -2.8, 88, 24, 2.3, -2.8, 1.1e+02, 28, 3.3, -2.8, 1.4e+02, 1.1e+02
587, -0.25, -0.0445, -0.162, 0.237, 0.587, 0.228, 0.272, 0.099, 30, 1.8, -0.86, 87, 30, 1.9, -0.6, 88, 30, 1.6, -1, 81, 85
408, -0.34, -0.0766, -0.174, 0.78, 0.464, 0.214, 0.253, 0.38, 30, 2.8, -0.39, 1.2e+02, 30, 2, -2, 1e+02, 30, 3, -0.43, 1.2e+02, 1.1e+02
533, -0.498, -0.202, -0.227, 0.78, 0.639, 0.134, 0.122, 0.368, 7.2, 0.92, -0.91, 40, 10, 1.1, -1.9, 54, 7.5, 1.4, -0.014, 52, 48
533, -0.498, -0.202, -0.227, 0.748, 0.639, 0.134, 0.122, 0.368, 11, 1.8, -1.4, 71, 14, 2.5, -1.2, 94, 7.7, 1.5, -0.54, 54, 73
408, -0.34, -0.179, -0.174, 0.78, 0.301, 0.214, 0.33, 0.099, 30, 3.2, -1.5, 1.3e+02, 30, 3.2, -1.6, 1.3e+02, 3.7, 0.32, 0.38, 16, 93
587, -0.25, -0.1, -0.174, 0.78, 0.563, 0.214, 0.253, 0.099, 3.1, 0.3, -0.48, 16, 30, 2.8, -0.24, 1.2e+02, 7.6, 0.36, 0.56, 22, 51
587, -0.34, -0.179, -0.227, 0.748, 0.301, 0.134, 0.253, 0.108, 3.5, 0.024, -0.49, 10, 3.5, -0.22, -0.35, 8.7, 30, 0.95, -0.1, 60, 26
482, -0.25, -0.1, -0.174, 0.78, 0.563, 0.214, 0.33, 0.099, 30, 3.2, -0.38, 1.3e+02, 30, 0.48, -2.2, 63, 30, 3.2, -0.6, 1.3e+02, 1.1e+02
533, -0.78, -0.202, -0.162, 0.525, 0.662, 0.193, 0.176, 0.368, 2.3, 0.22, -0.64, 14, 4, 0.44, -0.3, 19, 4.8, 0.51, -0.2, 21, 18
587, -0.498, -0.202, -0.174, 0.748, 0.581, 0.134, 0.272, 0.429, 30, 4.4, -2.2, 1.7e+02, 11, 0.28, -0.82, 26, 30, -1.4, 1.2, 50, 81
408, -0.25, -0.202, -0.162, 0.748, 0.639, 0.214, 0.272, 0.368, 30, -0.068, 2.1, 52, 28, 1, 2.9, 80, 28, 0.99, 2.8, 79, 70
408, -0.25, -0.179, -0.266, 0.676, 0.301, 0.214, 0.33, 0.108, 30, -1.1, 2, 54, 30, -1, 2.1, 54, 22, 0.33, 2.9, 59, 56
482, -0.521, -0.301, -0.174, 0.78, 0.301, 0.214, 0.33, 0.099, 2.5, 0.42, -0.38, 17, 2.5, 0.31, -0.43, 15, 2.5, 0.39, -0.38, 17, 16
587, -0.34, -0.1, -0.174, 0.78, 0.656, 0.214, 0.213, 0.099, 30, 4.1, -0.2, 1.5e+02, 30, 3.9, 0.86, 1.5e+02, 30, 4, -0.12, 1.5e+02, 1.5e+02
482, -0.25, -0.0766, -0.154, 0.78, 0.563, 0.214, 0.33, 0.099, 30, 2.8, 0.45, 1.1e+02, 30, 1.2, -2, 79, 30, 0.67, -2, 66, 86
408, -0.34, -0.0445, -0.162, 0.504, 0.464, 0.214, 0.272, 0.108, 30, 3, -0.22, 1.2e+02, 30, 3, -0.74, 1.2e+02, 30, 3.1, 0.69, 1.3e+02, 1.2e+02
587, -0.34, -0.0766, -0.154, 0.78, 0.58, 0.0944, 0.253, 0.38, 30, 1.4, -0.84, 76, 30, 1.7, -0.37, 83, 30, 1.6, -0.5, 79, 79
408, -0.34, -0.0445, -0.269, 0.504, 0.581, 0.134, 0.272, 0.303, 30, 4.1, -1.5, 1.6e+02, 29, 3.1, -2.8, 1.3e+02, 23, 1.8, -2.8, 93, 1.3e+02
408, -0.25, -0.202, -0.162, 0.748, 0.563, 0.0643, 0.253, 0.429, 30, 0.45, 2, 60, 30, 0.81, 1.9, 67, 30, 0.3, 1.4, 51, 60
482, -0.153, -0.202, -0.174, 0.676, 0.563, 0.214, 0.33, 0.108, 30, 2.6, 0.65, 1.1e+02, 30, 2.2, -0.69, 99, 30, 2.6, 0.044, 1.1e+02, 1.1e+02
482, -0.25, -0.1, -0.266, 0.78, 0.662, 0.193, 0.33, 0.099, 30, -0.38, -0.58, 38, 30, 3.5, -0.61, 1.4e+02, 30, 3, 1.7, 1.3e+02, 1e+02
408, -0.25, -0.202, -0.162, 0.728, 0.581, 0.134, 0.176, 0.429, 30, -0.77, -2.2, 54, 30, 3.9, 1.1, 1.5e+02, 30, 4, 1.5, 1.5e+02, 1.2e+02
408, -0.378, -0.202, -0.266, 0.748, 0.662, 0.228, 0.272, 0.368, 30, -0.7, 1.3, 46, 30, -0.95, 0.92, 44, 30, 4.7, -1.5, 1.7e+02, 88
408, -0.34, -0.0766, -0.154, 0.504, 0.58, 0.214, 0.0363, 0.368, 30, 3.2, 0.21, 1.3e+02, 30, 3.1, -0.32, 1.2e+02, 30, 3, -1.1, 1.2e+02, 1.2e+02
408, -0.34, -0.0445, -0.0291, 0.78, 0.223, 0.125, 0.253, 0.108, 30, 2.6, 0.43, 1.1e+02, 30, 0.15, 1.7, 51, 30, 0.76, 2, 67, 76
587, -0.34, -0.0766, -0.174, 0.78, 0.563, 0.214, 0.33, 0.099, 30, 3.2, 1.9, 1.3e+02, 30, 3.8, 0.044, 1.4e+02, 30, 3.7, -0.41, 1.4e+02, 1.4e+02
408, -0.25, -0.179, -0.174, 0.504, 0.301, 0.193, 0.33, 0.429, 30, 2.8, -2.3, 1.2e+02, 25, 0.64, -2.8, 67, 24, 0.36, -2.8, 61, 84
482, -0.34, -0.0766, -0.174, 0.748, 0.58, 0.228, 0.253, 0.099, 30, 3.9, -0.78, 1.5e+02, 27, 1.8, -2.8, 98, 30, 3.8, -0.77, 1.5e+02, 1.3e+02
408, -0.378, -0.202, -0.162, 0.525, 0.587, 0.214, 0.272, 0.38, 30, -0.054, 0.69, 38, 30, 0.31, -1.4, 52, 30, 0.34, 0.92, 48, 46
482, -0.25, -0.179, -0.227, 0.748, 0.464, 0.214, 0.253, 0.099, 29, 2.3, 2.9, 1.1e+02, 30, 3.3, -1.3, 1.3e+02, 30, 3.6, 0.37, 1.4e+02, 1.3e+02
587, -0.34, -0.1, -0.174, 0.78, 0.563, 0.134, 0.253, 0.108, 30, 1.7, 0.61, 84, 30, 1.9, 0.18, 88, 30, 1.8, 0.36, 85, 86
482, -0.25, -0.1, -0.266, 0.676, 0.662, 0.193, 0.33, 0.099, 30, 3.6, -0.2, 1.4e+02, 30, 3.6, -0.22, 1.4e+02, 30, 3.7, 0.014, 1.4e+02, 1.4e+02
482, -0.153, -0.202, -0.174, 0.78, 0.563, 0.214, 0.33, 0.108, 30, 2.5, -0.94, 1.1e+02, 30, 2.7, -0.02, 1.1e+02, 30, 1.7, -1.6, 88, 1e+02
482, -0.25, -0.0766, -0.162, 0.728, 0.587, 0.228, 0.253, 0.099, 30, 1.8, -1.9, 92, 30, 2.5, 0.91, 1.1e+02, 30, 2.7, -0.19, 1.1e+02, 1e+02
482, -0.25, -0.0766, -0.162, 0.728, 0.587, 0.214, 0.253, 0.099, 30, 2.8, 0.26, 1.1e+02, 30, 2.7, 0.79, 1.1e+02, 30, 2.5, 1.1, 1.1e+02, 1.1e+02
587, -0.34, -0.0766, -0.174, 0.78, 0.587, 0.228, 0.272, 0.099, 30, 3.7, 0.5, 1.4e+02, 30, 3.7, 0.44, 1.4e+02, 30, 3.3, 1.8, 1.4e+02, 1.4e+02
408, -0.25, -0.202, -0.162, 0.748, 0.581, 0.214, 0.272, 0.108, 29, 0.28, 2.9, 64, 30, 0.64, 1.9, 64, 30, 0.23, 1.9, 54, 61
408, -0.34, -0.0445, -0.162, 0.504, 0.464, 0.134, 0.272, 0.429, 30, -0.84, -2, 52, 24, 0.92, -2.8, 73, 30, -0.65, -2, 52, 59
408, -0.34, -0.202, -0.154, 0.676, 0.58, 0.214, 0.253, 0.108, 30, -0.26, -0.15, 34, 30, -0.23, -0.11, 34, 30, 0.16, -0.097, 36, 35
482, -0.153, -0.0766, -0.174, 0.78, 0.563, 0.214, 0.33, 0.108, 30, 1.2, -0.83, 70, 30, 1.5, 0.064, 75, 30, 0.23, -1.1, 47, 64
408, -0.25, -0.202, -0.266, 0.78, 0.662, 0.193, 0.33, 0.099, 24, 1.2, 2.9, 79, 30, -0.18, 2.1, 52, 30, 0.12, 2.3, 57, 63
482, -0.25, -0.1, -0.339, 0.78, 0.662, 0.214, 0.176, 0.099, 30, 3.6, 1.4, 1.4e+02, 30, 3.7, 0.84, 1.4e+02, 30, 3.7, 0.86, 1.4e+02, 1.4e+02
408, -0.34, -0.202, -0.162, 0.748, 0.581, 0.228, 0.253, 0.429, 30, 3.9, -0.42, 1.5e+02, 29, 2.5, 2.8, 1.2e+02, 30, 3.6, 0.78, 1.4e+02, 1.4e+02
408, -0.25, -0.0766, -0.162, 0.525, 0.58, 0.134, 0.272, 0.38, 30, -0.49, -1.8, 50, 30, -0.066, -2.1, 52, 30, -0.29, -1.8, 49, 51
587, -0.34, -0.0766, -0.174, 0.78, 0.587, 0.5, 0.272, 0.099, 3, 0.46, 0.044, 18, 2.9, 0.47, 0.099, 18, 4.1, 0.47, -0.019, 19, 18
482, -0.378, -0.0766, -0.174, 0.78, 0.587, 0.214, 0.272, 0.099, 24, 1.3, -2.8, 83, 26, 2.2, -2.8, 1.1e+02, 30, 3.7, -1.9, 1.5e+02, 1.1e+02
482, -0.25, -0.1, -0.266, 0.676, 0.662, 0.193, 0.33, 0.099, 30, 2, -2.2, 1e+02, 30, 3.1, -1.9, 1.3e+02, 30, 3, -1.7, 1.3e+02, 1.2e+02
482, -0.25, -0.0938, -0.162, 0.728, 0.58, 0.228, 0.253, 0.108, 30, 3, -0.61, 1.2e+02, 30, 2.7, -1.2, 1.2e+02, 30, 1.4, -2.1, 84, 1.1e+02
408, -0.34, -0.0445, -0.174, 0.504, 0.223, 0.214, 0.0363, 0.368, 4.2, -0.038, 0.13, 6.5, 4.9, 0.19, 0.038, 12, 11, 1.2, -0.48, 50, 23
482, -0.378, -0.0766, -0.0291, 0.78, 0.587, 0.125, 0.272, 0.099, 30, 4.8, 0.69, 1.8e+02, 30, 5.1, 0.41, 1.8e+02, 30, 5, -0.98, 1.8e+02, 1.8e+02
408, -0.34, -0.179, -0.315, 0.676, 0.464, 0.193, 0.33, 0.108, 20, 3.3, 2.8, 1.3e+02, 26, 5.1, 2.9, 1.9e+02, 30, 6.1, 2.8, 2.2e+02, 1.8e+02
482, -0.153, -0.0766, -0.174, 0.78, 0.587, 0.214, 0.253, 0.38, 30, 1.7, -0.081, 81, 30, 0.7, -1.2, 59, 30, 1.2, -0.87, 70, 70
587, -0.34, -0.1, -0.154, 0.78, 0.656, 0.214, 0.213, 0.099, 30, 3.1, -2.2, 1.3e+02, 30, 4, -0.22, 1.5e+02, 28, 2.4, -2.8, 1.1e+02, 1.3e+02
587, -0.34, -0.0766, 0, 0.78, 0.656, 0.214, 0.213, 0.099, 1, 0.44, 0.0051, 15, 1, 0.43, -0.009, 15, 1, 0.43, -0.01, 15, 15
482, -0.25, -0.0766, -0.174, 0.78, 0.464, 0.5, 0.253, 0.38, 3.5, -0.42, 0.055, 8.7, 9.8, -0.37, -0.83, 20, 3.5, -0.42, -0.025, 8.7, 12
408, -0.34, -0.202, -0.162, 0.78, 0.581, 0.214, 0.253, 0.429, 30, 0.18, 2.1, 56, 30, 2.2, 2.3, 1.1e+02, 30, 2.7, 2.4, 1.2e+02, 95
587, -0.34, -0.1, -0.174, 0.748, 0.656, 0.228, 0.213, 0.099, 2.7, 0.34, 0.38, 16, 2.8, 0.22, 0.51, 14, 2.8, 0.27, 0.47, 15, 15
482, -0.25, -0.0766, -0.162, 0.78, 0.587, 0.214, 0.33, 0.099, 30, 3, -0.08, 1.2e+02, 30, 1.2, -2.1, 80, 30, 2.9, 0.1, 1.2e+02, 1.1e+02
408, -0.25, -0.179, -0.174, 0.728, 0.301, 0.214, 0.253, 0.099, 30, 3.1, -1.3, 1.3e+02, 30, 3.3, 0.53, 1.3e+02, 30, 1.7, -1.4, 88, 1.1e+02
407, -0.34, -0.0445, -0.162, 0.675, 0.58, 0.0643, 0.272, 0.38, 30, 0.22, 1.3, 48, 30, 3.3, -1.1, 1.3e+02, 30, 2.4, 0.99, 1.1e+02, 96
408, -0.34, -0.0445, -0.174, 0.78, 0.563, 0.0944, 0.272, 0.429, 30, 2.6, -1.7, 1.1e+02, 30, 2.9, -1.3, 1.2e+02, 30, 2.9, -1.2, 1.2e+02, 1.2e+02
408, -0.34, -0.202, -0.162, 0.504, 0.464, 0.134, 0.272, 0.108, 30, 0.95, -1.2, 66, 30, -0.078, -0.58, 37, 30, 0.51, 0.81, 51, 51
408, -0.25, -0.0445, -0.162, 0.728, 0.581, 0.214, 0.176, 0.429, 30, -0.019, 0.79, 39, 30, 0.47, 0.99, 51, 30, 1.3, 0.74, 71, 54
482, -0.25, -0.0938, -0.162, 0.78, 0.563, 0.228, 0.253, 0.099, 30, 3, 0.51, 1.2e+02, 30, 2.9, 0.34, 1.2e+02, 30, -0.46, -1.1, 43, 95
482, -0.25, -0.1, -0.174, 0.728, 0.58, 0.214, 0.33, 0.108, 30, 3, 0.58, 1.2e+02, 30, 3, 0.44, 1.2e+02, 30, 3, 0.75, 1.2e+02, 1.2e+02
408, -0.25, -0.1, -0.266, 0.78, 0.563, 0.214, 0.272, 0.099, 30, 1.3, -2.4, 84, 30, -0.097, 1.7, 48, 30, 1.6, -2.3, 91, 74
482, -0.378, -0.0445, -0.174, 0.676, 0.301, 0.0944, 0.33, 0.108, 30, 1.9, 1.7, 95, 30, 2.8, -0.31, 1.2e+02, 30, 2.8, -0.13, 1.2e+02, 1.1e+02
482, -0.34, -0.0766, -0.4, 0.78, 0.58, 0.214, 0.253, 0.099, 2.7, -0.19, 0.059, 5.7, 1.8, -0.24, 0.19, 5.8, 16, 0.072, -2.8, 46, 19
482, -0.378, -0.0766, -0.174, 0.748, 0.587, 0.228, 0.272, 0.099, 30, 4.2, -0.51, 1.6e+02, 27, 2, -2.8, 1e+02, 30, 4.3, 0.18, 1.6e+02, 1.4e+02
408, -0.34, -0.0445, -0.162, 0.748, 0.464, 0.214, 0.253, 0.108, 30, 0.56, -2.1, 64, 30, 2.4, 1.2, 1.1e+02, 30, 2.4, 1.3, 1.1e+02, 92
408, -0.34, -0.202, -0.162, 0.504, 0.581, 0.228, 0.272, 0.429, 30, 1.6, 2.4, 93, 25, 0.015, 2.8, 55, 30, 2.2, -1.8, 1e+02, 84
482, -0.34, -0.0766, -0.174, 0.313, 0.587, 0.214, 0.272, 0.099, 30, 3.4, -1, 1.3e+02, 30, 2.7, -1.8, 1.2e+02, 30, 3.2, -0.99, 1.3e+02, 1.3e+02
587, -0.25, -0.179, -0.227, 0.748, 0.464, 0.134, 0.253, 0.108, 30, 1.4, 0.68, 75, 30, 1.2, 1.1, 70, 30, 0.81, 1.3, 63, 69
408, -0.34, -0.1, -0.315, 0.676, 0.464, 0.193, 0.213, 0.108, 30, 0.44, -1.1, 52, 30, 0.7, -0.78, 56, 30, 0.83, -0.26, 56, 55
587, -0.34, -0.179, -0.174, 0.78, 0.656, 0.214, 0.33, 0.099, 3.2, 0.52, 0.3, 20, 2.7, 0.42, 0.35, 18, 26, 1.8, 2.9, 98, 45
408, -0.34, -0.0766, -0.174, 0.748, 0.587, 0.134, 0.272, 0.429, 30, -0.76, -1.8, 51, 30, 3.6, -1.8, 1.4e+02, 27, 0.18, -2.8, 60, 84
587, -0.25, -0.202, -0.162, 0.78, 0.581, 0.214, 0.272, 0.099, 30, 3, 1.8, 1.3e+02, 30, 1.7, -2.3, 94, 30, 3.4, 0.53, 1.3e+02, 1.2e+02
408, -0.34, -0.0445, -0.0291, 0.728, 0.223, 0.134, 0.0363, 0.429, 30, -0.52, -0.55, 39, 30, 0.7, -1.8, 65, 30, -0.44, -0.41, 37, 47
408, -0.25, -0.1, -0.339, 0.78, 0.581, 0.134, 0.272, 0.099, 1.8, -0.33, 0.16, 6.4, 30, -0.11, 1.2, 43, 30, -0.43, 0.49, 37, 29
482, -0.25, -0.202, -0.162, 0.748, 0.662, 0.214, 0.176, 0.429, 30, 2.1, 2.3, 1.1e+02, 30, 2.3, 1.8, 1.1e+02, 30, 2.3, 2.1, 1.1e+02, 1.1e+02
408, -0.34, -0.0445, -0.174, 0.78, 0.58, 0.0944, 0.253, 0.429, 30, 1.4, -2.2, 84, 30, 2.8, 0.39, 1.1e+02, 30, 1, -2.2, 75, 91
408, -0.34, -0.0766, -0.162, 0.525, 0.563, 0.228, 0.272, 0.38, 30, 0.52, -2.1, 63, 30, 3.3, -0.59, 1.3e+02, 30, 3.3, -0.35, 1.3e+02, 1.1e+02
408, -0.34, -0.202, -0.162, 0.748, 0.464, 0.228, 0.253, 0.099, 28, 0.088, -2.8, 59, 30, 2.8, -1.9, 1.2e+02, 30, 2.1, -2.4, 1.1e+02, 95
482, -0.25, -0.4, -0.227, 0.748, 0.581, 0.214, 0.253, 0.429, 30, 3.4, 0.73, 1.3e+02, 26, 1.1, -2.8, 80, 30, 3.1, -0.87, 1.2e+02, 1.1e+02
481, -0.34, -0.202, -0.266, 0.676, 0.587, 0.193, 0.33, 0.099, 30, 3.8, 2.5, 1.5e+02, 30, 5.2, -0.66, 1.9e+02, 30, 4.7, 1.1, 1.7e+02, 1.7e+02
587, -0.153, -0.0766, -0.174, 0.78, 0.662, 0.228, 0.272, 0.108, 2.8, 0.13, 0.48, 11, 3.8, 0.52, -0.11, 21, 2.8, 0.15, 0.47, 12, 15
482, -0.34, -0.202, -0.162, 0.748, 0.581, 0.228, 0.253, 0.429, 29, 3, 2.9, 1.3e+02, 30, 4.1, 2, 1.6e+02, 30, 3.4, 2, 1.4e+02, 1.4e+02
408, -0.34, -0.0766, -0.174, 0.748, 0.58, 0.228, 0.253, 0.099, 30, 0.43, 0.18, 44, 30, 2.4, 1.4, 1.1e+02, 30, 0.054, 1.5, 47, 66
408, -0.25, -0.0938, -0.266, 0.728, 0.581, 0.228, 0.176, 0.429, 30, 3, -0.098, 1.2e+02, 30, -0.5, -1.8, 50, 30, 1.1, 1.6, 72, 80
408, -0.378, -0.202, -0.162, 0.728, 0.58, 0.134, 0.253, 0.108, 30, 0.7, -0.64, 54, 30, 0.087, -0.033, 34, 30, -0.55, -0.033, 37, 42
482, -0.25, -0.1, -0.266, 0.676, 0.301, 0.214, 0.33, 0.099, 30, 1.7, 2.4, 94, 28, 1.9, 2.9, 1e+02, 30, 2.9, 1.7, 1.2e+02, 1.1e+02
408, -0.25, -0.179, -0.174, 0.78, 0.662, 0.193, 0.33, 0.099, 28, 0.97, 2.8, 78, 30, 0.65, 2.4, 69, 30, 0.15, 2.3, 57, 68
482, -0.25, -0.0766, -0.162, 0.728, 0.587, 0.214, 0.272, 0.099, 30, 2.9, -0.15, 1.2e+02, 30, 1.6, -1.9, 87, 30, 2.8, -0.045, 1.2e+02, 1.1e+02
482, -0.378, -0.0766, -0.174, 0.78, 0.587, 0.214, 0.253, 0.099, 26, 1.5, -2.8, 90, 30, 4, -1.6, 1.5e+02, 30, -0.39, -2, 52, 98
408, -0.25, -0.1, -0.315, 0.676, 0.662, 0.193, 0.33, 0.099, 28, 1.5, 2.9, 92, 30, 1.5, 2.4, 89, 30, 3.6, 0.93, 1.4e+02, 1.1e+02
482, -0.34, -0.179, -0.266, 0.676, 0.464, 0.193, 0.33, 0.108, 21, 2.5, -2.8, 1.1e+02, 30, 5.3, 1.3, 1.9e+02, 30, 5.3, -0.85, 1.9e+02, 1.6e+02
408, -0.25, -0.179, -0.174, 0.78, 0.656, 0.214, 0.33, 0.099, 30, 0.11, 2.4, 58, 30, 0.51, 2.3, 64, 30, 0.39, 2.5, 65, 62
587, -0.34, -0.1, -0.174, 0.78, 0.301, 0.214, 0.213, 0.099, 30, 3.9, 0.44, 1.5e+02, 30, 3.9, 0.4, 1.5e+02, 30, 3.9, 0.1, 1.5e+02, 1.5e+02
587, -0.34, -0.0938, -0.174, 0.78, 0.656, 0.214, 0.213, 0.108, 2.9, 0.16, 0.51, 13, 2.8, 0.32, 0.45, 16, 2.8, 0.3, 0.46, 15, 15
408, -0.378, -0.1, -0.266, 0.728, 0.58, 0.228, 0.253, 0.099, 30, 4.5, 0.98, 1.7e+02, 30, 4.3, -2.2, 1.7e+02, 30, 4.6, -2.4, 1.7e+02, 1.7e+02
407, -0.34, -0.1, -0.154, 0.78, 0.563, 0.214, 0.213, 0.429, 30, 2.7, 1.2, 1.2e+02, 30, 3.3, -0.046, 1.3e+02, 30, 3.3, 0.04, 1.3e+02, 1.3e+02
587, -0.34, -0.0445, -0.174, 0.78, 0.656, 0.0643, 0.272, 0.099, 30, 0.38, -0.13, 43, 30, 0.42, -0.13, 44, 30, 0.38, -0.12, 43, 43
587, -0.34, -0.0766, -0.174, 0.78, 0.587, 0.347, 0.272, 0.099, 4, -0.18, -0.46, 9.9, 3.5, 0.54, -0.16, 21, 3.2, -0.35, 0.07, 7.8, 13
