T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
1.87e+03, -0.594, -0.37, -0.308, 0.417, 0.317, 0.0681, 0.441, 0.115, 6.2, -0.31, 0.24, 11, 5.7, -0.37, 0.025, 10, 6.2, -0.2, 0.32, 11, 11
851, -0.296, -0.285, -0.0291, 0.237, 0.252, 0.0182, 0.272, 0.099, 5.7, 0.45, 0.14, 20, 7.9, 0.22, -0.64, 20, 5.8, 0.59, -0.061, 25, 22
896, -0.34, -0.346, -0.359, 0.651, 0.58, 0.228, 0.133, 0.151, 2.6, -0.41, 0.19, 8.1, 2.7, -0.43, 0.15, 8.1, 2.7, -0.42, -0.0019, 7.9, 8
1.28e+03, -0.109, -0.1, -0.315, 0.676, 0.223, 0.125, 0.33, 0.0248, 0.8, -0.4, 0.0018, 5.8, 0.8, -0.4, 0.0011, 5.8, 0.8, -0.4, 0.00096, 5.8, 5.8
343, -0.731, -0.253, -0.0325, 0.614, 0.0713, 0.214, 0.385, 0.177, 2.2, 0.12, -0.13, 7.3, 2.5, -0.27, 0.18, 6.7, 2.2, -0.16, -0.19, 5.7, 6.5
533, -0.498, -0.202, -0.227, 0.748, 0.639, 0.134, 0.122, 0.368, 10, 1.1, -1.3, 50, 6.5, 1.3, -0.23, 48, 9.4, 1.1, -1.6, 52, 50
1.75e+03, -0.521, -0.301, -0.135, 0.504, 0.301, 0.0643, 0.144, 0.159, 25, 0.63, -0.26, 46, 22, 0.59, -0.16, 40, 30, 0.39, -0.1, 43, 43
1.09e+03, -0.486, -0.1, -0.386, 0.39, 0.223, 0.125, 0.214, 0.148, 0.65, -0.38, 0.0008, 5.5, 0.65, -0.38, 0.00038, 5.5, 0.65, -0.38, 0.0021, 5.5, 5.5
1.28e+03, -0.109, -0.0799, -0.315, 0.676, 0.7, 0.398, 0.33, 0.0248, 3.8, -0.042, -0.45, 9.2, 3.6, -0.018, -0.44, 9, 3.9, 0.089, -0.44, 11, 9.8
1.05e+03, -0.472, -0.156, -0.0413, 0.634, 0.0749, 0.403, 0.033, 0.267, 4.4, -0.12, 0.53, 11, 4, -0.39, 0.3, 9.8, 4.2, -0.41, -0.15, 9.5, 10
224, -0.587, -0.0102, -0.21, 0.467, 0.411, 0.0938, 0.475, 0.243, 1.6, -0.22, -0.19, 5.5, 1.5, -0.19, -0.21, 5.4, 1.5, -0.2, -0.2, 5.4, 5.4
343, -0.731, -0.256, -0.104, 0.587, 0.534, 0, 0.158, 0.087, 2.3, -0.45, 0.35, 9.1, 2.5, -0.17, 0.21, 6.3, 2.8, 0.16, -0.48, 12, 9.1
965, -0.413, -0.253, -0.0325, 0.614, 0.0713, 0.12, 0.385, 0.177, 4.7, -0.28, 0.12, 8.8, 4.2, -0.39, -0.18, 9.5, 3.2, -0.34, -0.21, 8.2, 8.8
1.46e+03, -0.385, -0.359, -0.327, 0.194, 0.625, 0.476, 0.163, 0.483, 8.4, -0.35, 0.19, 13, 4.7, -0.29, -0.27, 9.6, 13, 0.47, 0.13, 28, 17
1.04e+03, -0.752, -0.254, -0.159, 0.0961, 0.485, 0.139, 0.101, 0.0907, 4.2, 0.44, -0.46, 20, 4.6, -0.13, 0.21, 8, 4.3, -0.087, 0.27, 8.2, 12
806, -0.363, -0.0324, -0.225, 0.00822, 0.581, 0.112, 0.246, 0.491, 6.4, 0.14, 0.16, 12, 5.8, 0.46, -0.11, 21, 6.7, -0.11, 0.015, 8.9, 14
426, -0.618, -0.314, -0.0291, 0.373, 0.029, 0.0272, 0.425, 0.385, 1.6, -0.37, 0.053, 6.4, 1.6, -0.39, 0.026, 6.5, 1.7, -0.29, 0.12, 5.9, 6.2
533, -0.498, -0.202, -0.315, 0.748, 0.639, 0.134, 0.122, 0.0248, 4.4, 0.74, -0.24, 28, 2.2, -0.26, -0.035, 5.8, 6.3, 0.96, 0.39, 37, 24
1.28e+03, -0.109, -0.1, -0.227, 0.676, 0.223, 0.125, 0.33, 0.368, 4.7, -0.39, -0.059, 9.6, 4.8, -0.39, -0.069, 9.8, 4.7, -0.37, -0.068, 9.5, 9.6
408, -0.25, -0.0445, -0.162, 0.675, 0.464, 0.0944, 0.253, 0.38, 30, 1.3, 0.44, 71, 30, 1.8, -0.4, 85, 30, 1.7, 0.22, 84, 80
1.74e+03, -0.153, -0.179, -0.339, 0.525, 0.662, 0.193, 0.176, 0.429, 7.4, -0.038, -0.41, 13, 6.9, 0.2, -0.37, 16, 6.8, 0.16, -0.4, 15, 15
1.43e+03, -0.78, -0.0593, -0.198, 0.0445, 0.563, 0.476, 0.178, 0.303, 5.2, -0.44, 0.22, 11, 5.2, -0.4, 0.27, 11, 4.9, -0.43, 0.22, 11, 11
420, -0.642, -0.168, -0.201, 0.227, 0.0689, 0.073, 0.334, 0.361, 0.9, -0.37, 0.073, 5.7, 0.95, -0.4, 0.084, 6, 0.95, -0.39, 0.083, 6, 5.9
602, -0.699, -0.374, -0.246, 0.707, 0.215, 0.484, 0.332, 0.0635, 3.2, 0.38, 0.079, 16, 2.5, -0.24, -0.24, 6.8, 1.8, -0.34, 0.25, 7, 9.8
1.03e+03, -0.405, -0.362, -0.231, 0.0962, 0.652, 0.337, 0.264, 0.146, 6.1, -0.28, 0.21, 11, 4.4, -0.03, 0.55, 11, 4.8, -0.36, 0.58, 13, 11
828, -0.521, -0.0731, -0.135, 0.504, 0.373, 0.0889, 0.144, 0.159, 3.7, -0.44, 0.081, 9.1, 3.8, -0.23, -0.12, 7.4, 4.3, 0.005, 0.78, 13, 9.9
1.75e+03, -0.383, -0.301, -0.0983, 0.0923, 0.301, 0.0643, 0.16, 0.349, 30, -0.098, -0.078, 32, 30, -0.35, -0.56, 38, 30, -0.73, -0.15, 38, 36
578, -0.618, -0.314, -0.271, 0.741, 0.249, 0.308, 0.411, 0.491, 1.5, -0.34, 0.013, 5.9, 1.6, -0.31, -0.14, 6, 2.1, 0.28, -0.39, 13, 8.4
806, -0.487, -0.241, -0.4, 0.00822, 0.581, 0.0272, 0.246, 0.217, 1.3, -0.39, 0.018, 6.2, 1.3, -0.37, 0.014, 6.1, 1.3, -0.36, 0.01, 5.9, 6.1
1.98e+03, -0.649, -0.0167, -0.362, 0.6, 0.509, 0.301, 0.173, 0.132, 4, -0.33, -0.19, 8.8, 5.8, 0.061, -0.4, 12, 3.8, -0.29, -0.24, 8.6, 9.8
482, -0.296, -0.0938, -0.0291, 0.728, 0.252, 0.214, 0.0363, 0.108, 30, 1.8, -1.1, 88, 30, 2.1, 0.64, 96, 30, 2.2, 0.11, 98, 94
851, -0.378, -0.285, -0.266, 0.237, 0.587, 0, 0.272, 0.099, 5.6, -0.26, -0.067, 9.2, 4.9, -0.36, -0.11, 9.6, 6.2, 0.22, 0.32, 15, 11
1.79e+03, -0.643, -0.0757, -0.231, 0.707, 0.656, 0.484, 0.213, 0.341, 4, -0.12, 0.43, 9.5, 4.1, -0.22, 0.42, 9.8, 4.9, -0.53, -0.37, 12, 11
1.03e+03, -0.699, -0.374, -0.154, 0.212, 0.652, 0.331, 0.332, 0.146, 3.3, -0.27, -0.46, 9.7, 3.2, 0.01, -0.55, 9.8, 3.2, -0.045, -0.54, 9.6, 9.7
533, -0.498, -0.179, -0.339, 0.748, 0.662, 0.193, 0.122, 0.368, 1.4, -0.25, -0.27, 6, 1.4, -0.25, -0.26, 6, 1.4, -0.24, -0.25, 5.9, 6
1.74e+03, -0.153, -0.202, -0.227, 0.525, 0.639, 0.134, 0.176, 0.429, 8.9, 0.013, 0.42, 14, 7.3, 0.25, -0.4, 18, 7.7, -0.051, 0.4, 13, 15
806, -0.413, -0.253, -0.0325, 0.00822, 0.581, 0.0272, 0.385, 0.491, 3.2, 0.18, 0.51, 13, 4.8, -0.098, 0.33, 9.3, 5.2, -0.39, -0.25, 11, 11
965, -0.618, -0.314, -0.225, 0.614, 0.0713, 0.12, 0.246, 0.177, 0.8, -0.38, -0.0076, 5.6, 0.85, -0.41, -0.0075, 6, 0.85, -0.41, -0.0071, 6, 5.8
1.28e+03, -0.109, -0.1, -0.227, 0.728, 0.223, 0.125, 0.0363, 0.368, 6.9, -0.25, -0.5, 13, 6.9, 0.015, -0.49, 13, 5.6, -0.36, -0.0084, 10, 12
482, -0.378, -0.0938, -0.266, 0.676, 0.587, 0.214, 0.33, 0.108, 23, 3.1, -2.8, 1.3e+02, 22, 2.8, -2.8, 1.2e+02, 24, 3.5, -2.8, 1.4e+02, 1.3e+02
408, -0.34, -0.0445, -0.162, 0.675, 0.58, 0.228, 0.253, 0.38, 30, 1.9, 2.1, 98, 29, 0.8, 2.9, 76, 30, -0.18, 0.49, 36, 70
896, -0.25, -0.346, -0.359, 0.651, 0.464, 0.0944, 0.133, 0.151, 3.7, 0.066, 0.47, 11, 3.7, 0.071, 0.46, 11, 3.7, 0.085, 0.46, 11, 11
533, -0.25, -0.179, -0.315, 0.525, 0.464, 0.0944, 0.253, 0.429, 30, 2.2, 1.6, 1e+02, 6.4, 0.32, -0.31, 18, 4.6, 0.026, -0.25, 8.5, 43
408, -0.498, -0.202, -0.339, 0.748, 0.639, 0.134, 0.122, 0.0248, 1.2, -0.31, -0.19, 5.8, 1.2, -0.29, -0.19, 5.7, 1.2, -0.28, -0.18, 5.6, 5.7
1.04e+03, -0.752, -0.0102, -0.0413, 0.194, 0.625, 0.139, 0.033, 0.483, 1.3, 0.43, -0.01, 15, 1.3, 0.42, -0.01, 15, 1.3, 0.43, -0.0076, 15, 15
1.05e+03, -0.587, -0.359, -0.159, 0.634, 0.0749, 0.403, 0.101, 0.267, 2.3, -0.29, -0.25, 7.2, 2.7, -0.43, 0.14, 8.2, 2.8, -0.39, 0.27, 8.5, 7.9
1.74e+03, -0.34, -0.346, -0.162, 0.651, 0.662, 0.193, 0.176, 0.151, 5.2, -0.11, -0.45, 11, 5.1, 0.32, -0.38, 17, 5.3, 0.04, -0.46, 12, 13
896, -0.153, -0.0445, -0.359, 0.675, 0.58, 0.228, 0.133, 0.38, 3.2, -0.34, -0.32, 8.9, 3.7, -0.45, 0.24, 9.8, 3.3, -0.33, -0.33, 9, 9.3
408, -0.25, -0.0757, -0.339, 0.212, 0.464, 0.331, 0.213, 0.341, 3.2, 0.022, 0.27, 7.3, 2.8, -0.24, 0.0092, 6.2, 3.2, -0.047, -0.25, 6.7, 6.7
1.79e+03, -0.643, -0.179, -0.154, 0.525, 0.656, 0.0944, 0.253, 0.429, 8.6, 0.3, -0.45, 21, 10, 0.68, 0.085, 31, 8.4, 0.33, -0.44, 21, 25
1.43e+03, -0.78, -0.0593, -0.198, 0.0445, 0.301, 0.476, 0.144, 0.159, 3.4, -0.36, 0.13, 8.2, 4, -0.3, 0.19, 8.6, 3.6, -0.39, 0.23, 9.1, 8.6
1.75e+03, -0.521, -0.301, -0.135, 0.504, 0.563, 0.0643, 0.178, 0.303, 16, 0.34, -0.45, 29, 10, 0.58, 0.23, 29, 12, 0.41, -0.51, 28, 29
1.75e+03, -0.649, -0.0167, -0.0983, 0.6, 0.301, 0.301, 0.16, 0.349, 4.9, -0.29, 0.29, 10, 4.8, -0.32, 0.27, 9.9, 4.8, -0.31, 0.3, 10, 10
1.98e+03, -0.383, -0.301, -0.362, 0.0923, 0.509, 0.0643, 0.173, 0.132, 30, 0.55, -0.093, 48, 14, -0.22, 0.078, 17, 6.1, -0.31, 0.071, 10, 25
533, -0.498, -0.202, -0.327, 0.0961, 0.485, 0.476, 0.122, 0.0248, 2, -0.38, 0.017, 6.7, 2, -0.36, 0.0059, 6.6, 2, -0.34, -0.068, 6.5, 6.6
1.75e+03, -0.521, -0.301, -0.162, 0.675, 0.58, 0.228, 0.178, 0.38, 5.2, 0.53, -0.17, 22, 5.3, 0.55, -0.15, 23, 5, 0.41, -0.32, 19, 22
408, -0.34, -0.0445, -0.135, 0.504, 0.563, 0.0643, 0.253, 0.303, 30, 0.83, -0.36, 57, 30, 0.59, -0.057, 49, 30, 0.82, -0.42, 57, 54
1.74e+03, -0.153, -0.301, -0.135, 0.504, 0.563, 0.0643, 0.176, 0.38, 16, 0.64, 0.13, 36, 9, 0.42, -0.051, 23, 12, 0.49, -0.13, 28, 29
