1.86e+03, -0.433, -0.387, -0.338, 0.597, 0.549, 0.107, 0.233, 0.265, 5.7, 0, 6.7, 0, 0, 1, 0, 0, 1, 2.9
1.53e+03, -0.35, -0.332, -0.053, 0.348, 0.633, 0.136, 0.731, 0.461, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
1.43e+03, -0.672, -0.29, -0.246, 0.0621, 0.33, 0.247, 0.765, 0.664, 0, 0, 1, 2, 0, 3, 5, 0, 6, 3.3
486, -0.162, -0.244, -0.153, 0.122, 0.6, 0.477, 0.471, 0.248, 1, 0.29, 11, 0, 0, 1, 0, 0, 1, 4.2
337, -0.101, -0.158, -0.0872, 0.594, 0.401, 0.289, 0.532, 0.66, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
851, -0.167, -0.119, -0.157, 0.148, 0.00229, 0.462, 0.566, 0.0334, 0, 0, 1, 20, 0, 21, 19, 0.33, 30, 17
1.13e+03, -0.119, -0.105, -0.249, 0.41, 0.214, 0.344, 0.604, 0.768, 5.6, 0, 6.6, 8, 0.37, 20, 4.2, 0, 5.2, 11
1.26e+03, -0.101, -0.393, -0.345, 0.416, 0.0621, 0.351, 0.0732, 0.758, 0.75, 0, 1.8, 0, 0.45, 14, 0.95, 0, 1.9, 6
1.74e+03, -0.352, -0.306, -0.0879, 0.617, 0.219, 0.235, 0.0427, 0.0336, 1.7, 0.2, 8.6, 5.9, 0, 6.8, 20, 0, 21, 12
1.09e+03, -0.78, -0.0408, -0.0552, 0.338, 0.457, 0.231, 0.455, 0.488, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
538, -0.296, -0.0816, -0.152, 0.175, 0.386, 0.448, 0.597, 0.106, 0, 0, 1, 1.9, 0, 2.9, 2.5, 0, 3.5, 2.4
848, -0.441, -0.361, -0.339, 0.129, 0.316, 0.493, 0.442, 0.0468, 0.7, 0, 1.7, 3.4, 0.19, 10, 0, 0.42, 14, 8.5
