2.51, 0.129, 0.327
2.53, 0.127, 0.326
2.54, 0.125, 0.32
2.56, 0.125, 0.317
2.57, 0.129, 0.32
2.58, 0.134, 0.324
2.6, 0.14, 0.327
2.61, 0.146, 0.326
2.63, 0.152, 0.319
2.64, 0.155, 0.318
2.65, 0.154, 0.322
2.67, 0.151, 0.326
2.68, 0.147, 0.33
2.7, 0.143, 0.328
2.72, 0.139, 0.321
2.73, 0.136, 0.316
2.74, 0.137, 0.319
2.76, 0.14, 0.324
2.77, 0.144, 0.328
2.79, 0.149, 0.327
2.8, 0.155, 0.32
2.82, 0.157, 0.316
2.83, 0.157, 0.319
2.85, 0.154, 0.323
2.86, 0.151, 0.327
2.88, 0.148, 0.325
2.89, 0.145, 0.319
2.91, 0.145, 0.317
2.92, 0.148, 0.321
2.94, 0.154, 0.326
2.95, 0.16, 0.328
2.97, 0.167, 0.327
2.98, 0.174, 0.319
3, 0.179, 0.315
3.01, 0.181, 0.318
3.02, 0.18, 0.323
3.04, 0.178, 0.328
3.05, 0.176, 0.327
3.07, 0.173, 0.32
3.08, 0.172, 0.315
3.1, 0.174, 0.317
3.11, 0.179, 0.322
3.12, 0.184, 0.326
3.14, 0.189, 0.326
3.15, 0.194, 0.319
3.17, 0.196, 0.317
3.18, 0.196, 0.321
3.2, 0.193, 0.325
3.21, 0.189, 0.328
3.23, 0.184, 0.327
3.24, 0.18, 0.319
3.26, 0.178, 0.316
3.27, 0.18, 0.32
3.28, 0.183, 0.325
3.3, 0.189, 0.328
3.31, 0.194, 0.327
3.33, 0.2, 0.32
3.34, 0.204, 0.315
3.36, 0.204, 0.318
3.37, 0.203, 0.322
3.38, 0.2, 0.326
3.4, 0.198, 0.326
3.41, 0.195, 0.32
3.43, 0.195, 0.318
3.44, 0.198, 0.321
3.45, 0.204, 0.325
3.47, 0.21, 0.328
3.48, 0.217, 0.327
3.5, 0.223, 0.32
3.51, 0.227, 0.318
3.53, 0.227, 0.321
