T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, d1, s1, t2, d2, s2, t3, d3, s3, savg
535, -0.259, -0.102, -0.11, 0.538, 0.645, 0.26, 0.201, 0.0719, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
535, -0.259, -0.102, -0.11, 0.538, 0.645, 0.26, 0.201, 0.0719, 20, 0.27, 29, 20, 0.099, 24, 20, 0.64, 40, 31
1.82e+03, -0.138, -0.239, -0.0682, 0.727, 0.191, 0.229, 0.125, 0.0719, 7, 0, 7.9, 6.6, 0.52, 23, 6.2, 0, 7.2, 13
358, -0.392, -0.39, -0.254, 0.0599, 0.568, 0.45, 0.229, 0.233, 2.4, 0, 3.3, 2, 0, 3, 1.9, 0, 2.9, 3.1
1.35e+03, -0.138, -0.235, -0.254, 0.414, 0.523, 0.45, 0.229, 0.335, 5.2, 0.34, 16, 5.8, 0.29, 16, 5.9, 0, 6.9, 13
267, -0.0707, -0.194, -0.0783, 0.414, 0.493, 0.13, 0.201, 0.0719, 20, 1.6, 69, 20, 1.6, 69, 20, 1.6, 70, 69
267, -0.22, -0.194, -0.254, 0.727, 0.523, 0.13, 0.201, 0.335, 15, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
358, -0.22, -0.235, -0.254, 0.414, 0.204, 0.0722, 0.414, 0.335, 1.2, 0, 2.2, 1.1, 0, 2.2, 1.1, 0, 2.2, 2.2
648, -0.0707, -0.235, -0.0783, 0.538, 0.523, 0.359, 0.414, 0.123, 3, 0.22, 11, 3, 0.28, 12, 3, 0.44, 17, 13
648, -0.22, -0.336, -0.141, 0.414, 0.523, 0.454, 0.436, 0.233, 2.8, 0.48, 18, 2.7, 0.47, 18, 2.7, 0.39, 15, 17
1.82e+03, -0.112, -0.159, -0.252, 0.0839, 0.332, 0.0722, 0.125, 0.335, 20, 0.0016, 21, 20, 0, 21, 20, 0, 21, 21
535, -0.0707, -0.235, -0.254, 0.538, 0.671, 0.26, 0.229, 0.123, 20, 0, 21, 20, 0, 21, 20, 0.89, 48, 30
1.35e+03, -0.259, -0.102, -0.11, 0.279, 0.645, 0.13, 0.201, 0.0719, 20, 0.47, 35, 20, 0.16, 26, 20, 0.32, 31, 31
267, -0.138, -0.336, -0.248, 0.727, 0.671, 0.203, 0.201, 0, 17, 3, 1.1e+02, 16, 3.1, 1.1e+02, 2, 0.61, 21, 80
358, -0.0707, -0.39, -0.0783, 0.727, 0.201, 0.229, 0.229, 0, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
1.35e+03, -0.138, -0.194, -0.0783, 0.727, 0.493, 0.13, 0.229, 0.123, 4.2, 0, 5.2, 4.4, 0.065, 7.4, 6.5, 0.5, 22, 12
267, -0.0707, -0.194, -0.254, 0.0599, 0.493, 0.45, 0.201, 0.0719, 3.7, 0, 4.7, 3.9, 0, 4.9, 2.7, 0, 3.7, 4.4
358, -0.112, -0.336, -0.141, 0.538, 0.332, 0.454, 0.125, 0.233, 2.5, 0.29, 12, 3.6, 0.32, 14, 3.5, 0, 4.6, 10
1.82e+03, -0.138, -0.102, -0.0783, 0.0839, 0.204, 0.229, 0.125, 0.449, 20, 0, 21, 20, 0.059, 23, 20, 0, 21, 22
1.35e+03, -0.259, -0.194, -0.11, 0.0599, 0.493, 0.45, 0.229, 0.0719, 8.8, 0, 9.8, 11, 0.2, 18, 12, 0, 13, 14
535, -0.138, -0.102, -0.254, 0.538, 0.645, 0.26, 0.201, 0.123, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
358, -0.392, -0.194, -0.0783, 0.727, 0.204, 0.13, 0.125, 0.449, 20, 1.8, 76, 20, 2.8, 1.1e+02, 19, 3, 1.1e+02, 97
267, -0.0707, -0.336, -0.0783, 0.727, 0.493, 0.229, 0.201, 0.0719, 20, 1.9, 78, 20, 1.5, 66, 20, 1.2, 56, 67
358, -0.138, -0.247, -0.0783, 0.538, 0.204, 0.229, 0.414, 0.123, 20, 0.76, 44, 20, 0.58, 38, 20, 0.57, 38, 40
358, -0.0707, -0.235, -0.0783, 0.538, 0.204, 0.359, 0.125, 0.449, 20, 0.12, 24, 20, 0.69, 42, 5.6, 0.24, 14, 27
267, -0.138, -0.39, -0.0682, 0.727, 0.204, 0.229, 0.201, 0.0719, 20, 1.9, 79, 20, 1.3, 61, 20, 1.4, 64, 68
358, -0.78, -0.39, -0.0783, 0.727, 0.191, 0.229, 0.229, 0.449, 2.6, 0.5, 19, 2.2, 0.37, 14, 2.2, 0.39, 15, 16
535, -0.259, -0.194, -0.11, 0.538, 0.645, 0.26, 0.201, 0.378, 2.5, 0.38, 15, 2.7, 0.49, 18, 2.9, 0.56, 21, 18
358, -0.138, -0.39, -0.0783, 0.727, 0.201, 0.13, 0.229, 0.233, 20, 0.85, 46, 20, 0.89, 48, 20, 0.86, 47, 47
358, -0.0707, -0.194, -0.0783, 0.727, 0.493, 0.229, 0.229, 0.233, 20, 1.5, 65, 20, 0.82, 46, 20, 1.3, 59, 57
358, -0.138, -0.39, -0.0783, 0.727, 0.204, 0.229, 0.229, 0.233, 20, 0.56, 38, 20, 0.4, 33, 20, 0.57, 38, 36
267, -0.138, -0.39, -0.0783, 0.727, 0.201, 0.229, 0.201, 0.449, 20, 1.8, 75, 20, 2, 82, 20, 1.7, 71, 76
358, -0.596, -0.26, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.449, 20, 0.26, 29, 3.5, 0.46, 18, 4, 0.39, 17, 21
358, -0.392, -0.26, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.315, 20, 1.3, 59, 20, 0.27, 29, 20, 0.74, 43, 44
358, -0.138, -0.336, -0.0783, 0.727, 0.201, 0.229, 0.125, 0.233, 20, 0.2, 27, 20, 0.45, 34, 20, 0.51, 36, 32
358, -0.392, -0.39, -0.0783, 0.727, 0.204, 0.229, 0.229, 0.449, 20, 0.57, 38, 20, 0.38, 32, 20, 0.17, 26, 32
358, -0.22, -0.194, -0.0783, 0.727, 0.523, 0.229, 0.201, 0.449, 20, 1.4, 62, 20, 1.2, 56, 20, 1.2, 58, 59
267, -0.392, -0.39, -0.254, 0.414, 0.204, 0.13, 0.0217, 0.335, 1.1, 0, 2, 1.1, 0, 2.1, 1.1, 0, 2.1, 2.1
267, -0.22, -0.194, -0.0783, 0.414, 0.201, 0.13, 0.201, 0.233, 3.4, 0, 4.3, 3.4, 0, 4.3, 3.4, 0, 4.3, 4.3
358, -0.138, -0.39, -0.254, 0.727, 0.523, 0.229, 0.229, 0.335, 20, 1.8, 76, 20, 1, 52, 20, 1.5, 67, 65
358, -0.138, -0.194, -0.248, 0.439, 0.101, 0.203, 0, 0.449, 0.8, 0, 1.8, 0.8, 0, 1.8, 0.8, 0, 1.8, 1.8
1.29e+03, -0.0707, -0.247, -0.0783, 0.538, 0.344, 0.229, 0.5, 0.378, 4.8, 0.022, 6.5, 5.8, 0, 6.8, 8.6, 0.58, 27, 13
358, -0.259, -0.247, 0, 0.538, 0.645, 0.229, 0.125, 0.0719, 1, 0.47, 16, 1, 0.46, 16, 1, 0.46, 16, 16
1.35e+03, -0.138, -0.102, -0.11, 0.279, 0.204, 0.13, 0.201, 0.449, 20, 0.1, 24, 20, 0.13, 25, 20, 0.06, 23, 24
1.35e+03, -0.138, -0.235, -0.0682, 0.727, 0.204, 0.229, 0.201, 0.0719, 5.6, 0.43, 19, 5.2, 0.21, 12, 5.3, 0, 6.3, 13
267, -0.0707, -0.39, -0.254, 0.414, 0.523, 0.0722, 0.414, 0, 3.6, 0.4, 16, 3.2, 0.4, 16, 3.2, 0.38, 15, 16
358, -0.392, -0.39, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.449, 2.5, 0.59, 21, 3.4, 0.55, 21, 2.7, 0.42, 16, 19
358, -0.392, -0.336, -0.0783, 0.727, 0.204, 0.229, 0.0217, 0.449, 20, 0.32, 31, 20, 0.17, 26, 4, 0.61, 23, 27
358, -0.138, -0.247, -0.0783, 0.538, 0.671, 0.229, 0.201, 0.449, 1.1, 0.45, 15, 1.1, 0.45, 16, 1.1, 0.47, 16, 16
267, -0.138, -0.336, -0.248, 0.727, 0.204, 0.203, 0.125, 0.13, 1.6, 0, 2.6, 15, 3.1, 1.1e+02, 1.3, 0, 2.3, 38
358, -0.138, -0.39, -0.0783, 0.727, 0.671, 0.203, 0.229, 0.233, 1.1, 0.45, 16, 1.1, 0.45, 16, 1.1, 0.45, 16, 16
267, -0.138, -0.39, -0.252, 0.727, 0.493, 0.229, 0.229, 0.0719, 14, 3, 1.1e+02, 15, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
358, -0.22, -0.194, -0.0783, 0.414, 0.201, 0.13, 0.436, 0.233, 4.5, 0, 5.4, 20, 3.1, 1.1e+02, 20, 2.9, 1.1e+02, 75
535, -0.138, -0.194, -0.0783, 0.727, 0.204, 0.229, 0.201, 0.233, 20, 0.13, 25, 20, 0.097, 24, 20, 0.17, 26, 25
267, -0.138, -0.39, -0.0783, 0.727, 0.645, 0.13, 0.229, 0.449, 1.3, 0.47, 17, 1.2, 0.46, 16, 1.3, 0.47, 16, 16
358, -0.138, -0.39, -0.0783, 0.727, 0.201, 0.229, 0.229, 0.233, 20, 0.33, 31, 20, 0.26, 29, 20, 0.51, 36, 32
358, -0.138, -0.39, -0.0783, 0.727, 0.201, 0.229, 0.229, 0.233, 20, 0.57, 38, 20, 0.49, 36, 20, 0.29, 30, 35
267, -0.0707, -0.336, -0.0783, 0.78, 0.493, 0.13, 0.229, 0.0719, 20, 1.5, 67, 20, 0.55, 37, 20, 1.3, 59, 54
358, -0.0707, -0.194, -0.0783, 0.727, 0.493, 0.229, 0.201, 0.233, 20, 1.1, 54, 20, 1, 51, 20, 1, 51, 52
358, -0.22, -0.194, -0.0783, 0.727, 0.523, 0.229, 0.201, 0.449, 20, 0.18, 26, 20, 0, 21, 20, 1.5, 65, 37
358, -0.392, -0.336, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.449, 20, 0.26, 29, 20, 0.19, 27, 20, 0.031, 22, 26
358, -0.138, -0.247, -0.252, 0.414, 0.645, 0.13, 0.229, 0.233, 20, 2.6, 98, 20, 2.3, 90, 20, 2.4, 93, 94
535, -0.22, -0.194, -0.0783, 0.727, 0.523, 0.229, 0.436, 0.335, 2.5, 0.51, 19, 2.5, 0.51, 19, 2.5, 0.52, 19, 19
267, -0.392, -0.26, -0.0783, 0.727, 0.493, 0.229, 0.201, 0.0719, 1.6, 0.3, 12, 1.6, 0.25, 10, 1.6, 0.37, 14, 12
358, -0.0707, -0.336, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.449, 20, 0.032, 22, 20, 0.054, 23, 20, 0.1, 24, 23
358, -0.22, -0.247, -0.0783, 0.414, 0.493, 0.13, 0.436, 0.0719, 5, 0.78, 29, 3.4, 0.58, 22, 6.5, 0.75, 30, 27
267, -0.138, -0.194, -0.252, 0.538, 0.204, 0.229, 0.125, 0.449, 1.2, 0, 2.2, 1.2, 0, 2.2, 1.3, 0, 2.3, 2.3
267, -0.138, -0.336, -0.0783, 0.538, 0.204, 0.229, 0.125, 0.13, 20, 2.4, 94, 20, 2.4, 93, 20, 2.4, 93, 94
358, -0.138, -0.247, -0.248, 0.727, 0.204, 0.203, 0.125, 0.449, 1.4, 0, 2.4, 3.2, 0, 4.2, 1.9, 0, 2.9, 3.2
358, -0.392, -0.336, -0.0783, 0.727, 0.204, 0.229, 0.201, 0, 20, 0.49, 36, 20, 0.33, 31, 20, 0.11, 24, 30
267, -0.138, -0.39, -0.248, 0.727, 0.671, 0.203, 0.229, 0.449, 16, 3.1, 1.1e+02, 1.8, 0.6, 21, 1.9, 0.6, 21, 50
358, -0.22, -0.194, -0.0783, 0.727, 0.523, 0.229, 0.229, 0, 20, 0.79, 45, 20, 0.87, 47, 20, 0.92, 49, 47
358, -0.0707, -0.336, -0.248, 0.727, 0.671, 0.203, 0.201, 0.5, 20, 1.1, 53, 20, 1.5, 67, 20, 1.7, 73, 64
267, -0.0707, -0.194, -0.0783, 0.727, 0.493, 0.13, 0.201, 0.0719, 20, 1.3, 61, 20, 0.84, 46, 20, 0.68, 41, 49
267, -0.0707, -0.194, -0.0783, 0.727, 0.493, 0.13, 0.201, 0.0719, 20, 0.92, 49, 20, 0.88, 47, 20, 0.97, 50, 49
267, -0.138, -0.336, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.449, 20, 0.38, 32, 20, 1.5, 65, 20, 1.5, 65, 54
267, -0.138, -0.247, -0.0783, 0.414, 0.645, 0.13, 0.229, 0.13, 20, 0, 21, 1.4, 0.45, 16, 1.6, 0.43, 15, 17
358, -0.138, -0.336, -0.252, 0.538, 0.204, 0.229, 0.125, 0.233, 1.1, 0, 2.2, 1.3, 0, 2.3, 1.2, 0, 2.2, 2.2
358, -0.138, -0.102, -0.0783, 0.538, 0.493, 0.13, 0.201, 0.449, 20, 1.5, 67, 20, 1.6, 68, 20, 1.6, 68, 68
267, -0.0707, -0.194, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.0719, 20, 0.41, 33, 20, 0.049, 22, 20, 0.24, 28, 28
535, -0.22, -0.194, -0.0783, 0.414, 0.201, 0.13, 0.436, 0.233, 5.3, 0, 6.3, 4.2, 0, 5.2, 4.6, 0.31, 15, 8.8
358, -0.138, -0.194, -0.0783, 0.727, 0.645, 0.13, 0.229, 0.233, 20, 1.4, 62, 20, 1.5, 65, 20, 1.6, 69, 66
267, -0.138, -0.39, -0.254, 0.727, 0.523, 0.229, 0.201, 0.449, 14, 3.1, 1.1e+02, 14, 3, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
358, -0.138, -0.39, -0.0783, 0.727, 0.201, 0.229, 0.229, 0.335, 2.8, 0.59, 21, 20, 0.51, 36, 20, 0.41, 33, 30
358, -0.0707, -0.194, -0.0783, 0.727, 0.493, 0.229, 0.201, 0.449, 20, 1.3, 61, 20, 1.3, 59, 20, 0.92, 49, 56
358, -0.22, -0.194, -0.0783, 0.727, 0.523, 0.229, 0.229, 0.233, 20, 0.26, 29, 20, 1.1, 54, 20, 1, 52, 45
267, -0.138, -0.336, -0.0783, 0.538, 0.204, 0.229, 0.125, 0.13, 20, 0.53, 37, 20, 2.3, 90, 20, 2.4, 92, 73
358, -0.138, -0.247, -0.0783, 0.538, 0.204, 0.229, 0.414, 0.123, 20, 0.6, 39, 20, 0.61, 39, 20, 0.63, 40, 39
358, -0.0707, -0.247, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.449, 20, 0.8, 45, 20, 0.8, 45, 20, 0.67, 41, 44
267, -0.138, -0.194, -0.0783, 0.538, 0.493, 0.13, 0.201, 0.0719, 20, 2.2, 86, 20, 1.9, 79, 20, 2.1, 84, 83
267, -0.0707, -0.336, -0.0783, 0.538, 0, 0.229, 0.125, 0.0719, 20, 1.2, 56, 20, 1.2, 57, 20, 1.2, 56, 56
267, -0.138, -0.336, -0.0783, 0.727, 0.493, 0.229, 0.201, 0.13, 20, 1.9, 78, 20, 0.72, 43, 20, 1.1, 55, 58
267, -0.22, -0.336, -0.248, 0.414, 0.671, 0.229, 0.274, 0.335, 1.9, 0, 2.9, 1.8, 0.5, 18, 1.7, 0.48, 17, 13
358, -0.138, -0.247, -0.252, 0.727, 0.523, 0.203, 0.201, 0, 20, 1.4, 64, 20, 0.43, 34, 20, 1.8, 75, 58
267, -0.138, -0.247, -0.0783, 0.538, 0.204, 0.229, 0.201, 0.123, 20, 2.1, 83, 20, 2, 82, 20, 2, 80, 82
358, -0.0707, -0.194, -0.0783, 0.414, 0.493, 0.13, 0.414, 0.0719, 20, 1.5, 65, 20, 1.5, 65, 20, 1.5, 65, 65
267, -0.0707, -0.194, -0.0783, 0.727, 0.493, 0.13, 0.201, 0.0719, 20, 1.7, 73, 20, 1.4, 63, 20, 0.76, 44, 60
358, 0, -0.194, -0.0783, 0.727, 0.523, 0.229, 0.201, 0.449, 20, 0.83, 46, 20, 1.1, 55, 20, 0.7, 42, 48
358, -0.22, -0.194, -0.254, 0.414, 0.523, 0.229, 0.436, 0.335, 5.1, 0.46, 20, 20, 2.6, 98, 20, 2.1, 85, 68
535, -0.138, -0.194, -0.0783, 0.727, 0.7, 0.229, 0.229, 0.449, 1.1, 0.47, 16, 1, 0.47, 16, 1.1, 0.48, 16, 16
267, -0.138, -0.39, -0.0783, 0.727, 0.201, 0.13, 0.201, 0.233, 20, 1.7, 72, 20, 1.3, 59, 20, 2, 82, 71
535, -0.0707, -0.194, -0.0783, 0.727, 0.645, 0.229, 0.201, 0.233, 20, 1.5, 65, 5.1, 0.71, 27, 1.5, 0.48, 17, 36
358, -0.138, -0.194, -0.0783, 0.727, 0.493, 0.13, 0.229, 0.449, 20, 1.8, 75, 20, 1.8, 76, 20, 1.8, 74, 75
267, -0.22, -0.194, -0.254, 0.414, 0.523, 0.229, 0.436, 0.335, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 1.1e+02
358, -0.22, -0.247, -0.252, 0.727, 0.523, 0.13, 0.201, 0.335, 20, 1.6, 70, 20, 1.9, 79, 20, 2, 80, 76
267, -0.138, -0.247, -0.252, 0.414, 0.493, 0.13, 0.436, 0.233, 15, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 1.1e+02
358, -0.22, -0.194, -0.252, 0.414, 0.645, 0.13, 0.229, 0.0719, 19, 2.7, 1e+02, 14, 1.2, 51, 13, 2.1, 77, 77
358, -0.22, -0.247, -0.252, 0.538, 0.523, 0.229, 0.125, 0.335, 20, 2.2, 86, 20, 2.3, 91, 20, 2.5, 97, 91
267, -0.0707, -0.336, -0.0783, 0.414, 0, 0.229, 0.436, 0.0719, 20, 1.8, 75, 5.9, 0, 6.9, 6, 0, 6.9, 30
358, -0.138, -0.247, -0.252, 0.414, 0.645, 0.13, 0.229, 0.0719, 20, 2.3, 90, 20, 2.3, 89, 20, 2.3, 90, 90
267, -0.0707, -0.194, -0.0783, 0.727, 0.493, 0.13, 0.201, 0.233, 20, 1.9, 79, 20, 1.4, 62, 20, 1.6, 68, 70
358, -0.392, -0.194, -0.0783, 0.727, 0.204, 0.13, 0.125, 0.449, 20, 2.8, 1.1e+02, 20, 2.2, 87, 20, 2.8, 1.1e+02, 1e+02
358, -0.22, -0.194, -0.254, 0.414, 0.523, 0.229, 0.436, 0.335, 20, 2.3, 91, 19, 3, 1.1e+02, 20, 2.6, 1e+02, 1e+02
358, -0.22, -0.194, -0.0783, 0.414, 0.201, 0.13, 0.436, 0, 20, 1.9, 79, 20, 2.2, 86, 20, 2.3, 90, 85
267, -0.138, -0.39, -0.0783, 0.727, 0.201, 0.229, 0.201, 0.233, 20, 1.6, 69, 20, 1.5, 67, 20, 0.88, 47, 61
267, -0.138, -0.336, -0.254, 0.538, 0.523, 0.229, 0.125, 0.13, 15, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.0783, 0.727, 0.204, 0.13, 0.201, 0.335, 20, 1.6, 70, 20, 1.3, 60, 20, 1.4, 64, 65
267, -0.138, -0.194, -0.252, 0.414, 0.493, 0.13, 0.436, 0, 20, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
358, -0.78, -0.247, -0.252, 0.727, 0.523, 0.203, 0.201, 0.0719, 1.5, 0, 2.5, 1.5, 0, 2.5, 1.5, 0, 2.5, 2.5
267, -0.138, -0.194, -0.0783, 0.727, 0.523, 0.229, 0.201, 0.449, 20, 2.4, 93, 20, 1.8, 75, 20, 2.1, 83, 83
358, -0.22, -0.39, -0.0783, 0.727, 0.201, 0.229, 0.201, 0.449, 20, 0.81, 45, 20, 0.8, 45, 20, 0.83, 46, 45
267, -0.138, -0.336, -0.0783, 0.414, 0.204, 0.13, 0.125, 0.233, 2.8, 0.48, 18, 3.9, 0.61, 23, 3.7, 0.6, 23, 21
358, 0, -0.336, -0.248, 0.727, 0.671, 0.203, 0.201, 0.5, 20, 1.2, 56, 20, 1.1, 54, 20, 1.3, 61, 57
358, -0.0707, -0.247, -0.252, 0.727, 0.523, 0.229, 0.436, 0.335, 20, 1.4, 62, 20, 1.2, 58, 20, 1.7, 71, 64
267, -0.22, -0.194, -0.0783, 0.414, 0.493, 0.13, 0.201, 0.233, 2.2, 0.41, 15, 2.5, 0.38, 15, 3.6, 0.42, 17, 16
358, -0.0707, -0.194, -0.0783, 0.414, 0.493, 0.13, 0.414, 0.335, 20, 1.7, 71, 20, 1.7, 71, 20, 1.6, 70, 71
358, -0.22, -0.247, -0.252, 0.538, 0.523, 0.229, 0.125, 0.0719, 20, 1.9, 77, 20, 2, 80, 20, 2.1, 84, 81
267, -0.138, -0.39, -0.254, 0.414, 0.493, 0.229, 0.201, 0.449, 2.9, 0.64, 23, 2.9, 0.54, 20, 2.8, 0.58, 21, 21
267, -0.138, -0.194, -0.252, 0.727, 0.523, 0.13, 0.436, 0, 20, 2.8, 1e+02, 20, 2.8, 1e+02, 20, 3.1, 1.1e+02, 1.1e+02
358, -0.138, -0.39, -0.0783, 0.727, 0.645, 0.13, 0.229, 0, 7.3, 1.5, 52, 4.2, 0.87, 31, 2.1, 0.56, 20, 34
267, -0.138, -0.247, -0.252, 0.414, 0.201, 0.229, 0.201, 0.233, 1.1, 0, 2.2, 1.2, 0, 2.2, 1.1, 0, 2.2, 2.2
267, -0.138, -0.39, -0.0783, 0.727, 0.201, 0.229, 0.229, 0.449, 20, 2.3, 90, 20, 1.5, 67, 20, 1.7, 71, 76
358, -0.138, -0.194, -0.0783, 0.727, 0.493, 0.13, 0.201, 0.449, 20, 1.9, 77, 20, 1.8, 75, 20, 1.8, 76, 76
267, -0.138, -0.39, 0, 0.727, 0.204, 0.229, 0.201, 0.449, 20, 1.8, 76, 20, 1.4, 62, 20, 1.7, 71, 69
267, -0.138, -0.39, -0.0783, 0.727, 0.204, 0.229, 0.201, 0.449, 20, 0.37, 32, 20, 1.8, 75, 20, 2, 82, 63
267, -0.138, -0.39, -0.254, 0.727, 0.523, 0.13, 0.201, 0.233, 14, 3, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.0783, 0.727, 0.201, 0.13, 0.201, 0.335, 20, 1.7, 72, 20, 1.3, 60, 20, 1.4, 64, 65
358, -0.22, -0.247, -0.0783, 0.538, 0.493, 0.13, 0.201, 0.335, 20, 1.7, 71, 20, 2, 82, 20, 2.2, 87, 80
358, -0.138, -0.102, -0.252, 0.727, 0.523, 0.13, 0.201, 0.449, 20, 0.5, 36, 20, 0.51, 36, 20, 0.52, 37, 36
358, -0.0707, -0.336, -0.0783, 0.727, 0.671, 0.203, 0.201, 0.449, 1.1, 0.46, 16, 1.2, 0.47, 16, 1.1, 0.45, 16, 16
267, -0.138, -0.194, -0.248, 0.727, 0.523, 0.229, 0.201, 0.5, 20, 2.7, 1e+02, 19, 3.1, 1.1e+02, 19, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.254, 0.414, 0.523, 0.229, 0.436, 0.233, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 1.1e+02
358, -0.22, -0.194, -0.0783, 0.414, 0.201, 0.13, 0.436, 0.335, 20, 3.1, 1.1e+02, 20, 3, 1.1e+02, 20, 3, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.254, 0.414, 0.523, 0.229, 0.201, 0.335, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.252, 0.727, 0.493, 0.13, 0.229, 0.0719, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.414, 0.493, 0.13, 0.414, 0.449, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.248, 0.414, 0.201, 0.13, 0.436, 0.335, 1.3, 0, 2.3, 1.5, 0, 2.5, 2.9, 0, 3.9, 2.9
358, -0.22, -0.336, -0.0783, 0.727, 0.671, 0.203, 0.201, 0, 1.1, 0.46, 16, 1.1, 0.47, 16, 1.2, 0.47, 16, 16
267, -0.22, -0.194, -0.252, 0.414, 0.645, 0, 0.229, 0.0719, 11, 0.23, 19, 17, 0.035, 19, 6.2, 0.28, 16, 18
358, -0.22, -0.194, -0.254, 0.414, 0.523, 0.13, 0.201, 0.335, 18, 3, 1.1e+02, 7.2, 0, 8.1, 20, 2.7, 1e+02, 73
267, -0.392, -0.194, -0.254, 0.727, 0.204, 0.229, 0.125, 0.13, 1.1, 0, 2.1, 1.1, 0, 2.2, 1.1, 0, 2.1, 2.1
358, -0.138, -0.336, -0.0783, 0.538, 0.523, 0.13, 0.125, 0.449, 20, 1, 52, 20, 0.9, 48, 20, 1.1, 53, 51
358, -0.22, -0.247, -0.252, 0.414, 0.523, 0.229, 0.201, 0.233, 6.7, 1.2, 42, 20, 2.4, 92, 11, 0.84, 37, 57
267, -0.0707, -0.194, -0.0783, 0.727, 0.493, 0.13, 0.436, 0.335, 20, 2, 80, 20, 1.5, 66, 20, 1.5, 65, 70
267, -0.392, -0.194, -0.0783, 0.727, 0.204, 0.13, 0.436, 0, 2.4, 0, 3.3, 3.4, 0, 4.3, 2.5, 0.18, 9, 5.6
358, -0.138, -0.194, -0.252, 0.414, 0.493, 0.13, 0.125, 0.449, 20, 2.1, 85, 20, 2, 82, 20, 2.2, 87, 85
358, -0.22, -0.194, -0.254, 0.727, 0.493, 0.13, 0.201, 0.335, 20, 1.7, 72, 20, 1.5, 65, 20, 1.9, 78, 72
267, -0.0707, -0.194, -0.0783, 0.414, 0.523, 0.13, 0.414, 0.335, 20, 1.9, 78, 20, 1.8, 75, 20, 1.9, 79, 77
267, -0.138, -0.194, -0.254, 0.727, 0.493, 0.13, 0.229, 0.0719, 20, 2.3, 91, 20, 2.1, 83, 20, 2.5, 95, 90
358, -0.22, -0.39, -0.252, 0.414, 0.57, 0.229, 0.436, 0.335, 4.3, 0.69, 26, 3.7, 0.62, 23, 8.1, 0.67, 29, 26
267, -0.22, -0.194, -0.0783, 0.538, 0.204, 0.229, 0.125, 0.13, 4, 0.49, 20, 20, 2.2, 88, 20, 2.3, 90, 66
267, -0.138, -0.336, -0.254, 0.414, 0.523, 0.13, 0.201, 0.335, 15, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 15, 3, 1e+02, 1.1e+02
267, -0.22, -0.247, -0.0783, 0.538, 0.204, 0.229, 0.125, 0.13, 5.5, 0.65, 26, 19, 3.1, 1.1e+02, 5.1, 0.65, 26, 54
358, -0.138, -0.336, -0.252, 0.538, 0.523, 0.229, 0.125, 0.0719, 20, 1, 51, 20, 0.67, 41, 20, 0.71, 42, 45
358, -0.22, -0.39, -0.254, 0, 0.523, 0.13, 0.201, 0.0719, 2.2, 0.44, 16, 2.6, 0.29, 12, 2.3, 0.42, 16, 15
267, -0.138, -0.247, -0.252, 0.727, 0.523, 0.229, 0.125, 0.233, 18, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, 0, 0.727, 0.204, 0.229, 0.201, 0.233, 20, 2, 80, 20, 1.2, 56, 20, 1.5, 66, 67
358, -0.138, -0.247, -0.252, 0.414, 0.645, 0.13, 0.229, 0.449, 19, 3, 1.1e+02, 20, 2.8, 1.1e+02, 20, 2.8, 1.1e+02, 1.1e+02
