T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, d1, s1, t2, d2, s2, t3, d3, s3, savg
1.65e+03, -0.235, -0.135, -0.187, 0.508, 0.631, 0.432, 0.485, 0.185, 4.8, 0.01, 6.1, 5, 0.092, 8.7, 4.8, 0.046, 7.2, 7.3
894, -0.28, -0.046, -0.173, 0.634, 0.466, 0.381, 0.126, 0.00214, 2.9, 0, 3.9, 2.9, 0, 3.9, 2.9, 0, 3.9, 3.9
1.12e+03, -0.466, -0.309, -0.00493, 0.576, 0.289, 0.208, 0.355, 0.0606, 3.8, 0, 4.8, 4, 0, 4.9, 3.5, 0, 4.4, 4.7
1.29e+03, -0.0832, -0.194, -0.212, 0.439, 0.493, 0.376, 0.5, 0.315, 5.1, 0.23, 13, 5.2, 0.37, 17, 5.2, 0.13, 10, 13
1.15e+03, -0.276, -0.0351, -0.214, 0.238, 0.304, 0.242, 0.436, 0.187, 4.1, 0, 5.1, 4.2, 0, 5.2, 5.8, 0, 6.8, 5.7
1.82e+03, -0.112, -0.108, -0.141, 0.0839, 0.191, 0.454, 0.472, 0.49, 20, 0, 21, 20, 0.0007, 21, 20, 0.024, 22, 21
1.17e+03, -0.144, -0.26, -0.064, 0.356, 0.212, 0.476, 0.454, 0.449, 5.1, 0, 6.1, 5.1, 0.35, 17, 4.8, 0, 5.8, 9.5
1.36e+03, -0.74, -0.395, -0.278, 0.407, 0.402, 0.0154, 0.127, 0.301, 3.9, 0, 4.8, 3.5, 0.034, 5.5, 4.1, 0, 5.1, 5.1
894, -0.439, -0.309, -0.173, 0.213, 0.545, 0.208, 0.126, 0.439, 4.8, 0, 5.8, 5, 0, 5.9, 4.7, 0, 5.7, 5.8
1.52e+03, -0.466, -0.0164, -0.304, 0.634, 0.466, 0.318, 0.0901, 0.00214, 4.8, 0, 5.8, 4.2, 0, 5.2, 3.4, 0, 4.3, 5.1
1.15e+03, -0.276, -0.291, -0.248, 0.582, 0.29, 0.203, 0.0115, 0.378, 4.5, 0, 5.5, 4.2, 0, 5.2, 4.9, 0, 5.9, 5.5
1.62e+03, -0.245, -0.0351, -0.214, 0.238, 0.191, 0.454, 0.436, 0.187, 6.8, 0, 7.8, 6.8, 0, 7.8, 8.8, 0, 9.8, 8.4
