T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
381, -0.891, -0.0474, -0.385, 2.5, 1.79, 0.32, 0.258, 0.0955, 0.0349, 0.5, 0.29, -0.03, 10, 0.5, 0.29, -0.032, 10, 0.5, 0.29, -0.024, 10, 10
322, -0.712, -0.385, -0.228, 0.774, 1.01, 0.465, 0.239, 0.0745, 0.116, 0.7, 0.36, 0.053, 13, 0.7, 0.36, 0.055, 13, 0.73, 0.37, 0.059, 13, 13
241, -0.332, -0.0684, -0.272, 0.973, 0.606, 0.216, 0.362, 0.62, 0.144, 15, 1.4, 0.68, 59, 15, 1.6, 0.32, 63, 15, 1.5, 0.23, 61, 61
500, -0.831, -0.0533, -0.341, 0.927, 1.32, 0.0248, 0.0878, 0.387, 0.282, 0.57, 0.33, -0.031, 12, 0.57, 0.34, -0.028, 12, 0.55, 0.32, -0.025, 11, 12
225, -0.706, -0.0325, -0.107, 0.495, 0.855, 0.385, 0.354, 0.231, 0.299, 0.75, 0.32, -0.038, 11, 0.8, 0.33, -0.033, 12, 0.77, 0.32, -0.016, 11, 11
317, -0.878, -0.067, -0.0366, 1.11, 0.175, 0.31, 0.522, 0.00145, 0.0313, 1.5, 0.21, -0.067, 9, 1.6, 0.13, -0.1, 6.8, 1.5, 0.18, -0.26, 9.3, 8.4
460, -0.313, -0.0861, -0.426, 0.262, 0.125, 0.0152, 0.504, 0.074, 0.0878, 0.52, -0.33, -0.0033, 4.8, 0.55, -0.35, -0.0035, 5.1, 0.55, -0.35, -0.0037, 5, 5
385, -0.945, -0.147, -0.373, 1.74, 1.32, 0.0501, 0.127, 0.229, 0.487, 0.57, 0.35, -0.055, 12, 0.55, 0.33, -0.04, 12, 0.55, 0.33, -0.035, 12, 12
263, -0.645, -0.0406, -0.0586, 2.36, 0.574, 0.00469, 0.831, 0.902, 0.499, 1.1, 0.46, 0.021, 16, 1.3, 0.47, -0.0017, 16, 1.1, 0.45, 0.022, 16, 16
240, -0.232, -0.351, -0.333, 0.59, 0.199, 0.377, 0.318, 0.555, 0.271, 0.68, -0.3, -0.073, 4.8, 0.7, -0.32, -0.089, 5, 0.68, -0.3, -0.075, 4.7, 4.8
476, -0.797, -0.0241, -0.413, 2.89, 0.0822, 0.379, 0.738, 0.792, 0.151, 0.6, -0.32, 0.057, 4.8, 0.6, -0.32, 0.061, 4.8, 0.6, -0.32, 0.056, 4.8, 4.8
566, -0.747, -0.0916, -0.395, 3.73, 0.778, 0.248, 0.0963, 0.301, 0.412, 2.2, 0.5, 0.2, 19, 1.6, -0.12, 0.28, 5.6, 2, 0.48, 0.0059, 17, 14
699, -0.177, -0.0509, -0.267, 0.669, 0.769, 0.225, 0.212, 0.236, 0.424, 2.7, 0.21, 0.44, 13, 2.7, 0.13, 0.43, 11, 5.3, 0.54, -0.2, 23, 16
427, -0.836, -0.328, -0.312, 1.19, 1.63, 0.219, 0.36, 0.0171, 0.0812, 0.52, 0.29, -0.02, 10, 0.52, 0.29, -0.019, 10, 0.52, 0.29, -0.019, 10, 10
386, -0.603, -0.302, -0.348, 0.829, 1.46, 0.364, 0.677, 0.77, 0.272, 0.55, 0.32, -0.0024, 11, 0.55, 0.32, -0.0043, 11, 0.55, 0.32, -0.0041, 11, 11
318, -0.0546, -0.342, -0.5, 0.596, 0.743, 0.359, 0.29, 0.0967, 0.188, 1.1, -0.32, -0.057, 5.3, 1.1, -0.3, 0.11, 5.2, 1.1, -0.32, 0.031, 5.3, 5.3
252, -0.439, -0.349, -0.302, 0.683, 0.547, 0.419, 0.288, 0.602, 0.228, 1, -0.28, 0.086, 5, 1, -0.27, 0.11, 5, 1, -0.29, -0.1, 5.1, 5
199, -0.553, -0.355, -0.309, 1.1, 0.41, 0.276, 0.613, 0.302, 0.525, 1, -0.24, 0.053, 4.5, 1.1, -0.19, -0.14, 4.5, 0.93, -0.19, 0.11, 4.1, 4.4
206, -0.0935, -0.301, -0.359, 0.539, 1.1, 0.0542, 0.265, 0.157, 0.512, 0.65, 0.37, 0.0054, 13, 0.62, 0.36, 0.0008, 12, 0.65, 0.37, 0.0026, 13, 13
112, -0.543, -0.0607, -0.463, 0.95, 0.337, 0.0921, 0.287, 0.393, 0.435, 0.6, -0.32, -0.067, 4.9, 0.57, -0.32, -0.059, 4.8, 0.57, -0.31, -0.061, 4.8, 4.8
487, -0.316, -0.0646, -0.116, 0.472, 1.56, 0.317, 0.289, 0.889, 0.456, 0.62, 0.31, -0.0067, 11, 0.6, 0.3, -0.0073, 11, 0.6, 0.3, -0.0059, 11, 11
405, -0.219, -0.419, -0.472, 0.337, 0.125, 0.691, 0.381, 0.238, -0.033, 0.52, -0.33, -0.0036, 4.8, 0.52, -0.33, -0.006, 4.9, 0.52, -0.34, -0.0046, 4.9, 4.9
376, -0.321, -0.0295, -0.395, 1.15, 0.135, -0.139, 0.349, 0.728, 0.384, 0.57, -0.35, 0.0024, 5.1, 0.57, -0.35, 0.0039, 5.1, 0.57, -0.35, 0.0033, 5.1, 5.1
439, -0.365, 0.0855, -0.0214, 1.14, 0.582, 0.612, 0.793, 0.49, 0.397, 0.98, 0.36, 0.14, 13, 1, 0.38, 0.14, 14, 1, 0.37, 0.14, 13, 13
425, -0.314, -0.0762, -0.193, 2.38, 0.558, 0.574, 0.462, 0.709, 0.433, 15, -0.0059, 0.02, 16, 15, 0.24, -0.055, 23, 15, 0.05, 0.039, 18, 19
555, -0.842, -0.0475, -0.382, 0.537, 1.25, 0.307, 0.047, 0.344, 0.377, 0.62, 0.36, 0.032, 13, 0.62, 0.36, 0.032, 13, 0.6, 0.36, 0.027, 12, 12
435, -0.918, -0.0557, -0.374, 0.27, 1.11, 0.146, 0.106, 0.0552, 0.0618, 0.68, 0.37, 0.021, 13, 0.68, 0.36, 0.023, 13, 0.68, 0.36, 0.023, 13, 13
347, -0.101, -0.0907, -0.37, 2.55, 0.816, 0.0831, 0.334, 0.171, 0.0374, 1.1, 0.37, -0.046, 13, 1.2, 0.39, -0.023, 14, 1.1, 0.36, -0.013, 13, 13
354, -0.988, -0.0677, -0.392, 2.47, 1.22, 0.272, 0.283, 0.335, 0.0397, 0.65, 0.37, 0.0053, 13, 0.68, 0.39, 0.0072, 14, 0.65, 0.38, 0.011, 13, 13
382, -0.631, -0.113, -0.385, 1.12, 0.512, 0.477, 0.114, 0.135, 0.365, 1, -0.3, -0.12, 5.2, 1, -0.28, -0.13, 5.1, 0.98, -0.3, -0.11, 5.2, 5.2
348, -0.842, -0.167, -0.29, 1.43, 1.22, 0.381, 0.11, 0.259, 0.364, 0.65, 0.36, 0.018, 12, 0.62, 0.34, 0.024, 12, 0.65, 0.37, 0.017, 13, 12
348, -0.551, 0.0191, -0.235, 2.62, 1.22, 0.0552, 1.14, 0.548, 0.127, 0.57, 0.33, -0.0056, 12, 0.6, 0.35, -0.012, 12, 0.57, 0.33, -0.009, 12, 12
345, -0.65, -0.146, -0.615, 0.884, 2.32, 0.0275, 1.11, 0.3, 0.523, 0.5, 0.28, -0.028, 9.9, 0.5, 0.29, -0.024, 10, 0.5, 0.29, -0.019, 10, 10
