T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
257, -0.48, -0.351, -0.277, 0.526, 0.37, 0.0635, 0.181, 0.441, 0.0298, 2, -0.23, -0.22, 6.1, 2, -0.16, -0.26, 6.1, 2, -0.27, -0.2, 6.4, 6.2
299, -0.408, -0.358, -0.154, 0.367, 0.292, 0.207, 0.235, 0.0622, 0.0379, 1.9, -0.11, 0.0087, 4, 1.6, -0.15, 0.18, 4.9, 1.6, -0.023, 0.21, 4.8, 4.6
227, -0.151, -0.262, -0.343, 0.0941, 0.193, 0.0993, 0.21, 0.153, 0.0158, 0.7, -0.4, -0.0088, 5.7, 0.7, -0.4, -0.0087, 5.7, 0.7, -0.4, -0.0075, 5.7, 5.7
475, -0.636, -0.256, -0.202, 0.337, 0.671, 0.456, 0.134, 0.122, 0.125, 5.3, 0.53, 0.17, 23, 4.2, -0.22, -0.38, 9.5, 15, -0.058, -0.24, 18, 17
629, -0.151, -0.0567, -0.0784, 0.693, 0.416, 0.433, 0.473, 0.193, 0.0598, 6.8, -0.093, 0.65, 14, 30, -0.036, -0.0072, 31, 7.9, -0.59, 0.47, 16, 21
495, -0.0135, -0.377, -0.225, 0.569, 0.594, 0.138, 0.249, 0.181, 0.124, 30, -0.15, 2.1, 52, 30, 0.096, 1.6, 49, 30, -0.2, 1.6, 47, 49
566, -0.0668, -0.0919, -0.241, 0.263, 0.146, 0.108, 0.219, 0.00527, 0.141, 0.95, -0.41, -0.0046, 6.1, 0.95, -0.4, -0.0027, 6, 0.95, -0.38, -0.0019, 5.8, 5.9
475, -0.539, -0.0832, -0.289, 0.766, 0.519, 0.121, 0.466, 0.292, 0.165, 30, 3.4, 0.84, 1.4e+02, 30, 3.5, 0.89, 1.4e+02, 30, 3.5, 0.083, 1.4e+02, 1.4e+02
744, -0.0539, -0.0131, -0.134, 0.228, 0.231, 0.301, 0.159, 0.43, 0.13, 30, 0.67, -0.38, 52, 30, 0.66, -0.14, 51, 30, 0.59, -0.14, 49, 51
503, -0.553, -0.0783, -0.342, 0.521, 0.505, 0.245, 0.232, 0.0517, 0.011, 2.2, 0.16, -0.18, 8.8, 2, 0.31, -0.083, 12, 2.2, 0.25, -0.13, 11, 11
419, -0.637, -0.351, -0.123, 0.743, 0.228, 0.0907, 0.234, 0.0612, 0.0384, 2.4, 0.23, -0.35, 12, 3.1, 0.36, 0.11, 15, 3.5, -0.34, -0.015, 7.9, 12
273, -0.25, -0.359, -0.0727, 0.542, 0.0622, 0.227, 0.13, 0.49, 0.119, 2.7, 0.22, -0.22, 11, 2.5, 0.15, 0.01, 8, 3, 0.22, -0.29, 12, 10
348, -0.486, -0.109, -0.276, 0.269, 0.0939, 0.391, 0.0517, 0.072, 0.158, 0.75, -0.41, 0.054, 5.8, 0.75, -0.4, 0.052, 5.8, 0.75, -0.4, 0.051, 5.8, 5.8
699, -0.394, -0.249, -0.0799, 0.0264, 0.35, 0.201, 0.398, 0.214, 0.0504, 3.3, -0.35, 0.2, 8.3, 3.5, -0.41, 0.36, 9.9, 3.4, -0.54, -0.079, 9.9, 9.4
564, -0.73, -0.0553, -0.267, 0.193, 0.463, 0.323, 0.215, 0.0643, 0.0489, 2.2, -0.36, 0.094, 7, 2, -0.44, -0.041, 7.4, 2, -0.41, -0.076, 7.2, 7.2
476, -0.56, -0.184, -0.126, 0.138, 0.596, 0.249, 0.0285, 0.0492, 0.162, 2.8, -0.34, -0.071, 7.3, 2.3, 0.16, -0.4, 11, 2.5, 0.29, 0.52, 15, 11
296, -0.186, -0.153, -0.352, 0.296, 0.589, 0.259, 0.487, 0.132, 0.0254, 2.3, -0.19, -0.025, 5.3, 2.9, -0.16, 0.28, 7.1, 2.3, -0.19, 0.095, 5.4, 5.9
598, -0.464, -0.279, -0.0946, 0.452, 0.0331, 0.435, 0.0934, 0.00486, 0.113, 7.6, -0.37, 0.018, 12, 9.9, -0.31, 0.16, 14, 10, -0.32, 0.079, 14, 14
770, -0.753, -0.093, -0.137, 0.676, 0.275, 0.419, 0.147, 0.228, 0.0703, 10, -0.58, 0.05, 17, 3.3, -0.25, -0.28, 8, 4, -0.49, -0.24, 10, 12
527, -0.752, -0.382, -0.241, 0.571, 0.65, 0.0577, 0.152, 0.414, 0.00683, 2.4, 0.053, -0.52, 9.7, 2.3, 0.29, -0.41, 14, 2.5, 0.0019, -0.55, 9, 11
600, -0.525, -0.296, -0.335, 0.257, 0.181, 0.445, 0.205, 0.309, 0.113, 0.7, -0.38, -0.028, 5.6, 0.7, -0.38, -0.025, 5.6, 0.7, -0.39, -0.027, 5.6, 5.6
505, -0.142, -0.0983, -0.353, 0.415, 0.124, 0.16, 0.349, 0.269, 0.0166, 0.65, -0.4, -0.0058, 5.6, 0.65, -0.4, -0.0052, 5.6, 0.65, -0.4, -0.0065, 5.6, 5.6
787, -0.736, -0.051, -0.0935, 0.601, 0.677, 0.0516, 0.171, 0.0404, 0.0535, 1.3, 0.43, -0.008, 15, 3.8, -0.28, 0.085, 7.8, 1.5, 0.4, 0.065, 14, 12
216, -0.532, -0.318, -0.28, 0.198, 0.476, 0.26, 0.259, 0.284, 0.0329, 3.2, -0.43, -0.0083, 8.4, 1.9, -0.31, -0.077, 6.1, 1.2, -0.29, -0.015, 5.1, 6.6
662, -0.0357, -0.164, -0.0158, 0.525, 0.229, 0.0876, 0.178, 0.394, 0.0818, 30, -0.042, -0.22, 33, 30, 0.11, 0.4, 37, 30, -0.033, 0.25, 34, 35
761, -0.00147, -0.192, -0.35, 0.417, 0.643, 0.464, 0.239, 0.0207, 0.0382, 3.3, -0.19, -0.51, 9.8, 4.7, -0.15, 0.44, 10, 6.1, -0.11, -0.52, 12, 11
308, -0.168, -0.0614, -0.151, 0.0817, 0.597, 0.446, 0.241, 0.419, 0.0921, 3.7, -0.38, -0.024, 8.5, 4.2, 0.25, 0.064, 13, 3.8, -0.35, 0.034, 8.4, 9.8
472, -0.674, -0.0474, -0.308, 0.617, 0.627, 0.32, 0.129, 0.0477, 0.0119, 1.2, -0.023, -0.26, 4.8, 1.2, -0.0074, -0.24, 4.6, 1.2, -0.03, -0.26, 4.8, 4.7
382, -0.499, -0.385, -0.182, 0.154, 0.352, 0.465, 0.119, 0.0373, 0.0393, 1.6, -0.41, -0.15, 7, 3.3, 0.017, -0.03, 5, 2.9, -0.14, -0.13, 5.8, 6
262, -0.129, -0.0684, -0.218, 0.208, 0.212, 0.216, 0.181, 0.31, 0.0489, 3.2, -0.21, 0.15, 6.9, 2.7, -0.25, 0.18, 6.7, 2.6, -0.28, 0.15, 6.8, 6.8
650, -0.615, -0.0533, -0.273, 0.196, 0.462, 0.0248, 0.0439, 0.193, 0.0959, 2.3, 0.00056, -0.3, 6.3, 2.2, -0.15, -0.28, 6.4, 2.2, -0.12, -0.3, 6.5, 6.4
238, -0.493, -0.0325, -0.0852, 0.0795, 0.299, 0.385, 0.177, 0.115, 0.102, 2.2, -0.36, -0.2, 7.3, 2.7, -0.42, 0.15, 8.1, 1.8, -0.44, 0.12, 7.4, 7.6
375, -0.661, -0.067, -0.0293, 0.244, 0.0612, 0.31, 0.261, 0.000727, 0.0106, 1.6, -0.3, 0.17, 6, 1.8, -0.31, 0.15, 6.2, 1.6, -0.32, 0.17, 6.3, 6.2
590, -0.11, -0.0861, -0.341, 0.0167, 0.0436, 0.0152, 0.252, 0.037, 0.0299, 0.6, -0.37, -0.0027, 5.3, 0.65, -0.41, -0.002, 5.7, 0.65, -0.41, -0.0021, 5.7, 5.6
477, -0.727, -0.147, -0.299, 0.413, 0.463, 0.0501, 0.0633, 0.114, 0.166, 2.5, -0.34, -0.18, 7.4, 1.8, -0.3, -0.079, 5.9, 2, -0.37, 0.13, 6.9, 6.7
295, -0.434, -0.0406, -0.0468, 0.581, 0.201, 0.00469, 0.416, 0.451, 0.17, 30, 0.74, -1.2, 60, 30, 1.3, -0.93, 72, 30, 1.6, -0.61, 80, 71
259, -0.0312, -0.351, -0.266, 0.105, 0.0697, 0.377, 0.159, 0.277, 0.0921, 0.7, -0.38, -0.021, 5.5, 0.7, -0.38, -0.022, 5.5, 0.75, -0.42, -0.013, 5.9, 5.6
614, -0.582, -0.0241, -0.331, 0.724, 0.0288, 0.379, 0.369, 0.396, 0.0512, 0.65, -0.4, -0.037, 5.7, 0.65, -0.4, -0.039, 5.7, 0.65, -0.4, -0.036, 5.7, 5.7
531, -0.417, -0.385, -0.359, 0.469, 0.174, 0.446, 0, 0.101, 0.164, 0.7, -0.41, -0.018, 5.8, 0.7, -0.41, -0.02, 5.8, 0.7, -0.41, -0.028, 5.8, 5.8
775, -0.107, -0.0925, -0.109, 0.469, 0.301, 0.00953, 0.462, 0.212, 0.0799, 30, -0.068, 0.032, 32, 30, -0.083, 0.011, 32, 30, -0.081, 0.017, 32, 32
475, -0.539, -0.0832, -0.289, 0.676, 0.519, 0.121, 0.147, 0.228, 0.165, 30, 3.4, 1.6, 1.4e+02, 30, 3.4, 0.011, 1.3e+02, 30, 3.6, 0.56, 1.4e+02, 1.4e+02
770, -0.753, -0.093, -0.137, 0.766, 0.275, 0.419, 0.466, 0.292, 0.0703, 2.4, -0.14, -0.38, 7.4, 2.5, -0.18, -0.48, 8.6, 3.1, -0.21, -0.52, 9.7, 8.6
564, -0.752, -0.382, -0.267, 0.571, 0.65, 0.323, 0.215, 0.0643, 0.0489, 1.3, 0.082, -0.23, 6.4, 1.2, 0.056, -0.18, 5.3, 1.3, 0.08, -0.24, 6.4, 6
527, -0.73, -0.0553, -0.241, 0.193, 0.463, 0.5, 0.152, 0.414, 0.00683, 1.8, -0.48, -0.014, 7.6, 1.8, -0.43, -0.0046, 7.1, 1.8, -0.49, 0.048, 7.7, 7.5
259, -0.48, -0.351, -0.266, 0.105, 0.0697, 0.0635, 0.181, 0.441, 0.0298, 0.7, -0.39, 0.029, 5.6, 0.7, -0.38, 0.025, 5.5, 0.7, -0.39, 0.022, 5.6, 5.6
257, -0.0312, -0.351, -0.277, 0.526, 0.37, 0.377, 0.159, 0.277, 0.0921, 2.5, -0.16, -0.24, 6.4, 3.3, 0.55, -0.14, 21, 2.9, -0.2, 0.053, 5.9, 11
614, -0.582, -0.385, -0.331, 0.724, 0.0288, 0.379, 0.139, 0.396, 0.164, 0.65, -0.4, -0.035, 5.7, 0.65, -0.4, -0.036, 5.7, 0.65, -0.4, -0.036, 5.7, 5.7
531, -0.78, -0.0241, -0.359, 0.469, 0.174, 0.446, 0.369, 0.101, 0.0512, 0.65, -0.37, -0.048, 5.4, 0.65, -0.37, -0.049, 5.4, 0.7, -0.41, -0.054, 5.8, 5.5
761, -0.151, -0.0567, -0.0784, 0.693, 0.643, 0.464, 0.473, 0.193, 0.0382, 1.2, 0.45, 0.061, 16, 1.2, 0.43, 0.053, 15, 1.4, 0.49, 0.031, 17, 16
629, -0.00147, -0.192, -0.35, 0.417, 0.416, 0.433, 0.239, 0.0207, 0.0598, 30, -0.16, 1.2, 43, 4.8, -0.58, -0.21, 12, 5.3, -0.54, -0.12, 12, 22
650, -0.615, -0.0533, -0.137, 0.676, 0.275, 0.0248, 0.147, 0.228, 0.0703, 30, 0.069, 0.12, 34, 30, 0.13, 0.18, 36, 30, 0.098, 0.14, 35, 35
770, -0.753, -0.093, -0.273, 0.196, 0.462, 0.419, 0.0439, 0.193, 0.0959, 3.4, -0.079, -0.27, 7.2, 2.7, 0.39, -0.092, 16, 2.7, -0.32, -0.18, 7.4, 10
503, -0.553, -0.0783, -0.342, 0.521, 0.505, 0.245, 0.232, 0.0517, 0.011, 2.2, 0.22, -0.15, 10, 2, 0.34, -0.048, 13, 2, 0.28, -0.14, 12, 12
688, -0.56, -0.0777, -0.126, 0.417, 0.596, 0.249, 0.0285, 0.0492, 0.162, 4.6, 0.6, 0.24, 24, 4.1, -0.036, 0.5, 10, 4.5, 0.26, -0.5, 16, 17
476, -0.696, -0.184, -0.374, 0.138, 0.115, 0.27, 0.418, 0.41, 0.0258, 0.6, -0.37, -0.032, 5.3, 0.6, -0.37, -0.031, 5.3, 0.6, -0.38, -0.031, 5.4, 5.4
477, -0.696, -0.0777, -0.299, 0.417, 0.463, 0, 0.418, 0.114, 0.166, 3, -0.44, -0.11, 8.5, 2, -0.34, 0.15, 6.8, 2, -0.36, 0.032, 6.6, 7.3
688, -0.727, -0.147, -0.374, 0.413, 0.115, 0.0501, 0.0633, 0.41, 0.0258, 0.6, -0.37, -0.0083, 5.3, 0.6, -0.37, -0.0092, 5.3, 0.6, -0.37, -0.008, 5.3, 5.3
688, -0.696, -0.351, -0.374, 0.743, 0.228, 0.27, 0.418, 0.0612, 0.0384, 0.7, -0.41, -0.025, 5.8, 0.7, -0.41, -0.025, 5.8, 0.7, -0.4, -0.027, 5.8, 5.8
419, -0.637, -0.0777, -0.123, 0.417, 0.115, 0.0907, 0.234, 0.41, 0.0258, 1.5, -0.27, 0.3, 6.5, 1.5, -0.28, 0.3, 6.6, 1.5, -0.27, 0.27, 6.3, 6.5
744, -0.0539, -0.0131, -0.352, 0.296, 0.231, 0.301, 0.159, 0.43, 0.13, 0.75, -0.41, 0.0003, 5.8, 0.75, -0.41, 0.001, 5.8, 0.7, -0.37, 0.00075, 5.4, 5.7
296, -0.186, -0.153, -0.134, 0.228, 0.589, 0.259, 0.487, 0.132, 0.0254, 2.8, 0.25, 0.028, 11, 3.2, -0.36, -0.2, 8.4, 2.4, 0.36, 0.048, 14, 11
688, -0.696, -0.0777, -0.202, 0.337, 0.671, 0.27, 0.134, 0.122, 0.125, 2.4, -0.4, 0.011, 7.4, 4.8, -0.052, 0.13, 7.3, 4.2, 0.12, 0.53, 13, 9.2
475, -0.636, -0.256, -0.374, 0.417, 0.115, 0.456, 0.418, 0.41, 0.0258, 0.65, -0.41, -0.049, 5.7, 0.65, -0.4, -0.053, 5.7, 0.65, -0.4, -0.047, 5.7, 5.7
504, -0.582, -0.325, -0.147, 0.244, 0.476, 0.189, 0.0761, 0.335, 0.113, 3, 0.43, -0.36, 18, 3, 0.47, -0.36, 19, 2.8, 0.45, -0.28, 18, 19
370, -0.111, -0.311, -0.255, 0.0899, 0.628, 0.276, 0.373, 0.337, 0.0928, 3, -0.24, 0.22, 7.3, 4.1, -0.16, -0.27, 8.3, 3, -0.33, 0.033, 7.4, 7.7
569, -0.582, -0.311, -0.135, 0.333, 0.477, 0.0741, 0.235, 0.337, 0.113, 3, 0.57, -0.052, 21, 2.7, -0.36, 0.21, 7.8, 3, 0.26, -0.32, 13, 14
370, -0.568, -0.025, -0.255, 0.0899, 0.476, 0.276, 0.0761, 0.124, 0.166, 2.1, -0.084, 0.2, 5.3, 2.4, 0.035, 0.47, 8.8, 2, -0.26, 0.15, 6.1, 6.7
699, -0.408, -0.358, -0.154, 0.0264, 0.292, 0.201, 0.398, 0.0622, 0.0379, 3.5, -0.39, -0.27, 9.3, 4.6, 0.29, 0.28, 15, 3.2, -0.47, -0.19, 9.2, 11
299, -0.394, -0.249, -0.0799, 0.367, 0.35, 0.207, 0.235, 0.214, 0.0504, 1.9, 0.49, 0.06, 17, 1.9, 0.38, -0.04, 14, 2.3, 0.57, 0.19, 21, 18
295, -0.434, -0.0783, -0.0468, 0.581, 0.505, 0.00469, 0.416, 0.0517, 0.011, 30, 3.4, 2.2, 1.4e+02, 30, 4.2, -0.4, 1.6e+02, 30, 4.1, 0.13, 1.5e+02, 1.5e+02
503, -0.553, -0.0406, -0.342, 0.521, 0.201, 0.245, 0.232, 0.451, 0.17, 0.7, -0.39, -0.042, 5.6, 0.7, -0.39, -0.042, 5.6, 0.7, -0.39, -0.042, 5.6, 5.6
564, -0.434, -0.0406, -0.0468, 0.193, 0.463, 0.00469, 0.416, 0.451, 0.17, 7.4, -0.023, -0.41, 13, 5.8, -0.35, -0.0026, 10, 4.5, -0.3, -0.36, 10, 11
295, -0.73, -0.0553, -0.267, 0.581, 0.201, 0.323, 0.215, 0.0643, 0.0489, 0.85, -0.33, 0.055, 5.2, 0.85, -0.33, 0.053, 5.2, 0.85, -0.34, 0.046, 5.3, 5.2
770, -0.00147, -0.192, -0.137, 0.417, 0.643, 0.464, 0.239, 0.0207, 0.0703, 4.1, 0.37, -0.17, 17, 30, -0.18, -0.12, 33, 30, -0.33, 0.0088, 34, 28
761, -0.753, -0.093, -0.35, 0.766, 0.275, 0.419, 0.466, 0.292, 0.0382, 0.75, -0.37, -0.047, 5.5, 0.75, -0.37, -0.045, 5.4, 0.75, -0.37, -0.043, 5.4, 5.5
569, -0.582, -0.311, -0.0852, 0.0795, 0.477, 0.0741, 0.235, 0.115, 0.113, 2.7, -0.72, 0.045, 11, 3.1, -0.58, 0.54, 12, 2.5, -0.5, 0.044, 8.5, 10
238, -0.78, -0.0325, -0.135, 0.333, 0.299, 0.385, 0.177, 0.337, 0.102, 1.9, -0.17, -0.15, 5.1, 1.9, -0.026, -0.21, 5, 1.8, 0.19, -0.078, 8.7, 6.3
238, -0.493, -0.0325, -0.241, 0.571, 0.299, 0.0577, 0.177, 0.115, 0.102, 30, -0.42, -0.54, 38, 30, -0.43, -0.38, 37, 30, -0.48, -0.32, 37, 37
527, -0.752, -0.382, -0.0852, 0.0795, 0.65, 0.385, 0.152, 0.414, 0.00683, 1.6, 0.39, -0.1, 14, 1.3, 0.42, 0.0063, 15, 1.4, 0.42, 0.039, 15, 15
629, -0.615, -0.0533, -0.137, 0.676, 0.416, 0.0248, 0.473, 0.228, 0.0598, 3.6, 0.55, 0.066, 21, 2.9, -0.24, -0.24, 7.3, 2.9, -0.14, -0.29, 7.2, 12
650, -0.151, -0.0567, -0.0784, 0.693, 0.275, 0.433, 0.147, 0.193, 0.0703, 2.7, 0.12, -0.54, 12, 3, -0.17, -0.53, 9.6, 3.2, -0.21, -0.54, 9.9, 10
662, -0.582, -0.164, -0.0158, 0.333, 0.477, 0.0741, 0.235, 0.337, 0.0818, 3.3, 0.074, -0.45, 10, 3.3, 0.12, -0.4, 11, 3.1, -0.26, 0.35, 8.4, 9.9
569, -0.0357, -0.311, -0.135, 0.525, 0.229, 0.0876, 0.178, 0.394, 0.113, 30, 1.6, 0.91, 83, 30, 1.3, 1.4, 76, 30, 1.5, 1.1, 81, 80
495, -0.0135, -0.377, -0.135, 0.333, 0.594, 0.0741, 0.235, 0.181, 0.113, 5.5, 0.22, 0.27, 14, 6.6, -0.033, 0.36, 11, 3.6, 0.28, 0.25, 14, 13
569, -0.582, -0.311, -0.225, 0.569, 0.477, 0.138, 0.249, 0.337, 0.124, 2.4, -0.39, 0.037, 7.4, 3.5, -0.28, -0.21, 8, 2.7, -0.21, -0.46, 8.7, 8
486, -0.0363, -0.316, -0.25, 0.311, 0.225, 0.475, 0.178, 0.308, 0.14, 3.2, -0.37, -0.15, 8.2, 3.3, -0.5, 0.093, 9.3, 4.7, -0.33, -0.21, 9.6, 9
486, -0.0363, -0.316, -0.25, 0.311, 0.225, 0.475, 0.178, 0.308, 0.14, 4.8, -0.4, -0.18, 10, 3.5, -0.35, -0.065, 8.1, 4.3, -0.37, -0.052, 9, 9.1
650, -0.615, -0.0533, -0.137, 0.676, 0.463, 0.5, 0.152, 0.414, 0.00683, 1.9, -0.52, -0.2, 8.5, 1.9, -0.53, -0.056, 8.2, 1.9, -0.52, -0.17, 8.3, 8.4
527, -0.73, -0.0553, -0.241, 0.193, 0.275, 0.0248, 0.147, 0.228, 0.0703, 1.8, -0.32, 0.2, 6.5, 1.7, -0.34, 0.24, 6.8, 1.7, -0.32, 0.22, 6.5, 6.6
486, -0.0363, -0.316, -0.218, 0.311, 0.225, 0.216, 0.178, 0.31, 0.0489, 4.2, -0.015, -0.37, 8.9, 5.3, -0.13, -0.067, 7.8, 4.6, -0.33, 0.58, 12, 9.6
262, -0.129, -0.0684, -0.25, 0.208, 0.212, 0.475, 0.181, 0.308, 0.14, 1.7, -0.33, -0.1, 6.2, 1.6, -0.32, 0.19, 6.4, 1.9, -0.1, -0.27, 5.8, 6.1
775, -0.753, -0.093, -0.137, 0.676, 0.301, 0.00953, 0.462, 0.228, 0.0799, 3, -0.41, 0.25, 8.8, 3, -0.29, 0.33, 8.4, 3, -0.3, 0.31, 8.2, 8.5
770, -0.107, -0.0925, -0.109, 0.469, 0.275, 0.419, 0.147, 0.212, 0.0703, 3.6, -0.36, -0.33, 9.5, 3.7, -0.38, -0.31, 9.6, 3.7, -0.39, -0.3, 9.6, 9.6
419, -0.637, -0.025, -0.123, 0.743, 0.228, 0.0741, 0.235, 0.124, 0.166, 4.2, -0.2, -0.37, 9.4, 2.8, -0.081, 0.22, 6.1, 3, -0.21, 0.32, 7.8, 7.8
569, -0.568, -0.351, -0.135, 0.333, 0.477, 0.0907, 0.234, 0.0612, 0.0384, 2.9, 0.59, 0.028, 22, 2.5, -0.19, -0.45, 8.3, 2.9, 0.47, 0.28, 19, 16
688, -0.56, -0.0777, -0.126, 0.333, 0.596, 0.249, 0.235, 0.337, 0.162, 3.6, 0.58, -0.064, 22, 3.8, -0.03, -0.28, 7.6, 3.8, -0.15, -0.26, 7.8, 12
569, -0.582, -0.311, -0.135, 0.417, 0.477, 0.0741, 0.0285, 0.0492, 0.113, 3.6, 0.54, -0.29, 21, 3.2, 0.4, 0.32, 17, 2.8, 0.17, 0.5, 13, 17
418, -0.168, -0.233, -0.106, 0.0817, 0.597, 0.0473, 0.49, 0.419, 0.0921, 3.2, 0.34, 0.17, 15, 4, 0.37, -0.051, 16, 3.5, 0.34, 0.33, 16, 16
308, -0.152, -0.0614, -0.151, 0.645, 0.671, 0.446, 0.241, 0.25, 0.163, 1.5, 0.39, 0.093, 14, 1.3, 0.42, 0.094, 15, 30, -0.15, 0.69, 38, 22
477, -0.696, -0.153, -0.299, 0.417, 0.589, 0, 0.418, 0.114, 0.166, 2.7, -0.41, -0.11, 7.9, 2.6, -0.32, -0.21, 7.4, 2.7, -0.41, -0.028, 7.7, 7.7
296, -0.186, -0.211, -0.134, 0.228, 0.463, 0.259, 0.487, 0.132, 0.0254, 2.1, 0.33, 0.057, 13, 2.1, -0.086, -0.18, 5.1, 2, 0.3, -0.085, 12, 10
419, -0.637, -0.351, -0.0946, 0.743, 0.228, 0.0907, 0.234, 0.00486, 0.113, 2.2, 0.39, 0.3, 16, 2.2, 0.54, -0.071, 20, 3.1, -0.21, -0.29, 7.6, 14
598, -0.464, -0.279, -0.123, 0.452, 0.0331, 0.435, 0.0934, 0.0612, 0.0384, 2, -0.47, 0.05, 7.7, 2, -0.31, 0.32, 7.3, 2, -0.5, -0.01, 8, 7.7
257, -0.0312, -0.377, -0.225, 0.526, 0.594, 0.138, 0.249, 0.181, 0.0921, 30, 1.8, -0.21, 85, 30, 1.6, -0.16, 80, 30, 1.6, -0.19, 80, 82
495, -0.0135, -0.351, -0.277, 0.569, 0.37, 0.377, 0.159, 0.277, 0.124, 3.3, 0.14, -0.4, 11, 3.5, -0.34, -0.21, 8.5, 3.5, -0.31, -0.13, 7.9, 9.2
418, -0.152, -0.233, -0.147, 0.244, 0.671, 0.189, 0.0761, 0.25, 0.163, 30, -0.17, 0.11, 33, 3.8, 0.53, 0.22, 21, 3.7, 0.48, 0.25, 20, 25
504, -0.582, -0.325, -0.106, 0.645, 0.476, 0.0473, 0.49, 0.335, 0.113, 3, -0.28, -0.2, 7.5, 4, 0.5, 0.16, 20, 4, 0.44, 0.43, 20, 16
775, -0.568, -0.351, -0.109, 0.333, 0.477, 0.0907, 0.234, 0.0612, 0.0384, 3.6, -0.49, 0.57, 12, 4.5, -0.26, -0.26, 9.2, 3.7, -0.56, 0.2, 11, 11
569, -0.107, -0.0925, -0.135, 0.469, 0.301, 0.00953, 0.462, 0.212, 0.0799, 30, -0.13, -0.033, 32, 30, -0.13, 0.027, 32, 30, -0.13, 0.055, 32, 32
775, -0.582, -0.311, -0.135, 0.417, 0.301, 0.0741, 0.0285, 0.0492, 0.113, 3.8, -0.32, -0.22, 8.8, 3.7, -0.41, -0.08, 8.8, 4.2, -0.46, 0.079, 9.8, 9.1
569, -0.107, -0.0925, -0.109, 0.469, 0.477, 0.00953, 0.462, 0.212, 0.0799, 30, -0.57, 0.015, 37, 30, -0.61, -0.0024, 37, 30, -0.6, 0.0012, 37, 37
775, -0.107, -0.0925, -0.0468, 0.581, 0.505, 0.00469, 0.462, 0.212, 0.0799, 30, -0.59, -0.16, 37, 30, -0.61, -0.084, 37, 30, -0.62, -0.11, 37, 37
295, -0.434, -0.0783, -0.109, 0.469, 0.301, 0.00953, 0.416, 0.0517, 0.011, 2.8, -0.35, 0.11, 7.4, 2.8, -0.31, 0.18, 7.4, 2.8, -0.27, 0.27, 7.6, 7.5
299, 0, -0.249, -0.0799, 0.645, 0.35, 0.207, 0.235, 0.25, 0.163, 30, 1.6, 0.062, 78, 30, 1.4, 0.1, 73, 30, 1.3, 0.071, 71, 74
