0.454, -0.0203, 0.33
0.461, -0.0268, 0.328
0.469, -0.0322, 0.324
0.479, -0.0351, 0.323
0.487, -0.035, 0.326
0.495, -0.0328, 0.329
0.503, -0.0291, 0.331
0.509, -0.0246, 0.332
0.516, -0.0198, 0.33
0.524, -0.016, 0.326
0.535, -0.0149, 0.324
0.544, -0.0166, 0.325
0.552, -0.0205, 0.327
0.558, -0.0259, 0.329
0.564, -0.0326, 0.33
0.57, -0.0399, 0.328
0.578, -0.0458, 0.326
0.588, -0.0496, 0.324
0.597, -0.0504, 0.326
0.605, -0.0489, 0.329
0.613, -0.0457, 0.331
0.62, -0.0415, 0.332
0.627, -0.0369, 0.33
0.636, -0.0338, 0.326
0.646, -0.0333, 0.324
0.656, -0.0356, 0.324
0.664, -0.0401, 0.326
0.671, -0.0461, 0.328
0.676, -0.0532, 0.329
0.683, -0.0606, 0.328
0.691, -0.0667, 0.326
0.702, -0.0707, 0.324
0.711, -0.0716, 0.327
0.72, -0.0702, 0.33
0.728, -0.0671, 0.332
0.736, -0.0629, 0.333
0.744, -0.0583, 0.331
0.752, -0.0541, 0.325
0.762, -0.0524, 0.322
0.771, -0.0537, 0.324
0.779, -0.057, 0.327
0.786, -0.0618, 0.329
0.791, -0.0679, 0.33
0.797, -0.0747, 0.328
0.805, -0.0804, 0.325
0.815, -0.0838, 0.323
0.824, -0.0843, 0.326
0.833, -0.0825, 0.329
0.841, -0.0793, 0.331
0.848, -0.0751, 0.332
0.856, -0.0708, 0.33
0.865, -0.068, 0.326
0.875, -0.0679, 0.324
0.885, -0.0706, 0.325
0.892, -0.0753, 0.328
0.898, -0.0815, 0.329
0.904, -0.0888, 0.33
0.909, -0.0969, 0.328
0.917, -0.104, 0.325
0.927, -0.109, 0.324
0.937, -0.111, 0.326
0.945, -0.111, 0.329
0.953, -0.109, 0.331
0.961, -0.105, 0.333
0.969, -0.101, 0.33
0.977, -0.0982, 0.325
0.987, -0.0979, 0.323
0.997, -0.1, 0.323
